region_key	building_path	position_x_map	position_y_map	position_z_height	rotation_cw_radians
#campaign_settlement_display_aqueducts_tables;0;db/campaign_settlement_display_aqueducts_tables/campaign_settlement_display_aqueducts					
gaul_aquitania_burdigala	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	99.1940	95.6800	-0.2350	1.0049
gaul_arduenna_silva_treverorum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	223.9300	213.9138	1.5200	0.4714
gaul_aremorica_namnetum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	90.3640	151.9863	-0.0680	0.5147
gaul_britannia_iska	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	60.1850	233.7628	0.0520	3.0011
gaul_gergovia_nemossos	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	157.9630	103.1907	2.8990	3.0428
gaul_germania_inferior_bagacum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	191.2360	233.3626	1.4670	2.8611
gaul_helvetia_octoduron	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	214.8290	118.3097	3.2430	4.2120
gaul_insubria_medhlan	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	256.6760	110.2586	1.5680	4.5339
gaul_liguria_genua	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	254.3010	81.9099	0.0500	5.1339
gaul_lugdunensis_bibracte	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	187.7260	135.1963	1.5070	5.9125
gaul_lutetia_cenabum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	141.6580	169.6848	1.1310	2.6505
gaul_maxima_sequanorum_vesontio	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	206.3720	159.4556	1.4030	3.6608
gaul_narbonensis_tolosa	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	135.2780	59.2100	1.6510	2.0969
gaul_pictavis_lemonum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	117.1550	127.4407	1.2590	1.4859
gaul_senonia_alesia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	185.9160	167.0375	2.1100	5.0444
gaul_silva_carbonaria_nemetocenna	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	157.9900	228.3705	0.7700	3.1482
gaul_silva_nigra_uburzis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	269.7980	206.6964	2.6990	4.7328
gaul_transalpina_massalia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	193.0910	47.7975	-0.0100	5.5713
pun_africa_carthago	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	399.0450	190.4782	0.0810	3.4392
pun_aquitania_iruna	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	184.7690	329.4636	1.2260	3.6092
pun_celtiberia_numantia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	177.9690	304.1122	2.7790	5.3501
pun_corsica_et_sardinia_karalis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	379.9750	246.3830	0.6290	4.5297
pun_etruria_tarquinii	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	429.7570	319.1429	0.3390	5.4280
pun_gallaecia_asturica	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	111.1280	317.1857	2.6340	3.1774
pun_gallia_cisalpina_patavium	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	435.0180	393.9167	0.3590	3.7161
pun_gallia_transalpina_massilia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	316.1030	341.4921	0.1650	0.2956
pun_hispania_citerior_emporiae	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	270.6480	313.3532	0.8640	2.7777
