id	building_path	construction_type	display_building_key	phase
#campaign_settlement_display_building_constructions_tables;0;db/campaign_settlement_display_building_constructions_tables/campaign_settlement_display_building_constructions				
10001	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_1	0
10009	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_entertainment_2	0
10019	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_entertainment_3	0
10029	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_entertainment_4	0
10033	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_food_2	0
10040	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_food_3	0
10048	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_food_4	0
10053	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_public_2	0
10060	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_public_3	0
10062	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_public_4	0
10071	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_research_2	0
10078	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_research_3	0
10083	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_research_4	0
10086	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_slave_2	0
10091	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_slave_3	0
10099	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_trade_2	0
10101	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_trade_3	0
10102	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_agora_trade_4	0
10109	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_1	0
10118	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_aux_2	0
10121	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_aux_3	0
10123	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_aux_4	0
10127	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_cav_2	0
10134	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_cav_3	0
10138	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_cav_4	0
10140	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_attack_2	0
10147	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_attack_3	0
10157	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_attack_4	0
10167	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_defence_2	0
10170	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_defence_3	0
10175	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_buff_inf_defence_4	0
10178	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_1	0
10179	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_armour_2	0
10188	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_armour_3	0
10193	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_siege_2	0
10195	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_siege_3	0
10196	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_weapon_2	0
10197	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_equipment_weapon_3	0
10200	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_main_1	0
10207	RigidModels/campaign/settlements/construction/building_construction_anim.rigid_model_v2	dismantle	rom_HELLENIC_military_main_aux_2	0
