key	building_level_key	culture	faction	sprawl_piece_level	sprawl_piece_type	sub_culture
#campaign_settlement_display_building_ids_tables;0;db/campaign_settlement_display_building_ids_tables/campaign_settlement_display_building_ids						
3c_armenia_military_cavalry_4	3c_armenia_military_cavalry_4			0		
3c_armenia_military_infantry_1	3c_armenia_military_infantry_1			0		
3c_armenia_military_infantry_2	3c_armenia_military_infantry_2			0		
3c_armenia_military_infantry_3	3c_armenia_military_infantry_3			0		
3c_armenia_military_infantry_4	3c_armenia_military_infantry_4			0		
3c_barb_agriculture_1	3c_barb_agriculture_1			0		
3c_barb_agriculture_cattle_2	3c_barb_agriculture_cattle_2			0		
3c_barb_agriculture_cattle_3	3c_barb_agriculture_cattle_3			0		
3c_barb_agriculture_cattle_4	3c_barb_agriculture_cattle_4			0		
3c_barb_agriculture_farm_2	3c_barb_agriculture_farm_2			0		
3c_barb_agriculture_farm_3	3c_barb_agriculture_farm_3			0		
3c_barb_agriculture_farm_4	3c_barb_agriculture_farm_4			0		
3c_barb_agriculture_horse_2	3c_barb_agriculture_horse_2			0		
3c_barb_agriculture_horse_3	3c_barb_agriculture_horse_3			0		
3c_barb_agriculture_horse_4	3c_barb_agriculture_horse_4			0		
3c_barb_agriculture_nomad_1	3c_barb_agriculture_nomad_1			0		
3c_barb_agriculture_nomad_camp_2	3c_barb_agriculture_nomad_camp_2			0		
3c_barb_agriculture_nomad_camp_3	3c_barb_agriculture_nomad_camp_3			0		
3c_barb_agriculture_nomad_camp_4	3c_barb_agriculture_nomad_camp_4			0		
3c_barb_agriculture_nomad_herd_2	3c_barb_agriculture_nomad_herd_2			0		
3c_barb_agriculture_nomad_herd_3	3c_barb_agriculture_nomad_herd_3			0		
3c_barb_agriculture_nomad_herd_4	3c_barb_agriculture_nomad_herd_4			0		
3c_barb_agriculture_nomad_weaver_2	3c_barb_agriculture_nomad_weaver_2			0		
3c_barb_agriculture_nomad_weaver_3	3c_barb_agriculture_nomad_weaver_3			0		
3c_barb_agriculture_nomad_weaver_4	3c_barb_agriculture_nomad_weaver_4			0		
3c_barb_amber_1	3c_barb_amber_1			0		
3c_barb_amber_2	3c_barb_amber_2			0		
3c_barb_amber_3	3c_barb_amber_3			0		
3c_barb_amber_4	3c_barb_amber_4			0		
3c_barb_artisan_1	3c_barb_artisan_1			0		
3c_barb_artisan_bronze_2	3c_barb_artisan_bronze_2			0		
3c_barb_artisan_bronze_3	3c_barb_artisan_bronze_3			0		
3c_barb_artisan_bronze_4	3c_barb_artisan_bronze_4			0		
3c_barb_artisan_coin_2	3c_barb_artisan_coin_2			0		
3c_barb_artisan_coin_3	3c_barb_artisan_coin_3			0		
3c_barb_artisan_coin_4	3c_barb_artisan_coin_4			0		
3c_barb_artisan_maker_2	3c_barb_artisan_maker_2			0		
3c_barb_artisan_maker_3	3c_barb_artisan_maker_3			0		
3c_barb_artisan_maker_4	3c_barb_artisan_maker_4			0		
3c_barb_city_1	3c_barb_city_1			0		
3c_barb_city_2	3c_barb_city_2			0		
3c_barb_city_3	3c_barb_city_3			0		
3c_barb_city_industry_4	3c_barb_city_industry_4			0		
3c_barb_city_trade_4	3c_barb_city_trade_4			0		
3c_barb_city_tribal_4	3c_barb_city_tribal_4			0		
3c_barb_commons_1	3c_barb_commons_1			0		
3c_barb_commons_chieftan_2	3c_barb_commons_chieftan_2			0		
3c_barb_commons_chieftan_3	3c_barb_commons_chieftan_3			0		
3c_barb_commons_chieftan_4	3c_barb_commons_chieftan_4			0		
3c_barb_commons_chieftan_5	3c_barb_commons_chieftan_5			0		
3c_barb_commons_lore_2	3c_barb_commons_lore_2			0		
3c_barb_commons_lore_3	3c_barb_commons_lore_3			0		
3c_barb_commons_lore_4	3c_barb_commons_lore_4			0		
3c_barb_commons_market_2	3c_barb_commons_market_2			0		
3c_barb_commons_market_3	3c_barb_commons_market_3			0		
3c_barb_commons_market_4	3c_barb_commons_market_4			0		
3c_barb_commons_nomad_1	3c_barb_commons_nomad_1			0		
3c_barb_commons_nomad_chieftan_2	3c_barb_commons_nomad_chieftan_2			0		
3c_barb_commons_nomad_chieftan_3	3c_barb_commons_nomad_chieftan_3			0		
3c_barb_commons_nomad_chieftan_4	3c_barb_commons_nomad_chieftan_4			0		
3c_barb_commons_nomad_lore_2	3c_barb_commons_nomad_lore_2			0		
3c_barb_commons_nomad_lore_3	3c_barb_commons_nomad_lore_3			0		
3c_barb_commons_nomad_lore_4	3c_barb_commons_nomad_lore_4			0		
3c_barb_commons_nomad_market_2	3c_barb_commons_nomad_market_2			0		
3c_barb_commons_nomad_market_3	3c_barb_commons_nomad_market_3			0		
3c_barb_commons_nomad_market_4	3c_barb_commons_nomad_market_4			0		
3c_barb_commons_nomad_slave_2	3c_barb_commons_nomad_slave_2			0		
3c_barb_commons_nomad_slave_3	3c_barb_commons_nomad_slave_3			0		
3c_barb_commons_nomad_storage_2	3c_barb_commons_nomad_storage_2			0		
3c_barb_commons_nomad_storage_3	3c_barb_commons_nomad_storage_3			0		
3c_barb_commons_nomad_storage_4	3c_barb_commons_nomad_storage_4			0		
3c_barb_commons_slave_2	3c_barb_commons_slave_2			0		
3c_barb_commons_slave_3	3c_barb_commons_slave_3			0		
3c_barb_commons_storage_2	3c_barb_commons_storage_2			0		
3c_barb_commons_storage_3	3c_barb_commons_storage_3			0		
3c_barb_commons_storage_4	3c_barb_commons_storage_4			0		
3c_barb_craftsmen_1	3c_barb_craftsmen_1			0		
3c_barb_craftsmen_pot_2	3c_barb_craftsmen_pot_2			0		
