battlefield_deployable_siege_item	sprawl_piece
#campaign_settlement_display_siege_item_ids_tables;0;db/campaign_settlement_display_siege_item_ids_tables/campaign_settlement_display_siege_item_ids	
battering_ram_heavy	siege_ram
battering_ram_light	siege_ram
battering_ram_medium	siege_ram
gallery_heavy	siege_ram
gallery_light	siege_ram
gallery_medium	siege_ram
siege_ladder_15m	siege_tower
siege_ladder_8m	siege_tower
siege_tower_15m_heavy	siege_tower
siege_tower_15m_light	siege_tower
siege_tower_15m_medium	siege_tower
siege_tower_8m_heavy	siege_tower
siege_tower_8m_light	siege_tower
siege_tower_8m_medium	siege_tower
