stance	effect_bundle	culture	subculture	faction
#campaign_stance_effects_junctions_tables;1;db/campaign_stance_effects_junctions_tables/campaign_stance_effects_junctions				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	rom_stance_army_ambush			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET	rom_stance_navy_mustering			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	inv_samnites_stance_army_default			inv_samnites
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	rom_stance_army_default			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME	rom_stance_navy_double_time			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	rom_stance_army_raiding			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH	rom_stance_army_forced_march			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER	rom_stance_army_mustering			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL	rom_stance_navy_patrol			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID	rom_stance_navy_raiding			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	rom_agent_action_all_failure_compromised			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	rom_stance_army_fortification_barbarian	rom_Barbarian		
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	rom_stance_army_fortification_eastern	rom_Eastern		
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	rom_stance_army_fortification_rome	rom_Roman		
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	rom_stance_army_fortification	rom_Hellenistic		
MILITARY_FORCE_SITUATIONAL_STANCE_BLOCKADE	rom_stance_navy_blockading			
MILITARY_FORCE_SITUATIONAL_STANCE_DOCK	rom_stance_navy_docked			
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON	rom_stance_army_garrisoned			
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	rom_stance_army_laying_siege			
