campaign_statistic	campaign_statistic_category	statistic_order
#campaign_statistics_strings_tables;0;db/campaign_statistics_strings_tables/campaign_statistics_strings		
agents_assassinated	stat_cat_agents	18
agents_assassinated_champions	stat_cat_agents	19
agents_assassinated_dignitaries	stat_cat_agents	20
agents_assassinated_spies	stat_cat_agents	21
agents_failed_actions	stat_cat_agents	14
agents_failed_actions_champions	stat_cat_agents	15
agents_failed_actions_dignitaries	stat_cat_agents	16
agents_failed_actions_spies	stat_cat_agents	17
agents_lost	stat_cat_agents	5
agents_lost_champions	stat_cat_agents	6
agents_lost_dignitaries	stat_cat_agents	7
agents_lost_spies	stat_cat_agents	8
agents_recruited	stat_cat_agents	1
agents_recruited_champions	stat_cat_agents	2
agents_recruited_dignitaries	stat_cat_agents	3
agents_recruited_spies	stat_cat_agents	4
agents_successful_actions	stat_cat_agents	10
agents_successful_actions_champions	stat_cat_agents	11
agents_successful_actions_dignitaries	stat_cat_agents	12
agents_successful_actions_spies	stat_cat_agents	13
agents_total_actions	stat_cat_agents	9
current_date	stat_cat_general	2
current_turn	stat_cat_general	1
diplomacy_allies_current	stat_cat_diplomacy	6
diplomacy_allies_max	stat_cat_diplomacy	7
diplomacy_trade_current	stat_cat_diplomacy	8
diplomacy_trade_max	stat_cat_diplomacy	9
diplomacy_war_current	stat_cat_diplomacy	4
diplomacy_war_max	stat_cat_diplomacy	5
economy_expenditure_current	stat_cat_economy	9
economy_expenditure_max	stat_cat_economy	14
economy_expenditure_total	stat_cat_economy	8
economy_expenditure_total_construction	stat_cat_economy	13
economy_expenditure_total_mecenaries	stat_cat_economy	11
economy_expenditure_total_recruitment	stat_cat_economy	10
economy_expenditure_total_upkeep	stat_cat_economy	12
economy_income_current	stat_cat_economy	2
economy_income_max	stat_cat_economy	7
economy_income_total	stat_cat_economy	1
economy_income_total_looting	stat_cat_economy	5
economy_income_total_raiding	stat_cat_economy	6
economy_income_total_tax	stat_cat_economy	3
economy_income_total_trade	stat_cat_economy	4
edicts_issued	stat_cat_empire	7
empire_buildings_constructed	stat_cat_empire	8
empire_factions_client_vassal	stat_cat_diplomacy	3
empire_factions_destroyed	stat_cat_diplomacy	2
empire_factions_encountered	stat_cat_diplomacy	1
empire_provinces_current	stat_cat_empire	5
empire_provinces_max	stat_cat_empire	6
empire_resources_total	stat_cat_empire	12
empire_resources_unique	stat_cat_empire	13
empire_settlements_captured	stat_cat_empire	2
empire_settlements_current	stat_cat_empire	1
empire_settlements_lost	stat_cat_empire	3
empire_settlements_max	stat_cat_empire	4
empire_technologies_all	stat_cat_empire	9
empire_technologies_civil	stat_cat_empire	10
empire_technologies_military	stat_cat_empire	11
military_armies_current	stat_cat_military_forces	5
military_armies_established	stat_cat_military_forces	4
military_armies_max	stat_cat_military_forces	6
military_battles_ambush	stat_cat_military_battles	16
military_battles_autoresolved	stat_cat_military_battles	12
military_battles_combined	stat_cat_military_battles	15
military_battles_crushing_defeats	stat_cat_military_battles	37
military_battles_defeats	stat_cat_military_battles	28
military_battles_defeats_ambush	stat_cat_military_battles	32
military_battles_defeats_combined	stat_cat_military_battles	31
military_battles_defeats_land	stat_cat_military_battles	29
military_battles_defeats_naval	stat_cat_military_battles	30
military_battles_defeats_port	stat_cat_military_battles	33
military_battles_defeats_settlement	stat_cat_military_battles	34
military_battles_defeats_siege	stat_cat_military_battles	35
military_battles_fought	stat_cat_military_battles	11
military_battles_heroic_victories	stat_cat_military_battles	36
military_battles_land	stat_cat_military_battles	13
military_battles_naval	stat_cat_military_battles	14
military_battles_port	stat_cat_military_battles	17
military_battles_settlement	stat_cat_military_battles	18
military_battles_siege	stat_cat_military_battles	19
military_battles_total	stat_cat_military_battles	10
military_battles_victories	stat_cat_military_battles	20
military_battles_victories_ambush	stat_cat_military_battles	24
military_battles_victories_combined	stat_cat_military_battles	23
military_battles_victories_land	stat_cat_military_battles	21
military_battles_victories_naval	stat_cat_military_battles	22
military_battles_victories_port	stat_cat_military_battles	25
military_battles_victories_settlement	stat_cat_military_battles	26
military_battles_victories_siege	stat_cat_military_battles	27
military_captives_enslaved	stat_cat_military_battles	38
military_captives_executed	stat_cat_military_battles	39
military_captives_released	stat_cat_military_battles	40
military_fleets_current	stat_cat_military_forces	8
military_fleets_established	stat_cat_military_forces	7
military_fleets_max	stat_cat_military_forces	9
military_forces_current	stat_cat_military_forces	2
military_forces_established	stat_cat_military_forces	1
military_forces_max	stat_cat_military_forces	3
military_generals_killed	stat_cat_military_forces	47
military_generals_lost	stat_cat_military_forces	48
military_generals_recruited	stat_cat_military_forces	46
military_settlements_liberated	stat_cat_military_battles	45
military_settlements_looted	stat_cat_military_battles	41
military_settlements_occupied	stat_cat_military_battles	44
military_settlements_raised	stat_cat_military_battles	42
military_settlements_sacked	stat_cat_military_battles	43
military_units_land_lost	stat_cat_military_forces	54
military_units_land_recruited	stat_cat_military_forces	50
military_units_naval_lost	stat_cat_military_forces	55
military_units_naval_recruited	stat_cat_military_forces	51
military_units_total_destroyed	stat_cat_military_forces	52
military_units_total_lost	stat_cat_military_forces	53
military_units_total_recruited	stat_cat_military_forces	49
