key	flavour_text	male	optional_name	optional_name_source_faction	ui_image
#campaign_subjects_tables;0;db/campaign_subjects_tables/campaign_subjects					
barb_hostile_dispute	barb_hostile_dispute	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_hostile_governor	barb_hostile_governor	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_my_sword	barb_my_sword	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_secret_meetings	barb_secret_meetings	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_trading_enemy	barb_trading_enemy	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_tribal_loyalty	barb_tribal_loyalty	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
barb_young_challenger	barb_young_challenger	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
eas_agrarian_agitator	civ_agrarian_agitator	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
eas_hostile_dispute	civ_hostile_dispute	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
eas_hostile_governor	civ_hostile_governor	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
eas_secret_meetings	civ_secret_meetings	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
eas_temple_sacrilege	civ_temple_sacriledge	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
eas_young_challenger	civ_young_challenger	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
gre_agrarian_agitator	civ_agrarian_agitator	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
gre_hostile_dispute	civ_hostile_dispute	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
gre_hostile_governor	civ_hostile_governor	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
gre_secret_meetings	civ_secret_meetings	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
gre_temple_sacrilege	civ_temple_sacriledge	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
gre_young_challenger	civ_young_challenger	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
rom_agrarian_agitator	civ_agrarian_agitator	true		rom_rome	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_roman_portrait_01.VariantMeshDefinition
rom_banning_corrupt	rom_banning_corrupt	true		rom_rome	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_roman_portrait_01.VariantMeshDefinition
rom_hostile_dispute	civ_hostile_dispute	true		rom_rome	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_roman_portrait_01.VariantMeshDefinition
rom_hostile_governor	civ_hostile_governor	true		rom_rome	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_roman_portrait_01.VariantMeshDefinition
rom_secret_meetings	civ_secret_meetings	true		rom_rome	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_roman_portrait_01.VariantMeshDefinition
rom_subject_barb_britons_sacred_sword	rom_subject_barb_britons_sacred_sword_flavour	true		rom_iceni	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_creature_1_white_faun	rom_subject_barb_creature_1_white_faun_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_family_member_1_brotherly_love	rom_subject_barb_family_member_1_brotherly_love_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_family_member_2_younger_son	rom_subject_barb_family_member_2_younger_son_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_family_member_3_kidnapped	rom_subject_barb_family_member_3_kidnapped_flavour	false		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_female_druidic_portrait.VariantMeshDefinition
rom_subject_barb_family_member_4_dead	rom_subject_barb_family_member_4_dead_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_family_member_5_long_lost_flavour	rom_subject_barb_family_member_5_long_lost_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_family_member_6_unfaithful_woman	rom_subject_barb_family_member_6_unfaithful_woman_flavour	false		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_female_druidic_portrait.VariantMeshDefinition
rom_subject_barb_family_member_7_hares	rom_subject_barb_family_member_7_hares_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_gaul_family_member_blessed_by_the_gods_1	rom_subject_barb_gaul_family_member_blessed_by_the_gods_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_profession_1_chariot	rom_subject_barb_profession_1_chariot_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_religious_1_looters	rom_subject_barb_religious_1_looters_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_religious_2_talking_head	rom_subject_barb_religious_2_talking_head_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_religious_3_drought	rom_subject_barb_religious_3_drought_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_religious_4_hag	rom_subject_barb_religious_4_hag_flavour	false		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_female_druidic_portrait.VariantMeshDefinition
rom_subject_barb_religious_5_the_hunt	rom_subject_barb_religious_5_the_hunt_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_the_hunt	rom_subject_barb_the_hunt_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_trade_1_Silk	rom_subject_barb_trade_1_Silk_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_trade_2_Spices	rom_subject_barb_trade_2_Spices_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_trade_3_Nisean	rom_subject_barb_trade_3_Nisean_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_trade_4_Wine	rom_subject_barb_trade_4_Wine_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_trade_5_tyrian_purple	rom_subject_barb_trade_5_tyrian_purple_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_vanquished_leader	rom_subject_barb_vanquished_leader_flavour	true		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_barb_witchcraft	rom_subject_barb_witchcraft_flavour	false		rom_boii	VariantMeshes\VariantMeshDefinitions\agent_dignitary_female_druidic_portrait.VariantMeshDefinition
rom_subject_eastern_archon_1_death	rom_subject_eastern_archon_1_death_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_archon_2_plenty_slaves	rom_subject_eastern_archon_2_plenty_slaves_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_archon_3_lack_slaves	rom_subject_eastern_archon_3_lack_slaves_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_archon_4_evil_eye	rom_subject_eastern_archon_4_evil_eye_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_archon_5_Barren_land	rom_subject_eastern_archon_5_Barren_land_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_concubine_1_foreign_beauty	rom_subject_eastern_concubine_1_foreign_beauty_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_concubine_2_killer_queen	rom_subject_eastern_concubine_2_killer_queen_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_concubine_3_plots	rom_subject_eastern_concubine_3_plots_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_creature_1_griffin	rom_subject_eastern_creature_1_griffin_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_creature_2_djinn	rom_subject_eastern_creature_2_djinn_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_family_member_1_revenge	rom_subject_eastern_family_member_1_revenge_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_family_member_2_debauched	rom_subject_eastern_family_member_2_debauched_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_family_member_3_greek_lover	rom_subject_eastern_family_member_3_greek_lover_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_family_member_4_kidnapped	rom_subject_eastern_family_member_4_kidnapped_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_profession_1_Goldsmith	rom_subject_eastern_profession_1_Goldsmith_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_druidic_portrait_01.VariantMeshDefinition
rom_subject_eastern_profession_2_rhyton	rom_subject_eastern_profession_2_rhyton_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_profession_3_caravans	rom_subject_eastern_profession_3_caravans_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_profession_3_gosan	rom_subject_eastern_profession_3_gosan_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_religious_1_star_flood	rom_subject_eastern_religious_1_star_flood_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_religious_2_dark_dreams	rom_subject_eastern_religious_2_dark_dreams_flavour	false		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_spy_female_skythian_portrait.VariantMeshDefinition
rom_subject_eastern_religious_3_star_prosperity	rom_subject_eastern_religious_3_star_prosperity_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_religious_4_star_baby	rom_subject_eastern_religious_4_star_baby_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_trade_1_Silk	rom_subject_eastern_trade_1_Silk_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_eastern_trade_2_Nisean	rom_subject_eastern_trade_2_Nisean_flavour	true		rom_persia	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_eastern_portrait_01.VariantMeshDefinition
rom_subject_hellenic_family_member_1_debt	rom_subject_hellenic_family_member_1_debt_flavour	true		rom_athens	VariantMeshes\VariantMeshDefinitions\agent_dignitary_male_hellenic_portrait_01.VariantMeshDefinition
