variable_key	value
#campaign_variables_tables;0;db/campaign_variables_tables/campaign_variables	
agents_per_tech_cap	3.0000
allow_exceeding_agents_cap	0.0000
ambush_critical_fail_proportion_of_fail	0.5000
annexed_territory_multiplier_on_realm_divide	1.0000
armed_citizenry_army_percentage_on_change_hands	5.0000
armed_citizenry_navy_percentage_on_change_hands	5.0000
artillery_capture_chance	10.0000
autoresolver_alliance_wipe_out_loser_strength_of_max_threshold	0.3000
autoresolver_alliance_wipe_out_winner_loser_strength_multiple	7.0000
autoresolver_battle_damage_modifier_full_naval_units_at_sea	7.0000
autoresolver_battle_damage_modifier_non_naval_units_at_sea	1.0000
autoresolver_battle_excess_melee_damage_multiplier	0.7500
autoresolver_battle_excess_melee_damage_received_from_target_multiplier	0.7500
autoresolver_battle_max_melee_skirmish_time_proportion	0.9000
autoresolver_battle_melee_skirmish_speed_proportion_multiplier	0.2500
autoresolver_battle_reinforcement_time	0.0000
autoresolver_battle_timestep	15.0000
autoresolver_bound_max_ammo_per_second_mod_unit_size	3.0000
autoresolver_bound_max_melee_strength_proportion	100.0000
autoresolver_bound_max_ranged_kills_per_second	20.0000
autoresolver_bound_min_melee_kills_per_second_full_strength	0.0000
autoresolver_bound_min_ranged_kills_per_ammo_mod_unit_size	0.0000
autoresolver_bound_min_ranged_kills_per_second	0.0000
autoresolver_casualty_unary_received_by_excess_melee_units_from_target	0.0500
autoresolver_chase_down_damage_multiplier	1.0000
autoresolver_min_battle_time_before_retreat	45.0000
autoresolver_num_excess_melee_units_receiving_casualties_from_target	4.0000
autoresolver_num_units_multiplier_vs_enemy_to_allow_retreat	0.7500
autoresolver_unit_base_retreat_threshold	0.2000
autoresolver_unit_wipe_out_threshold	0.1000
autoresolver_winner_kpd_major_win_threshold	3.0000
autoresolver_winner_kpd_minor_win_threshold	0.3000
autoresolver_wipe_out_army_force_unary_lost	0.9200
background_resource_supply	20000.0000
banditry_effects_tier01_event_chance	0.0000
banditry_effects_tier01_food_penalty	0.0000
banditry_effects_tier01_low_cap	0.0000
banditry_effects_tier02_event_chance	0.0000
banditry_effects_tier02_food_penalty	0.0000
banditry_effects_tier02_low_cap	11.0000
banditry_effects_tier03_event_chance	0.0000
banditry_effects_tier03_food_penalty	0.0000
banditry_effects_tier03_low_cap	31.0000
banditry_effects_tier04_event_chance	0.0000
banditry_effects_tier04_food_penalty	0.0000
banditry_effects_tier04_low_cap	41.0000
banditry_effects_tier05_event_chance	0.0000
banditry_effects_tier05_food_penalty	0.0000
banditry_effects_tier05_low_cap	51.0000
banditry_effects_tier06_event_chance	0.0000
banditry_effects_tier06_food_penalty	0.0000
banditry_effects_tier06_low_cap	61.0000
banditry_effects_tier07_event_chance	0.0000
banditry_effects_tier07_food_penalty	0.0000
banditry_effects_tier07_low_cap	81.0000
banditry_percentage_for_presence_of_army	0.0000
banditry_percentage_for_presence_of_army_turns	0.0000
banditry_percentage_for_presence_of_barbarian_army	0.0000
banditry_percentage_for_presence_of_trade_route	0.0000
banditry_percentage_for_regions_maximum	0.0000
banditry_percentage_for_regions_minimum	0.0000
banditry_percentage_regions_maximum	50.0000
banditry_percentage_regions_minimum	3.0000
base_wealth_increase	1000.0000
baseline_pop_growth	0.3000
besieged_attrition_force_size_threshold	33.0000
besieging_attrition_force_size_threshold	33.0000
blockaded_attrition_force_size_threshold	33.0000
blockading_attrition_force_size_threshold	33.0000
brige_battle_detection_path_distance	3.0000
building_cultural_conversion_cost_mod	1.0000
building_cultural_conversion_time_mod	1.0000
building_min_conversion_cost	200.0000
building_slum_creation_time	1.0000
building_slum_dismantle_cost	500.0000
captured_required_region_prestige_multiplier	1.0000
captured_units_prize_money_percent	10.0000
captured_units_slaves_percent	10.0000
cdir_unit_quality_accuracy_value	100.0000
cdir_unit_quality_armour_value	100.0000
cdir_unit_quality_charge_value	100.0000
cdir_unit_quality_experience_value	50.0000
cdir_unit_quality_morale_value	100.0000
cdir_unit_quality_weapons_value	100.0000
character_creation_for_marriage_max_age	30.0000
character_creation_for_marriage_min_age	20.0000
character_creation_max_age	17.0000
character_creation_min_age	16.0000
character_max_baby_age	5.0000
character_recruitment_base_cost	400.0000
character_recruitment_cost_per_command_star	300.0000
character_recruitment_max_distance	1000.0000
character_recruitment_pool_cap	3.0000
character_recruitment_pool_refill_rate_admiral_0	4.0000
character_recruitment_pool_refill_rate_admiral_1	3.0000
character_recruitment_pool_refill_rate_admiral_2	2.0000
character_recruitment_pool_refill_rate_general_0	4.0000
character_recruitment_pool_refill_rate_general_1	3.0000
character_recruitment_pool_refill_rate_general_2	2.0000
character_research_points_cap	12.0000
civil_war_always_trigger_fame_level	100.0000
civil_war_high_chance_easy_chance	4.0000
civil_war_high_chance_fame_level	6.0000
