key	agent_filter	culture_filter	faction_filter	vfx_description	vfx_event
#campaign_vfx_lookups_tables;0;db/campaign_vfx_lookups_tables/campaign_vfx_lookups					
103				2xtime_navy	navy_double_time
104				attrition_navy	navy_generic_attrition
109				level_up	navy_level_up
111				raid_navy	navy_raiding
113				select_navy	navy_selection
122				war_coordination	navy_war_coordination_target
126				under_attack	settlement_besieged
128				under_attack	settlement_blockaded
13				debuff_army	agent_debuffed
155				settle_devpoint	settlement_development_point_available
160				disease	settlement_disease
17				level_up	agent_level_up
171				looted	settlement_looted
173				raze	settlement_raze
183				war_coordination	settlement_war_coordination_target
196				settle_select	settlement_selection
20				select_army	agent_selection
203				edict_money	settlement_province_edict_money
21				ambush	army_ambushing
212				select_tutorial	tutorial_marker
218				patrol_navy	navy_patrol
228				edict_army	settlement_province_edict_military
23				attacking	army_besieging
231				edict_population	settlement_province_edict_population
33				defence_army	army_border_defence
38				buff_army	army_buffed
44				debuff_army	army_debuffed
5				buff_army	agent_buffed
50				desertion	army_desertion
52				disease	army_disease
53				2xtime_army	army_forced_march
58				attrition_army	army_generic_attrition
64				level_up	army_level_up
66				raid_army	army_raiding
67				sabotage	army_sabotage
70				select_army	army_selection
76				war_coordination	army_war_coordination_target
84				attacking	navy_blockading
87				buff_navy	navy_buffed
93				debuff_navy	navy_debuffed
