variable_key	campaign_name	optional_difficulty_level	optional_campaign_type	value
#campaigns_campaign_variables_junctions_tables;2;db/campaigns_campaign_variables_junctions_tables/campaigns_campaign_variables_junctions				
banditry_effects_tier01_event_chance	main_3c			0.0000
banditry_effects_tier02_event_chance	main_3c			1.0000
banditry_effects_tier02_food_penalty	main_3c			2.0000
banditry_effects_tier03_event_chance	main_3c			2.0000
banditry_effects_tier03_food_penalty	main_3c			4.0000
banditry_effects_tier04_event_chance	main_3c			3.0000
banditry_effects_tier04_food_penalty	main_3c			6.0000
banditry_effects_tier05_event_chance	main_3c			5.0000
banditry_effects_tier05_food_penalty	main_3c			8.0000
banditry_effects_tier06_event_chance	main_3c			7.0000
banditry_effects_tier06_food_penalty	main_3c			10.0000
banditry_effects_tier07_event_chance	main_3c			9.0000
banditry_effects_tier07_food_penalty	main_3c			12.0000
banditry_percentage_for_presence_of_army_turns	main_3c			3.0000
banditry_percentage_for_presence_of_army	main_3c			-10.0000
banditry_percentage_for_presence_of_barbarian_army	main_3c			-20.0000
banditry_percentage_for_presence_of_trade_route	main_3c			10.0000
banditry_percentage_for_regions_maximum	main_3c			50.0000
building_cultural_conversion_time_mod	main_gaul			2.0000
building_slum_creation_time	main_gaul			2.0000
character_creation_max_age	main_3c			40.0000
character_creation_max_age	main_emperor			25.0000
character_creation_max_age	main_gaul			32.0000
character_creation_max_age	main_greek			40.0000
character_creation_max_age	main_invasion			30.0000
character_creation_max_age	main_punic			32.0000
character_creation_min_age	main_3c			35.0000
character_creation_min_age	main_emperor			16.0000
character_creation_min_age	main_gaul			16.0000
character_creation_min_age	main_greek			25.0000
character_creation_min_age	main_invasion			25.0000
character_creation_min_age	main_punic			16.0000
civil_war_always_trigger_fame_level	main_gaul			4.0000
civil_war_high_chance_fame_level	main_gaul			3.0000
civil_war_low_chance_fame_level	main_gaul			3.0000
display_camera_pre_battle_zoom	main_invasion			0.9000
faction_gdp_other_minor	main_rome			2000.0000
faction_gdp_other	prologue_02			500.0000
faction_gdp_other	prologue_03			1500.0000
family_age_of_adulthood	main_3c			16.0000
family_age_of_guaranteed_adulthood	main_3c			16.0000
family_base_child_chance	main_3c			20.0000
family_base_child_chance	main_emperor			20.0000
family_base_child_chance	main_gaul			0.0000
family_base_child_chance	main_greek			20.0000
family_base_child_chance	main_invasion			20.0000
family_base_child_chance	main_punic			20.0000
family_base_child_chance	main_rome			20.0000
family_infant_mortality_chance_very_young	main_3c			0.0000
family_infant_mortality_chance_very_young	main_emperor			0.0000
family_infant_mortality_chance_very_young	main_gaul			0.0000
family_infant_mortality_chance_very_young	main_greek			0.0000
family_infant_mortality_chance_very_young	main_invasion			0.0000
family_infant_mortality_chance_very_young	main_punic			0.0000
family_infant_mortality_chance_very_young	main_rome			1.0000
family_infant_mortality_chance_young	main_3c			0.0000
family_infant_mortality_chance_young	main_emperor			0.0000
family_infant_mortality_chance_young	main_gaul			0.0000
family_infant_mortality_chance_young	main_greek			0.0000
family_infant_mortality_chance_young	main_invasion			0.0000
family_infant_mortality_chance_young	main_punic			0.0000
family_infant_mortality_chance_young	main_rome			1.0000
family_rounds_between_children	main_3c			2.0000
family_rounds_between_children	main_emperor			2.0000
family_rounds_between_children	main_gaul			0.0000
family_rounds_between_children	main_greek			2.0000
family_rounds_between_children	main_invasion			2.0000
family_rounds_between_children	main_punic			2.0000
family_rounds_between_children	main_rome			2.0000
family_rounds_between_marriage_and_first_child	main_3c			1.0000
family_rounds_between_marriage_and_first_child	main_emperor			1.0000
family_rounds_between_marriage_and_first_child	main_gaul			0.0000
family_rounds_between_marriage_and_first_child	main_greek			1.0000
family_rounds_between_marriage_and_first_child	main_invasion			1.0000
family_rounds_between_marriage_and_first_child	main_punic			1.0000
family_rounds_between_marriage_and_first_child	main_rome			1.0000
general_admiral_action_point_bonus	main_gaul			0.5000
general_admiral_action_point_bonus	main_punic			0.2000
ninja_action_point_bonus	main_punic			0.1000
occupation_decision_liberate_conquest_public_order_reduction	main_greek			-5.0000
occupation_decision_liberate_public_order_reduction	main_greek			0.0000
occupation_decision_loot_conquest_public_order_reduction	main_greek			50.0000
occupation_decision_occupation_conquest_public_order_reduction	main_greek			30.0000
occupation_decision_occupation_public_order_reduction_different_culture	main_greek			20.0000
occupation_decision_occupation_public_order_reduction_same_culture	main_greek			15.0000
occupation_decision_raze_conquest_public_order_reduction	main_greek			50.0000
occupation_decision_raze_public_order_reduction	main_greek			5.0000
occupation_decision_raze_public_order_reduction	main_invasion			10.0000
occupation_decision_sack_conquest_public_order_reduction	main_greek			50.0000
occupation_decision_sack_public_order_reduction	main_greek			30.0000
occupation_decision_vassal_public_order_reduction	main_greek			0.0000
plague_force_to_force_battle_infectivity_multiplier	main_3c			1.0000
plague_force_to_force_infectivity_multiplier	main_3c			0.5000
plague_force_to_region_infectivity_multiplier	main_3c			0.7000
plague_region_to_force_infectivity_multiplier	main_3c			0.5000
plague_region_to_region_infectivity_multiplier	main_3c			0.2000
plague_sea_to_region_infectivity_multiplier	main_3c			0.1000
plague_trade_to_region_infectivity_multiplier	main_3c			0.1000
prestige_region_value_bonus_original_home_region	main_gaul			0.0000
prestige_region_value_bonus_province_capital	main_gaul			3.0000
prestige_region_value_domination_easy	main_gaul			2.0000
prestige_region_value_domination_easy	prologue_01			2.0000
prestige_region_value_domination_easy	prologue_02			2.0000
prestige_region_value_domination_easy	prologue_03			2.0000
prestige_region_value_domination_hard	main_gaul			3.0000
prestige_region_value_domination_hard	prologue_01			2.0000
prestige_region_value_domination_hard	prologue_02			2.0000
prestige_region_value_domination_hard	prologue_03			2.0000
prestige_region_value_domination_normal	main_gaul			2.0000
prestige_region_value_domination_normal	prologue_01			2.0000
prestige_region_value_domination_normal	prologue_02			2.0000
prestige_region_value_domination_normal	prologue_03			2.0000
prestige_region_value_easy	main_gaul			2.0000
prestige_region_value_easy	prologue_01			2.0000
prestige_region_value_easy	prologue_02			2.0000
prestige_region_value_easy	prologue_03			2.0000
prestige_region_value_hard	main_gaul			3.0000
prestige_region_value_hard	prologue_01			2.0000
prestige_region_value_hard	prologue_02			2.0000
prestige_region_value_hard	prologue_03			2.0000
prestige_region_value_normal	main_gaul			2.0000
prestige_region_value_normal	prologue_01			2.0000
prestige_region_value_normal	prologue_02			2.0000
prestige_region_value_normal	prologue_03			2.0000
prestige_region_value_short_easy	main_gaul			2.0000
prestige_region_value_short_easy	prologue_01			2.0000
prestige_region_value_short_easy	prologue_02			2.0000
prestige_region_value_short_easy	prologue_03			2.0000
prestige_region_value_short_hard	main_gaul			3.0000
prestige_region_value_short_hard	prologue_01			2.0000
prestige_region_value_short_hard	prologue_02			2.0000
prestige_region_value_short_hard	prologue_03			2.0000
