key	icon_name
#capture_point_types_tables;0;db/capture_point_types_tables/capture_point_types	
a_default_capture_point	placeholder
capture_point_gate_and_towers	gate_tower
capture_point_gate_only	gate
capture_point_plaza	placeholder
capture_point_tower_only	tower
victory_point_acropolis	placeholder
victory_point_agora	placeholder
victory_point_aqueduct	placeholder
victory_point_archery	placeholder
victory_point_arena	placeholder
victory_point_barracks	placeholder
victory_point_baths	placeholder
victory_point_bridge	placeholder
victory_point_chieftain	placeholder
victory_point_circus	placeholder
victory_point_coliseum	placeholder
victory_point_docks	placeholder
victory_point_forum	placeholder
victory_point_great_oak	placeholder
victory_point_lighthouse	placeholder
victory_point_market	placeholder
victory_point_obelisk	placeholder
victory_point_palace	placeholder
victory_point_park	placeholder
victory_point_plaza	placeholder
victory_point_shrine	placeholder
victory_point_stables	placeholder
victory_point_statue_augustus	placeholder
victory_point_statue_helios	placeholder
victory_point_statue_hera	placeholder
victory_point_statue_poseidon	placeholder
victory_point_stone_circle	placeholder
victory_point_temple	placeholder
victory_point_theatre	placeholder
victory_point_ziggurat	placeholder
