campaign_key	faction_key	cdir_config_key	value
#cdir_configs_tables;0;db/cdir_configs_tables/cdir_configs			
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_WINNER	3.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_LOSER	0.75
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_WINNER	1.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_LOSER	0.2
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_WINNER	0.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_LOSER	0.75
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_WINNER	1.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_WINNER	3.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_LOSER	0.75
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_WINNER	1.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_LOSER	0.2
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_WINNER	0.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_LOSER	0.75
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_WINNER	1.8
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_AMOUNT	500
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MAX	5
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MIN	5
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_PERCENTAGE	0.125
all	all	CDIR_CVN_EVENT_GENERATOR_BASE_CHANCE	0.25
all	all	CDIR_CVN_EVENT_GENERATOR_EXTRA_CHANCE_PER_ROUND	0.05
all	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_BASE_CHANCE	0.1
all	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_CHANCE_PER_ROUND	0.02
all	all	CDIR_CVN_EVENT_GENERATOR_MIN_ROUNDS_BETWEEN_EVENTS	0
all	all	CDIR_CVN_EVENT_GENERATOR_MISSION_BASE_CHANCE	0.5
all	all	CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND	0
all	all	CDIR_CVN_FILL_TRADE_THEATRES_BASE_CHANCE	0.05
all	all	CDIR_CVN_FILL_TRADE_THEATRES_EXTRA_CHANCE_PER_ROUND	0.05
all	all	CDIR_CVN_FILL_TRADE_THEATRES_FACTIONS_TO_CONSIDER	5
all	all	CDIR_CVN_FILL_TRADE_THEATRES_MAX_TRADE_UNITS	3
all	all	CDIR_CVN_FILL_TRADE_THEATRES_MILITARY_STRENGTH_PCT	1.2
all	all	CDIR_CVN_FILL_TRADE_THEATRES_MIN_TRADE_UNITS	1
all	all	CDIR_CVN_FILL_TRADE_THEATRES_RASTER_SIZE	2.5
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_DIPLOMATIC_RELATION_PCT	0.1
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_FAME_PCT	0.5
