choice_key	dilemma_key
#cdir_events_dilemma_choice_details_tables;0;db/cdir_events_dilemma_choice_details_tables/cdir_events_dilemma_choice_details	
FIRST	3c_Faction_Leader_Aurelian_1
FOURTH	3c_Faction_Leader_Aurelian_1
SECOND	3c_Faction_Leader_Aurelian_1
THIRD	3c_Faction_Leader_Aurelian_1
FIRST	3c_Faction_Leader_Aurelian_2
FOURTH	3c_Faction_Leader_Aurelian_2
SECOND	3c_Faction_Leader_Aurelian_2
THIRD	3c_Faction_Leader_Aurelian_2
FIRST	3c_Faction_Leader_Aurelian_3
FOURTH	3c_Faction_Leader_Aurelian_3
SECOND	3c_Faction_Leader_Aurelian_3
THIRD	3c_Faction_Leader_Aurelian_3
FIRST	3c_Faction_Leader_Aurelian_4
FOURTH	3c_Faction_Leader_Aurelian_4
SECOND	3c_Faction_Leader_Aurelian_4
THIRD	3c_Faction_Leader_Aurelian_4
FIRST	3c_Faction_Leader_Cannabaudes_1
FOURTH	3c_Faction_Leader_Cannabaudes_1
SECOND	3c_Faction_Leader_Cannabaudes_1
THIRD	3c_Faction_Leader_Cannabaudes_1
FIRST	3c_Faction_Leader_Cannabaudes_2
FOURTH	3c_Faction_Leader_Cannabaudes_2
SECOND	3c_Faction_Leader_Cannabaudes_2
THIRD	3c_Faction_Leader_Cannabaudes_2
FIRST	3c_Faction_Leader_Cannabaudes_3
FOURTH	3c_Faction_Leader_Cannabaudes_3
SECOND	3c_Faction_Leader_Cannabaudes_3
THIRD	3c_Faction_Leader_Cannabaudes_3
FIRST	3c_Faction_Leader_Cannabaudes_4
FOURTH	3c_Faction_Leader_Cannabaudes_4
SECOND	3c_Faction_Leader_Cannabaudes_4
THIRD	3c_Faction_Leader_Cannabaudes_4
FIRST	3c_Faction_Leader_Hormizd_1
FOURTH	3c_Faction_Leader_Hormizd_1
SECOND	3c_Faction_Leader_Hormizd_1
THIRD	3c_Faction_Leader_Hormizd_1
FIRST	3c_Faction_Leader_Hormizd_2
FOURTH	3c_Faction_Leader_Hormizd_2
SECOND	3c_Faction_Leader_Hormizd_2
THIRD	3c_Faction_Leader_Hormizd_2
FIRST	3c_Faction_Leader_Hormizd_3
FOURTH	3c_Faction_Leader_Hormizd_3
SECOND	3c_Faction_Leader_Hormizd_3
THIRD	3c_Faction_Leader_Hormizd_3
FIRST	3c_Faction_Leader_Hormizd_4
FOURTH	3c_Faction_Leader_Hormizd_4
SECOND	3c_Faction_Leader_Hormizd_4
THIRD	3c_Faction_Leader_Hormizd_4
FIRST	3c_Faction_Leader_Tetricus_1
FOURTH	3c_Faction_Leader_Tetricus_1
SECOND	3c_Faction_Leader_Tetricus_1
THIRD	3c_Faction_Leader_Tetricus_1
FIRST	3c_Faction_Leader_Tetricus_2
FOURTH	3c_Faction_Leader_Tetricus_2
SECOND	3c_Faction_Leader_Tetricus_2
THIRD	3c_Faction_Leader_Tetricus_2
FIRST	3c_Faction_Leader_Tetricus_3
FOURTH	3c_Faction_Leader_Tetricus_3
SECOND	3c_Faction_Leader_Tetricus_3
THIRD	3c_Faction_Leader_Tetricus_3
FIRST	3c_Faction_Leader_Tetricus_4
FOURTH	3c_Faction_Leader_Tetricus_4
SECOND	3c_Faction_Leader_Tetricus_4
THIRD	3c_Faction_Leader_Tetricus_4
FIRST	3c_Faction_Leader_Zenobia_1
FOURTH	3c_Faction_Leader_Zenobia_1
SECOND	3c_Faction_Leader_Zenobia_1
THIRD	3c_Faction_Leader_Zenobia_1
FIRST	3c_Faction_Leader_Zenobia_2
FOURTH	3c_Faction_Leader_Zenobia_2
SECOND	3c_Faction_Leader_Zenobia_2
THIRD	3c_Faction_Leader_Zenobia_2
FIRST	3c_Faction_Leader_Zenobia_3
FOURTH	3c_Faction_Leader_Zenobia_3
SECOND	3c_Faction_Leader_Zenobia_3
THIRD	3c_Faction_Leader_Zenobia_3
FIRST	3c_Faction_Leader_Zenobia_4
FOURTH	3c_Faction_Leader_Zenobia_4
SECOND	3c_Faction_Leader_Zenobia_4
THIRD	3c_Faction_Leader_Zenobia_4
FIRST	3c_alani_mystic_dreams
FOURTH	3c_alani_mystic_dreams
SECOND	3c_alani_mystic_dreams
THIRD	3c_alani_mystic_dreams
FIRST	3c_alani_smoke_visions
FOURTH	3c_alani_smoke_visions
SECOND	3c_alani_smoke_visions
THIRD	3c_alani_smoke_visions
FIRST	3c_barb_ships_at_the_port
FOURTH	3c_barb_ships_at_the_port
SECOND	3c_barb_ships_at_the_port
THIRD	3c_barb_ships_at_the_port
FIRST	3c_caledoni_druidic_order
FOURTH	3c_caledoni_druidic_order
SECOND	3c_caledoni_druidic_order
THIRD	3c_caledoni_druidic_order
FIRST	3c_east_ardashir_testament
FOURTH	3c_east_ardashir_testament
SECOND	3c_east_ardashir_testament
THIRD	3c_east_ardashir_testament
FIRST	3c_east_magi_council
FOURTH	3c_east_magi_council
SECOND	3c_east_magi_council
THIRD	3c_east_magi_council
FIRST	3c_east_royal_crown
FOURTH	3c_east_royal_crown
SECOND	3c_east_royal_crown
THIRD	3c_east_royal_crown
FIRST	3c_east_sassanian_sculptor
FOURTH	3c_east_sassanian_sculptor
SECOND	3c_east_sassanian_sculptor
THIRD	3c_east_sassanian_sculptor
FIRST	3c_east_ships_at_the_port
FOURTH	3c_east_ships_at_the_port
SECOND	3c_east_ships_at_the_port
THIRD	3c_east_ships_at_the_port
FIRST	3c_gothi_casting_the_lots
FOURTH	3c_gothi_casting_the_lots
SECOND	3c_gothi_casting_the_lots
THIRD	3c_gothi_casting_the_lots
FIRST	3c_rat_infestation
FOURTH	3c_rat_infestation
SECOND	3c_rat_infestation
THIRD	3c_rat_infestation
FIRST	3c_rom_Sibylline_Books
FOURTH	3c_rom_Sibylline_Books
SECOND	3c_rom_Sibylline_Books
THIRD	3c_rom_Sibylline_Books
FIRST	3c_rom_Sibylline_Books_A1
FOURTH	3c_rom_Sibylline_Books_A1
SECOND	3c_rom_Sibylline_Books_A1
THIRD	3c_rom_Sibylline_Books_A1
FIRST	3c_rom_Sibylline_Books_A2
FOURTH	3c_rom_Sibylline_Books_A2
SECOND	3c_rom_Sibylline_Books_A2
THIRD	3c_rom_Sibylline_Books_A2
FIRST	3c_rom_Sibylline_Books_A3
FOURTH	3c_rom_Sibylline_Books_A3
SECOND	3c_rom_Sibylline_Books_A3
THIRD	3c_rom_Sibylline_Books_A3
FIRST	3c_rom_Sibylline_Books_B1
FOURTH	3c_rom_Sibylline_Books_B1
SECOND	3c_rom_Sibylline_Books_B1
THIRD	3c_rom_Sibylline_Books_B1
FIRST	3c_rom_Sibylline_Books_B2
FOURTH	3c_rom_Sibylline_Books_B2
