id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/cdir_events_dilemma_option_junctions			
10002	rom_subject_barb_family_member_7_hares	CND_FIRST_ROUND	10
10006	rom_subject_barb_family_member_7_hares	VAR_CHANCE	50
10009	rom_subject_barb_family_member_7_hares	GEN_TARGET_REGION	
10015	rom_subject_barb_family_member_7_hares	CND_CAMPAIGN	main_rome
10024	rom_subject_barb_family_member_7_hares	CND_RELIGION	rom_religion_celtic
10031	rom_subject_barb_family_member_7_hares	CND_RELIGION	rom_religion_germanic
10033	rom_subject_barb_family_member_7_hares	CND_ROUNDS_UNTIL_NEXT	40
10043	rom_subject_barb_trade_5_tyrian_purple	CND_FIRST_ROUND	20
10051	rom_subject_barb_trade_5_tyrian_purple	VAR_CHANCE	50
10055	rom_subject_barb_trade_5_tyrian_purple	GEN_TARGET_REGION	
10064	rom_subject_barb_trade_5_tyrian_purple	CND_CAMPAIGN	main_rome
10072	rom_subject_barb_trade_5_tyrian_purple	CND_RELIGION	rom_religion_celtic
10080	rom_subject_barb_trade_5_tyrian_purple	CND_RELIGION	rom_religion_germanic
10088	rom_subject_barb_trade_5_tyrian_purple	CND_ROUNDS_UNTIL_NEXT	40
10104	rom_subject_barb_creature_1_white_faun	GEN_CND_OWNS	
10145	rom_subject_barb_religious_1_looters	GEN_CND_OWNS	
10148	rom_subject_barb_religious_2_talking_head	GEN_CND_OWNS	
10152	rom_subject_barb_religious_3_drought	GEN_CND_OWNS	
10157	rom_subject_barb_religious_4_hag	GEN_CND_OWNS	
10161	rom_subject_barb_religious_5_the_hunt	GEN_CND_OWNS	
10171	rom_subject_barb_the_hunt	GEN_CND_OWNS	
10174	rom_subject_barb_trade_1_Silk	GEN_CND_OWNS	
10184	rom_subject_barb_trade_2_Spices	GEN_CND_OWNS	
10189	rom_subject_barb_trade_3_Nisean	GEN_CND_OWNS	
10190	rom_subject_barb_trade_4_Wine	GEN_CND_OWNS	
10204	rom_subject_barb_witchcraft	GEN_CND_OWNS	
10209	rom_subject_barb_family_member_3_kidnapped_followup	GEN_CND_OWNS	
10219	rom_subject_barb_family_member_7_hares	GEN_CND_OWNS	
10225	rom_subject_barb_trade_5_tyrian_purple	GEN_CND_OWNS	
10230	rom_subject_eastern_trade_1_Silk	GEN_CND_OWNS	
10231	rom_subject_eastern_trade_2_Nisean	GEN_CND_OWNS	
10239	rom_subject_hellenic_trade_1_Silk	GEN_CND_OWNS	
10244	rom_subject_hellenic_trade_2_Spices	GEN_CND_OWNS	
10245	rom_subject_hellenic_trade_3_Nisean	GEN_CND_OWNS	
10255	rom_subject_roman_trade_aventine_gang_1	GEN_CND_OWNS	
10265	rom_subject_roman_trade_aventine_gang_followup	GEN_CND_OWNS	
10274	rom_subject_roman_profession_2_Lanista	GEN_CND_OWNS	
10278	rom_subject_roman_profession_3_Gladiator	GEN_CND_OWNS	
10281	rom_subject_roman_profession_4_Charioteer	GEN_CND_OWNS	
10285	rom_subject_hellenic_profession_1_Goldsmith	GEN_CND_OWNS	
10295	rom_subject_hellenic_profession_2_Blacksmith	GEN_CND_OWNS	
10301	rom_subject_hellenic_profession_4_Priestess	GEN_CND_OWNS	
10309	rom_subject_hellenic_profession_6_Slaver	GEN_CND_OWNS	
10314	rom_subject_hellenic_profession_7_Miner	GEN_CND_OWNS	
10316	rom_subject_eastern_profession_1_Goldsmith	GEN_CND_OWNS	
10323	rom_subject_eastern_profession_2_rhyton	GEN_CND_OWNS	
10330	rom_subject_eastern_profession_3_caravans	GEN_CND_OWNS	
10333	rom_subject_eastern_profession_3_gosan	GEN_CND_OWNS	
10343	rom_subject_eastern_profession_3_caravans	VAR_FOLLOWUP_CHANCE	100
10352	rom_subject_eastern_profession_3_caravans	CND_MIN_TREASURY	5000
10353	rom_subject_barb_profession_1_chariot	CND_MIN_TREASURY	5000
10363	rom_subject_roman_trade_aventine_gang_1	CND_MIN_TREASURY	5000
10368	rom_subject_roman_trade_aventine_gang_followup	CND_MIN_TREASURY	5000
10375	rom_subject_roman_profession_2_Lanista	CND_MIN_TREASURY	5000
10377	rom_subject_eastern_profession_2_rhyton	CND_MIN_TREASURY	5000
10384	rom_subject_hellenic_profession_2_Blacksmith	CND_MIN_TREASURY	5000
10398	rom_subject_hellenic_profession_6_Slaver	CND_MIN_TREASURY	5000
10418	rom_subject_barb_religious_1_looters	CND_MIN_TREASURY	5000
10422	rom_subject_barb_religious_2_talking_head	CND_MIN_TREASURY	5000
10430	rom_subject_barb_religious_3_drought	CND_MIN_TREASURY	3000
10435	rom_subject_hellenic_religious_2_Dodona	GEN_CND_OWNS	
10439	rom_subject_hellenic_religious_3_Chalcon	GEN_CND_OWNS	
10449	rom_subject_hellenic_religious_4_Delphoi	GEN_CND_OWNS	
10454	rom_subject_hellenic_religious_5_Epidaurus	GEN_CND_OWNS	
10460	rom_subject_hellenic_religious_6_hedonistic	GEN_CND_OWNS	
10466	rom_subject_hellenic_religious_7_Bura	GEN_CND_OWNS	
10471	rom_subject_hellenic_religions_1_Dodona	GEN_CND_OWNS	
10472	rom_subject_roman_religious_4_vestal	GEN_CND_OWNS	
10481	rom_subject_roman_religious_3_augres	GEN_CND_OWNS	
10490	rom_subject_roman_religious_2_chickens	GEN_CND_OWNS	
10494	rom_subject_roman_religious_1_haruspay	GEN_CND_OWNS	
10501	rom_subject_roman_cult_1	GEN_CND_OWNS	
10505	rom_subject_eastern_religious_2_dark_dreams_followup	GEN_CND_OWNS	
10507	rom_subject_eastern_religious_4_star_baby_followup	GEN_CND_OWNS	
10509	rom_subject_eastern_religious_1_star_flood	GEN_CND_OWNS	
10516	rom_subject_eastern_religious_2_dark_dreams	GEN_CND_OWNS	
10523	rom_subject_eastern_religious_3_star_prosperity	GEN_CND_OWNS	
10525	rom_subject_eastern_religious_4_star_baby	GEN_CND_OWNS	
10530	rom_subject_eastern_religious_2_dark_dreams	VAR_FOLLOWUP_CHANCE	100
10534	rom_subject_eastern_religious_2_dark_dreams_followup	VAR_FOLLOWUP_CHANCE	100
10543	rom_subject_eastern_religious_3_star_prosperity	VAR_FOLLOWUP_CHANCE	100
10546	rom_subject_eastern_religious_4_star_baby	VAR_FOLLOWUP_CHANCE	100
10556	rom_subject_eastern_religious_4_star_baby_followup	VAR_FOLLOWUP_CHANCE	100
10571	rom_subject_eastern_archon_1_death	GEN_CND_OWNS	
10573	rom_subject_eastern_archon_2_plenty_slaves	GEN_CND_OWNS	
10582	rom_subject_eastern_archon_3_lack_slaves	GEN_CND_OWNS	
10583	rom_subject_eastern_archon_4_evil_eye	GEN_CND_OWNS	
10588	rom_subject_eastern_archon_5_Barren_land	GEN_CND_OWNS	
10594	rom_subject_eastern_archon_2_plenty_slaves	GEN_CND_MIN_PROVINCE_SLAVE_PERCENTAGE	40
10595	rom_subject_eastern_archon_3_lack_slaves	GEN_CND_MAX_PROVINCE_SLAVE_PERCENTAGE	30
10596	rom_subject_eastern_archon_3_lack_slaves	CND_MIN_TREASURY	3000
10601	rom_subject_eastern_archon_5_Barren_land	VAR_FOLLOWUP_CHANCE	100
10606	rom_subject_hellenic_magistrate_1_Barren_land	GEN_CND_OWNS	
10613	rom_subject_hellenic_magistrate_2_Wine	GEN_CND_OWNS	
10618	rom_subject_hellenic_magistrate_3_lack_slaves	GEN_CND_OWNS	
10626	rom_subject_hellenic_magistrate_4_plenty_slaves	GEN_CND_OWNS	
10628	rom_subject_hellenic_magistrate_5_bad_wife	GEN_CND_OWNS	
10634	rom_subject_roman_legate_3_Lack_slaves	GEN_CND_OWNS	
10640	rom_subject_roman_legate_4_Plenty_slaves	GEN_CND_OWNS	
10644	rom_subject_roman_legate_3_Lack_slaves	CND_MIN_TREASURY	3000
10648	rom_subject_hellenic_magistrate_3_lack_slaves	CND_MIN_TREASURY	3000
10650	rom_subject_hellenic_hetaira_1	GEN_CND_OWNS	
10667	rom_subject_hellenic_hetaira_2	GEN_CND_OWNS	
10672	rom_subject_hellenic_hetaira_3	GEN_CND_OWNS	
10678	rom_subject_hellenic_hetaira_4	GEN_CND_OWNS	
10687	rom_subject_hellenic_hetaira_1	CND_MIN_TREASURY	3000
10692	rom_subject_hellenic_hetaira_2	CND_MIN_TREASURY	3000
10695	rom_subject_hellenic_hetaira_3	CND_MIN_TREASURY	3000
10700	rom_subject_hellenic_hetaira_2	GEN_TARGET_REGION	
10704	rom_subject_hellenic_hetaira_1	GEN_CND_GENERAL	
10710	rom_subject_hellenic_hetaira_3	GEN_CND_GENERAL	
10727	rom_subject_hellenic_slaves_3_slavedriver	GEN_CND_OWNS	
10763	rom_subject_hellenic_slaves_1_secrets	CND_MIN_TREASURY	3000
10772	rom_subject_hellenic_slaves_2_Thracian	CND_MIN_TREASURY	3000
10777	rom_subject_eastern_concubine_1_foreign_beauty	GEN_CND_FACTION_LEADER	
10778	rom_subject_eastern_concubine_2_killer_queen	GEN_CND_FACTION_LEADER	
