id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/cdir_events_dilemma_payloads				
0	FIRST	dilemma_german_metal	rom_payload_precious	DURATION[4];GLOBAL
1	SECOND	dilemma_german_metal	rom_payload_death_metal	DURATION[4];GLOBAL
100	SECOND	dilemma_barbarian_independence_or_diplomacy	rom_payload_diplomatic_respect	DURATION[4];GLOBAL
1003	FIRST	rom_subject_hellenic_magistrate_5_bad_wife	rom_payload_resolution	DURATION[1];GLOBAL
1006	SECOND	rom_subject_hellenic_magistrate_5_bad_wife	rom_payload_resolution	DURATION[1];GLOBAL
1015	FIRST	rom_subject_hellenic_profession_1_Goldsmith	rom_payload_resolution	DURATION[1];GLOBAL
1023	SECOND	rom_subject_hellenic_profession_1_Goldsmith	rom_payload_resolution	DURATION[1];GLOBAL
103	FIRST	dilemma_all_martial_priorities	rom_payload_infantry_recruitment	DURATION[4];GLOBAL
1033	FIRST	rom_subject_hellenic_profession_2_Blacksmith	rom_payload_resolution	DURATION[1];GLOBAL
1035	SECOND	rom_subject_hellenic_profession_2_Blacksmith	rom_payload_resolution	DURATION[1];GLOBAL
104	SECOND	dilemma_all_martial_priorities	rom_payload_cavalry_recruitment	DURATION[4];GLOBAL
1045	FIRST	rom_subject_hellenic_profession_4_Priestess	rom_payload_resolution	DURATION[1];GLOBAL
1053	SECOND	rom_subject_hellenic_profession_4_Priestess	rom_payload_resolution	DURATION[1];GLOBAL
1058	THIRD	rom_subject_hellenic_profession_4_Priestess	rom_payload_resolution	DURATION[1];GLOBAL
1068	FIRST	rom_subject_hellenic_profession_5_Librarian	rom_payload_resolution	DURATION[1];GLOBAL
1074	SECOND	rom_subject_hellenic_profession_5_Librarian	rom_payload_resolution	DURATION[1];GLOBAL
1075	FIRST	rom_subject_hellenic_profession_6_Slaver	rom_payload_resolution	DURATION[1];GLOBAL
