incident_key	followup_dilemma_key
#cdir_events_incident_followup_dilemmas_tables;0;db/cdir_events_incident_followup_dilemmas_tables/cdir_events_incident_followup_dilemmas	
3c_rat_infestation_i_Start	3c_rat_infestation
3c_rom_Sibylline_Books_i_A1	3c_rom_Sibylline_Books_A1
3c_rom_Sibylline_Books_i_A2	3c_rom_Sibylline_Books_A2
3c_rom_Sibylline_Books_i_A3	3c_rom_Sibylline_Books_A3
3c_rom_Sibylline_Books_i_B1	3c_rom_Sibylline_Books_B1
3c_rom_Sibylline_Books_i_B2	3c_rom_Sibylline_Books_B2
3c_rom_Sibylline_Books_i_B3	3c_rom_Sibylline_Books_B3
3c_rom_Sibylline_Books_i_C1	3c_rom_Sibylline_Books_C1
3c_rom_Sibylline_Books_i_C2	3c_rom_Sibylline_Books_C2
3c_rom_Sibylline_Books_i_C3	3c_rom_Sibylline_Books_C3
3c_rom_Sibylline_Books_i_D1	3c_rom_Sibylline_Books_D1
3c_rom_Sibylline_Books_i_D2	3c_rom_Sibylline_Books_D2
3c_rom_Sibylline_Books_i_D3	3c_rom_Sibylline_Books_D3
3c_rom_stolen_eagle_i_Start	3c_rome_stolen_eagle
inv_colony_searching	inv_colony_discovered_1
inv_colony_searching	inv_colony_discovered_2
inv_colony_searching	inv_colony_discovered_3
inv_colony_searching	inv_colony_discovered_4
inv_colony_searching	inv_colony_discovered_5
inv_colony_searching	inv_colony_discovered_fail
inv_faction_veneti_05_A	inv_faction_veneti_06
inv_faction_veneti_05_B	inv_faction_veneti_06
inv_faction_veneti_05_C	inv_faction_veneti_06
rom_subject_barb_family_member_3_kidnapped_i_A	rom_subject_barb_family_member_3_kidnapped_followup
rom_subject_eastern_concubine_1_foreign_beauty_i_A	rom_subject_eastern_concubine_1_foreign_beauty_followup
rom_subject_eastern_concubine_3_plots_i_A	rom_subject_eastern_concubine_3_plots_followup
rom_subject_eastern_concubine_3_plots_i_C	rom_subject_eastern_concubine_3_plots_followup
rom_subject_eastern_creature_2_djinn_i_A	rom_subject_eastern_creature_2_djinn_followup
rom_subject_eastern_religious_2_dark_dreams_i_A	rom_subject_eastern_religious_2_dark_dreams_followup
rom_subject_eastern_religious_4_star_baby_i_C	rom_subject_eastern_religious_4_star_baby_followup
rom_subject_family_member_7_guardian_i_A	rom_subject_roman_guardian_1_followup
rom_subject_roman_family_member_2_harlot_i_A	rom_subject_roman_family_member_2_harlot_followup
rom_subject_roman_legate_1_Poisoner_i_A	rom_subject_roman_legate_1_Poisoner_followup
rom_subject_roman_trade_aventine_gang_1_i_C	rom_subject_roman_trade_aventine_gang_followup
