id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;1;db/cdir_events_incident_payloads_tables/cdir_events_incident_payloads			
0	incident_greek_gift_of_dionysos	rom_payload_inspired_endeavours_global	DURATION[6];GLOBAL
10007	3c_Faction_Leader_Aurelian_2_i_D	CHANGE_AUTHORITY	AMOUNT[1]
10011	3c_Faction_Leader_Aurelian_3_i_A	CHANGE_SUBTERFUGE	AMOUNT[1]
10016	3c_Faction_Leader_Aurelian_3_i_B	CHANGE_ZEAL	AMOUNT[1]
10019	3c_Faction_Leader_Aurelian_3_i_C	CHANGE_GRAVITAS	AMOUNT[10]
10026	3c_Faction_Leader_Aurelian_3_i_D	CHANGE_AUTHORITY	AMOUNT[1]
10032	3c_Faction_Leader_Aurelian_4_i_A	CHANGE_ZEAL	AMOUNT[1]
10038	3c_Faction_Leader_Aurelian_4_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10047	3c_Faction_Leader_Aurelian_4_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
1005	rom_subject_hellenic_profession_4_Priestess_i_C	TARGET	EVENT
10057	3c_Faction_Leader_Aurelian_4_i_D	CHANGE_GRAVITAS	AMOUNT[10]
10066	3c_spring	3c_spring	DURATION[5]
1007	rom_subject_profession_5_Librarian_i_A	TARGET	EVENT
10075	3c_squalor_incident	3c_squalor_incident	DURATION[3]
1008	rom_subject_profession_5_Librarian_i_B	TARGET	EVENT
10080	3c_rom_pax_romana	3c_pax_romana	DURATION[5]
10081	3c_rom_revolt_of_Felicissimus	3c_revolt_of_the_mint_workers	DURATION[4]
10086	3c_rom_revolt_of_Felicissimus	TARGET	EVENT
1009	rom_subject_profession_5_Librarian_i_C	TARGET	EVENT
10092	3c_rat_infestation_i_Start	TARGET	EVENT
10099	3c_rat_infestation_i_A	TARGET	EVENT
10117	3c_rat_infestation_i_B	TARGET	EVENT
10124	3c_rat_infestation_i_C	TARGET	EVENT
10125	3c_rat_infestation_i_D	TARGET	EVENT
10129	3c_squalor_incident	TARGET	EVENT
10132	3c_spring	TARGET	EVENT
10137	3c_rom_stolen_eagle_i_Start	3c_stolen_eagle	DURATION[2]
10145	3c_rom_stolen_eagle_i_Start	TARGET	EVENT
10164	3c_rom_stolen_eagle_i_A	TARGET	EVENT
10171	3c_rom_stolen_eagle_i_B	TARGET	EVENT
10178	3c_rom_stolen_eagle_i_D	TARGET	EVENT
1018	rom_subject_profession_6_Slaver_i_A	TARGET	EVENT
10183	3c_rom_stolen_eagle_i_C	TARGET	EVENT
10187	3c_ships_at_the_port_i_A	TARGET	EVENT
10192	3c_ships_at_the_port_i_B	TARGET	EVENT
10207	3c_ships_at_the_port_i_C	TARGET	EVENT
10212	3c_ships_at_the_port_i_C	3c_ships_at_the_port_C	DURATION[3]
10218	3c_cult_christianity_christmas	3c_cult_christianity_christmas	DURATION[2]
1022	rom_subject_profession_6_Slaver_i_B	TARGET	EVENT
10224	3c_cult_existing_manichaeism	3c_cult_existing_manichaeism	DURATION[2]
10233	3c_cult_existing_mithraism	3c_cult_existing_mithraism	DURATION[2]
10239	3c_cult_existing_sol_invictus	3c_cult_existing_sol_invictus	DURATION[4]
10249	3c_cult_christianity_christmas	TARGET	EVENT
10255	3c_cult_existing_mithraism	TARGET	EVENT
10262	3c_Faction_Leader_Aurelian_1_i_D	TARGET	EVENT
10264	3c_Faction_Leader_Aurelian_2_i_A	TARGET	EVENT
10266	3c_Faction_Leader_Aurelian_3_i_C	TARGET	EVENT
1027	rom_subject_profession_6_Slaver_i_C	TARGET	EVENT
10274	3c_Faction_Leader_Aurelian_4_i_A	TARGET	EVENT
10275	3c_gothi_casting_the_lots_i_A	3c_gothi_casting_the_lots_i_A	DURATION[4]
10277	3c_gothi_casting_the_lots_i_B	3c_gothi_casting_the_lots_i_B	DURATION[4]
1028	rom_subject_profession_6_Slaver_i_D	TARGET	EVENT
10284	3c_gothi_casting_the_lots_i_C	3c_gothi_casting_the_lots_i_C	DURATION[4]
10294	3c_gothi_casting_the_lots_i_D	3c_gothi_casting_the_lots_i_D	DURATION[4]
10299	3c_east_magi_council_i_A	3c_east_magi_council_i_A	DURATION[6]
10300	3c_east_magi_council_i_B	3c_east_magi_council_i_B	DURATION[6]
10308	3c_east_magi_council_i_C	3c_east_magi_council_i_C	DURATION[6]
10317	3c_east_magi_council_i_D	3c_east_magi_council_i_D	DURATION[6]
10320	3c_caledoni_druidic_order_i_A	3c_caledoni_druidic_order_i_A	DURATION[4]
10329	3c_caledoni_druidic_order_i_B	3c_caledoni_druidic_order_i_B	DURATION[4]
10334	3c_caledoni_druidic_order_i_C	3c_caledoni_druidic_order_i_C	DURATION[4]
10339	3c_caledoni_druidic_order_i_D	3c_caledoni_druidic_order_i_D	DURATION[4]
10342	3c_alani_smoke_visions_i_A	3c_alani_smoke_visions_i_A	DURATION[4]
