issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;0;db/cdir_events_mission_issuer_junctions_tables/cdir_events_mission_issuer_junctions	
CLAN_ELDERS	3c_alani_victory_mission_cultural_victory
CLAN_ELDERS	3c_alani_victory_mission_economic_victory
CLAN_ELDERS	3c_alani_victory_mission_military_victory
CLAN_ELDERS	3c_armenia_victory_mission_cultural_victory
CLAN_ELDERS	3c_armenia_victory_mission_economic_victory
CLAN_ELDERS	3c_armenia_victory_mission_military_victory
CLAN_ELDERS	3c_caledones_victory_mission_cultural_victory
CLAN_ELDERS	3c_caledones_victory_mission_economic_victory
CLAN_ELDERS	3c_caledones_victory_mission_military_victory
CLAN_ELDERS	3c_gallicemp_victory_mission_cultural_victory
CLAN_ELDERS	3c_gallicemp_victory_mission_economic_victory
CLAN_ELDERS	3c_gallicemp_victory_mission_military_victory
CLAN_ELDERS	3c_gothi_victory_mission_cultural_victory
CLAN_ELDERS	3c_gothi_victory_mission_economic_victory
CLAN_ELDERS	3c_gothi_victory_mission_military_victory
CLAN_ELDERS	3c_marcomanni_victory_mission_cultural_victory
CLAN_ELDERS	3c_marcomanni_victory_mission_economic_victory
CLAN_ELDERS	3c_marcomanni_victory_mission_military_victory
CLAN_ELDERS	3c_palmyra_victory_mission_cultural_victory
CLAN_ELDERS	3c_palmyra_victory_mission_economic_victory
CLAN_ELDERS	3c_palmyra_victory_mission_military_victory
CLAN_ELDERS	3c_rom_victory_mission_cultural_victory
CLAN_ELDERS	3c_rom_victory_mission_economic_victory
CLAN_ELDERS	3c_rom_victory_mission_military_victory
CLAN_ELDERS	3c_sassanid_victory_mission_cultural_victory
CLAN_ELDERS	3c_sassanid_victory_mission_economic_victory
CLAN_ELDERS	3c_sassanid_victory_mission_military_victory
CLAN_ELDERS	3c_saxones_victory_mission_cultural_victory
CLAN_ELDERS	3c_saxones_victory_mission_economic_victory
CLAN_ELDERS	3c_saxones_victory_mission_military_victory
CLAN_ELDERS	3c_senate_bar_research_military_army
CLAN_ELDERS	3c_senate_eas_research_military_army
CLAN_ELDERS	3c_senate_nom_research_military_army
CLAN_ELDERS	3c_senate_rom_research_military_army
CLAN_ELDERS	chain_car_gold_tolosa_1
CLAN_ELDERS	chain_cel_gold_tolosa_1
CLAN_ELDERS	chain_eas_gold_tolosa_1
CLAN_ELDERS	chain_ger_gold_tolosa_1
CLAN_ELDERS	chain_hel_gold_tolosa_1
CLAN_ELDERS	chain_rom_gold_tolosa_1
CLAN_ELDERS	chain_suc_heir_of_zeus_1
CLAN_ELDERS	diplomatic_all_liberation
SHOGUN	diplomatic_bar_attack_army_1
SHOGUN	diplomatic_bar_attack_army_2
SHOGUN	diplomatic_bar_attack_army_3
SHOGUN	diplomatic_bar_attack_in_defence_army_1
SHOGUN	diplomatic_bar_attack_in_defence_army_2
SHOGUN	diplomatic_bar_attack_in_defence_army_3
SHOGUN	diplomatic_bar_attack_in_defence_army_4
SHOGUN	diplomatic_bar_attack_in_defence_navy_1
SHOGUN	diplomatic_bar_attack_in_defence_navy_2
SHOGUN	diplomatic_bar_attack_navy_1
SHOGUN	diplomatic_bar_attack_navy_2
SHOGUN	diplomatic_bar_attack_settlement_landlocked_1
SHOGUN	diplomatic_bar_attack_settlement_landlocked_2
SHOGUN	diplomatic_bar_attack_settlement_landlocked_3
