id	mission_key	option_key	value
#cdir_events_mission_option_junctions_tables;1;db/cdir_events_mission_option_junctions_tables/cdir_events_mission_option_junctions			
0	senate_bar_research_civil_construction	VAR_CHANCE	50
1000	senate_eas_research_military_management	VAR_MISSION_LENGTH_MOD_EASY	2.0
1005	senate_eas_research_military_management	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1007	senate_eas_research_military_management	VAR_MISSION_LENGTH_MOD_HARD	1.2
1010	senate_eas_research_military_management	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10125	diplomatic_bar_attack_army_1	VAR_CHANCE	50
10127	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MIN	3
10137	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MAX	6
10147	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10151	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10153	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MOD_EASY	2.0
10154	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10155	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MOD_HARD	1.2
10163	diplomatic_bar_attack_army_1	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10172	diplomatic_bar_attack_army_1	CND_CAMPAIGN	main_rome
10176	diplomatic_bar_attack_army_1	CND_FIRST_ROUND	4
10186	diplomatic_bar_attack_army_1	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10188	diplomatic_bar_attack_army_1	CND_ROUNDS_UNTIL_NEXT	24
10195	diplomatic_bar_attack_army_1	CND_MIN_ALLIED	1
1020	senate_eas_research_military_management	VAR_OBJECTIVE_TECH_CATEGORY	rom_roman_mil_man
10203	diplomatic_bar_attack_army_1	GEN_TARGET_MILITARY_FORCE	
10211	diplomatic_bar_attack_army_1	GEN_CND_WAR_WITH_ALLY	
10212	diplomatic_bar_attack_army_1	GEN_CND_MIN_REGION_DISTANCE	0
10222	diplomatic_bar_attack_army_1	GEN_CND_MAX_REGION_DISTANCE	2
10232	diplomatic_bar_attack_army_1	VAR_OBJECTIVE_ARMIES_ONLY	
10234	diplomatic_bar_attack_army_2	VAR_CHANCE	50
10239	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MIN	3
10248	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MAX	6
1025	senate_eas_research_military_management	CND_CAMPAIGN	main_rome
10253	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10258	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
1026	senate_eas_research_military_management	CND_FIRST_ROUND	3
10264	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MOD_EASY	2.0
10266	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10274	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MOD_HARD	1.2
10282	diplomatic_bar_attack_army_2	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10288	diplomatic_bar_attack_army_2	CND_CAMPAIGN	main_rome
10297	diplomatic_bar_attack_army_2	CND_FIRST_ROUND	4
10302	diplomatic_bar_attack_army_2	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10309	diplomatic_bar_attack_army_2	CND_ROUNDS_UNTIL_NEXT	24
10318	diplomatic_bar_attack_army_2	CND_MIN_ALLIED	1
