template_key	unit_group_key	ratio
#cdir_military_generator_template_ratios_tables;0;db/cdir_military_generator_template_ratios_tables/cdir_military_generator_template_ratios		
Aethiopian_land	Default_land_artillery	2
Aethiopian_land	Default_land_cavalry_melee	6
Aethiopian_land	Default_land_infantry_melee	6
Aethiopian_land	Default_land_infantry_missile	2
Aethiopian_land	Default_land_infantry_spearmen	6
African_land	Default_land_artillery	1
African_land	Default_land_cavalry_missile	2
African_land	Default_land_cavalry_shock	5
African_land	Default_land_elephants	2
African_land	Default_land_infantry_melee	5
African_land	Default_land_infantry_missile	3
African_land	Default_land_infantry_spearmen	5
Arabian_land	Default_land_artillery	1
Arabian_land	Default_land_camels	6
Arabian_land	Default_land_cavalry_melee	6
Arabian_land	Default_land_infantry_melee	5
Arabian_land	Default_land_infantry_missile	3
Arabian_land	Default_land_infantry_spearmen	4
Armenia_land	Default_land_artillery	1
Armenia_land	Default_land_cavalry_melee	5
Armenia_land	Default_land_cavalry_missile	5
Armenia_land	Default_land_cavalry_shock	5
Armenia_land	Default_land_infantry_melee	4
Armenia_land	Default_land_infantry_missile	2
Armenia_land	Default_land_infantry_spearmen	5
Athens_land	Default_land_artillery	2
Athens_land	Default_land_cavalry_melee	6
Athens_land	Default_land_cavalry_missile	2
Athens_land	Default_land_cavalry_shock	5
Athens_land	Default_land_infantry_melee	4
Athens_land	Default_land_infantry_missile	4
Athens_land	Default_land_infantry_pike	7
Athens_land	Default_land_infantry_spearmen	10
Bactria_land	Default_land_artillery	1
Bactria_land	Default_land_cavalry_melee	3
Bactria_land	Default_land_cavalry_missile	3
Bactria_land	Default_land_cavalry_shock	6
Bactria_land	Default_land_elephants	2
Bactria_land	Default_land_infantry_melee	5
Bactria_land	Default_land_infantry_missile	4
Bactria_land	Default_land_infantry_pike	8
Bactria_land	Default_land_infantry_spearmen	6
BalkanCelts_land	Default_land_artillery	0
BalkanCelts_land	Default_land_cavalry_melee	2
BalkanCelts_land	Default_land_infantry_melee	5
BalkanCelts_land	Default_land_infantry_missile	2
BalkanCelts_land	Default_land_infantry_spearmen	5
Belgae_land	Default_land_artillery	0
Belgae_land	Default_land_cavalry_melee	3
Belgae_land	Default_land_infantry_melee	5
Belgae_land	Default_land_infantry_missile	2
Belgae_land	Default_land_infantry_spearmen	6
Bithynia_land	Default_land_artillery	1
Bithynia_land	Default_land_cavalry_melee	2
Bithynia_land	Default_land_cavalry_missile	2
Bithynia_land	Default_land_infantry_melee	5
Bithynia_land	Default_land_infantry_missile	2
Bithynia_land	Default_land_infantry_spearmen	3
Boii_land	Default_land_artillery	0
Boii_land	Default_land_cavalry_melee	2
Boii_land	Default_land_infantry_melee	5
Boii_land	Default_land_infantry_missile	2
Boii_land	Default_land_infantry_spearmen	5
Britons_land	Default_land_artillery	0
Britons_land	Default_land_cavalry_melee	3
Britons_land	Default_land_cavalry_shock	1
Britons_land	Default_land_infantry_melee	7
Britons_land	Default_land_infantry_missile	3
Britons_land	Default_land_infantry_spearmen	4
Cappadocia_land	Default_land_artillery	1
Cappadocia_land	Default_land_cavalry_melee	4
Cappadocia_land	Default_land_cavalry_missile	3
Cappadocia_land	Default_land_infantry_melee	6
Cappadocia_land	Default_land_infantry_missile	3
Cappadocia_land	Default_land_infantry_spearmen	5
Carthaginian_land	Default_land_artillery	1
Carthaginian_land	Default_land_cavalry_melee	1
Carthaginian_land	Default_land_cavalry_shock	1
Carthaginian_land	Default_land_elephants	3
Carthaginian_land	Default_land_infantry_melee	4
Carthaginian_land	Default_land_infantry_missile	4
Carthaginian_land	Default_land_infantry_pike	6
Carthaginian_land	Default_land_infantry_spearmen	8
Caucasia_land	Default_land_artillery	1
Caucasia_land	Default_land_cavalry_melee	4
Caucasia_land	Default_land_cavalry_missile	3
Caucasia_land	Default_land_infantry_melee	5
Caucasia_land	Default_land_infantry_missile	3
Caucasia_land	Default_land_infantry_spearmen	4
Celtiberian_land	Default_land_artillery	0
Celtiberian_land	Default_land_cavalry_melee	2
Celtiberian_land	Default_land_infantry_melee	7
Celtiberian_land	Default_land_infantry_missile	2
Celtiberian_land	Default_land_infantry_spearmen	5
Celtogermanic_land	Default_land_artillery	0
Celtogermanic_land	Default_land_cavalry_melee	2
Celtogermanic_land	Default_land_infantry_melee	6
Celtogermanic_land	Default_land_infantry_missile	2
Celtogermanic_land	Default_land_infantry_spearmen	5
Cimmerian_land	Default_land_artillery	1
Cimmerian_land	Default_land_cavalry_melee	3
Cimmerian_land	Default_land_cavalry_missile	3
Cimmerian_land	Default_land_cavalry_shock	3
Cimmerian_land	Default_land_infantry_melee	3
Cimmerian_land	Default_land_infantry_missile	4
Cimmerian_land	Default_land_infantry_spearmen	8
CisalpineCelts_land	Default_land_artillery	0
CisalpineCelts_land	Default_land_cavalry_melee	3
CisalpineCelts_land	Default_land_infantry_melee	6
CisalpineCelts_land	Default_land_infantry_missile	2
CisalpineCelts_land	Default_land_infantry_spearmen	4
Dacian_land	Default_land_artillery	0
Dacian_land	Default_land_cavalry_melee	4
Dacian_land	Default_land_cavalry_missile	3
Dacian_land	Default_land_cavalry_shock	2
Dacian_land	Default_land_infantry_melee	4
Dacian_land	Default_land_infantry_missile	2
Dacian_land	Default_land_infantry_spearmen	8
Epirus_land	Default_land_artillery	1
Epirus_land	Default_land_cavalry_melee	2
Epirus_land	Default_land_cavalry_missile	1
Epirus_land	Default_land_cavalry_shock	4
Epirus_land	Default_land_infantry_melee	3
Epirus_land	Default_land_infantry_missile	3
Epirus_land	Default_land_infantry_pike	10
Epirus_land	Default_land_infantry_spearmen	5
Galatian_land	Default_land_artillery	0
Galatian_land	Default_land_cavalry_melee	3
Galatian_land	Default_land_infantry_melee	5
Galatian_land	Default_land_infantry_missile	2
Galatian_land	Default_land_infantry_spearmen	6
Gauls_land	Default_land_artillery	0
Gauls_land	Default_land_cavalry_melee	2
Gauls_land	Default_land_infantry_melee	6
Gauls_land	Default_land_infantry_missile	2
Gauls_land	Default_land_infantry_spearmen	6
Germanics_land	Default_land_artillery	0
Germanics_land	Default_land_cavalry_melee	4
Germanics_land	Default_land_infantry_melee	4
Germanics_land	Default_land_infantry_missile	3
Germanics_land	Default_land_infantry_spearmen	7
Iberian_land	Default_land_artillery	0
Iberian_land	Default_land_cavalry_melee	4
Iberian_land	Default_land_cavalry_missile	3
Iberian_land	Default_land_infantry_melee	6
Iberian_land	Default_land_infantry_missile	2
Iberian_land	Default_land_infantry_spearmen	6
Illyrian_land	Default_land_artillery	0
Illyrian_land	Default_land_cavalry_melee	2
Illyrian_land	Default_land_infantry_melee	3
Illyrian_land	Default_land_infantry_missile	2
Illyrian_land	Default_land_infantry_spearmen	6
Italian_land	Default_land_artillery	1
Italian_land	Default_land_cavalry_melee	3
Italian_land	Default_land_infantry_melee	6
Italian_land	Default_land_infantry_missile	2
Italian_land	Default_land_infantry_spearmen	4
Macedon_land	Default_land_artillery	1
Macedon_land	Default_land_cavalry_melee	2
Macedon_land	Default_land_cavalry_missile	2
Macedon_land	Default_land_cavalry_shock	8
Macedon_land	Default_land_infantry_melee	4
Macedon_land	Default_land_infantry_missile	2
Macedon_land	Default_land_infantry_pike	12
Macedon_land	Default_land_infantry_spearmen	5
Massalia_land	Default_land_artillery	1
Massalia_land	Default_land_cavalry_melee	3
Massalia_land	Default_land_cavalry_missile	3
Massalia_land	Default_land_infantry_missile	3
Massalia_land	Default_land_infantry_spearmen	8
Median_land	Default_land_artillery	1
Median_land	Default_land_cavalry_melee	3
Median_land	Default_land_cavalry_missile	4
Median_land	Default_land_cavalry_shock	3
Median_land	Default_land_infantry_melee	4
Median_land	Default_land_infantry_missile	4
Median_land	Default_land_infantry_spearmen	6
Numidian_land	Default_land_artillery	1
Numidian_land	Default_land_cavalry_missile	6
Numidian_land	Default_land_elephants	1
Numidian_land	Default_land_infantry_melee	3
Numidian_land	Default_land_infantry_missile	2
Numidian_land	Default_land_infantry_spearmen	4
Parthia_land	Default_land_artillery	1
Parthia_land	Default_land_camels	6
Parthia_land	Default_land_cavalry_melee	6
Parthia_land	Default_land_cavalry_missile	14
Parthia_land	Default_land_cavalry_shock	8
Parthia_land	Default_land_elephants	2
Parthia_land	Default_land_infantry_melee	4
Parthia_land	Default_land_infantry_missile	4
Parthia_land	Default_land_infantry_spearmen	6
Pergamon_land	Default_land_artillery	1
Pergamon_land	Default_land_cavalry_melee	2
Pergamon_land	Default_land_cavalry_missile	1
Pergamon_land	Default_land_cavalry_shock	3
Pergamon_land	Default_land_infantry_missile	2
Pergamon_land	Default_land_infantry_pike	6
Pergamon_land	Default_land_infantry_spearmen	6
Pontus_land	Default_land_artillery	1
Pontus_land	Default_land_cavalry_melee	3
Pontus_land	Default_land_cavalry_missile	2
Pontus_land	Default_land_cavalry_shock	2
Pontus_land	Default_land_infantry_melee	4
Pontus_land	Default_land_infantry_missile	3
Pontus_land	Default_land_infantry_pike	8
Pontus_land	Default_land_infantry_spearmen	6
Ptolemaic_land	Default_land_artillery	1
Ptolemaic_land	Default_land_camels	2
Ptolemaic_land	Default_land_cavalry_melee	3
Ptolemaic_land	Default_land_cavalry_missile	2
Ptolemaic_land	Default_land_cavalry_shock	3
Ptolemaic_land	Default_land_elephants	3
Ptolemaic_land	Default_land_infantry_melee	4
Ptolemaic_land	Default_land_infantry_missile	2
Ptolemaic_land	Default_land_infantry_pike	8
Ptolemaic_land	Default_land_infantry_spearmen	4
Roman_land	Default_land_artillery	2
Roman_land	Default_land_camels	1
Roman_land	Default_land_cavalry_melee	4
Roman_land	Default_land_cavalry_missile	1
Roman_land	Default_land_cavalry_shock	1
Roman_land	Default_land_elephants	1
Roman_land	Default_land_infantry_melee	18
Roman_land	Default_land_infantry_missile	2
Roman_land	Default_land_infantry_spearmen	2
Seleucid_land	Default_land_artillery	1
Seleucid_land	Default_land_camels	1
Seleucid_land	Default_land_cavalry_melee	3
Seleucid_land	Default_land_cavalry_missile	2
Seleucid_land	Default_land_cavalry_shock	6
Seleucid_land	Default_land_elephants	4
Seleucid_land	Default_land_infantry_melee	4
Seleucid_land	Default_land_infantry_missile	2
Seleucid_land	Default_land_infantry_pike	10
Seleucid_land	Default_land_infantry_spearmen	5
Sparta_land	Default_land_artillery	1
Sparta_land	Default_land_cavalry_melee	2
Sparta_land	Default_land_cavalry_missile	2
Sparta_land	Default_land_infantry_missile	3
Sparta_land	Default_land_infantry_pike	6
Sparta_land	Default_land_infantry_spearmen	12
Steppe_land	Default_land_artillery	0
Steppe_land	Default_land_cavalry_melee	4
Steppe_land	Default_land_cavalry_missile	14
Steppe_land	Default_land_cavalry_shock	10
Steppe_land	Default_land_infantry_melee	1
Steppe_land	Default_land_infantry_missile	1
Steppe_land	Default_land_infantry_spearmen	1
Thracian_land	Default_land_artillery	0
Thracian_land	Default_land_cavalry_melee	3
Thracian_land	Default_land_cavalry_missile	3
Thracian_land	Default_land_infantry_melee	8
Thracian_land	Default_land_infantry_missile	3
Tylis_land	Default_land_artillery	1
Tylis_land	Default_land_cavalry_melee	4
Tylis_land	Default_land_infantry_melee	8
Tylis_land	Default_land_infantry_missile	2
Tylis_land	Default_land_infantry_spearmen	6
default_land	Default_land_artillery	1
default_land	Default_land_camels	1
default_land	Default_land_cavalry_melee	1
default_land	Default_land_cavalry_missile	1
default_land	Default_land_cavalry_shock	1
default_land	Default_land_elephants	1
default_land	Default_land_infantry_melee	1
default_land	Default_land_infantry_missile	1
default_land	Default_land_infantry_spearmen	1
default_naval	Default_naval_melee	2
default_naval	Default_naval_ranged	2
default_naval	Default_naval_special	1
mp_coastal_attack_generic_combined	Default_land_infantry_missile	2
mp_coastal_attack_generic_combined	Default_naval_melee	1
mp_coastal_defence_generic_combined	Default_land_infantry_missile	2
mp_coastal_defence_generic_combined	Default_naval_melee	1
mp_land_attack_generic_land	Default_land_cavalry_melee	3
mp_land_attack_generic_land	Default_land_cavalry_missile	1
mp_land_attack_generic_land	Default_land_cavalry_shock	2
mp_land_attack_generic_land	Default_land_infantry_melee	5
mp_land_attack_generic_land	Default_land_infantry_missile	3
mp_land_attack_generic_land	Default_land_infantry_spearmen	4
mp_land_defence_generic_land	Default_land_cavalry_melee	3
mp_land_defence_generic_land	Default_land_cavalry_missile	1
mp_land_defence_generic_land	Default_land_cavalry_shock	2
mp_land_defence_generic_land	Default_land_infantry_melee	5
mp_land_defence_generic_land	Default_land_infantry_missile	3
mp_land_defence_generic_land	Default_land_infantry_spearmen	4
mp_siege_attack_generic_land	Default_land_artillery	6
mp_siege_attack_generic_land	Default_land_cavalry_missile	1
mp_siege_attack_generic_land	Default_land_cavalry_shock	1
mp_siege_attack_generic_land	Default_land_elephants	1
mp_siege_attack_generic_land	Default_land_infantry_melee	10
mp_siege_attack_generic_land	Default_land_infantry_missile	4
mp_siege_attack_generic_land	Default_land_infantry_spearmen	10
mp_siege_attack_generic_naval	Default_naval_melee	5
mp_siege_attack_generic_naval	Default_naval_ranged	2
mp_siege_attack_generic_naval	Default_naval_special	1
mp_siege_defence_generic_land	Default_land_cavalry_missile	1
mp_siege_defence_generic_land	Default_land_cavalry_shock	1
mp_siege_defence_generic_land	Default_land_infantry_melee	10
mp_siege_defence_generic_land	Default_land_infantry_missile	6
mp_siege_defence_generic_land	Default_land_infantry_spearmen	10
mp_siege_defence_generic_naval	Default_naval_melee	5
mp_siege_defence_generic_naval	Default_naval_ranged	3
mp_siege_defence_generic_naval	Default_naval_special	1
pel_land	Default_land_cavalry_melee	2
pel_land	Default_land_infantry_melee	10
pel_land	Default_land_infantry_missile	3
pel_naval	Default_naval_melee	10
pel_naval	Default_naval_ranged	6
pel_persian_land	Default_land_cavalry_melee	6
pel_persian_land	Default_land_infantry_melee	6
pel_persian_land	Default_land_infantry_missile	6
pel_thracian_land	Default_land_cavalry_melee	6
pel_thracian_land	Default_land_infantry_melee	4
pel_thracian_land	Default_land_infantry_missile	6
