group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/cdir_military_generator_unit_qualities		
Default_land_artillery	Afr_Ballista	2316
Default_land_artillery	Afr_Cheiroballistra	1926
Default_land_artillery	Afr_Giant_Ballista	4620
Default_land_artillery	Afr_Large_Onager	5720
Default_land_artillery	Afr_Onager	2531
Default_land_artillery	Afr_Scorpion	1666
Default_land_artillery	Bri_Ballista	2422
Default_land_artillery	Bri_Cheiroballistra	1926
Default_land_artillery	Bri_Giant_Ballista	4620
Default_land_artillery	Bri_Large_Onager	5526
Default_land_artillery	Bri_Onager	2531
Default_land_artillery	Bri_Scorpion	1666
Default_land_artillery	Car_Ballista	2316
Default_land_artillery	Car_Cheiroballistra	1926
Default_land_artillery	Car_Giant_Ballista	4620
Default_land_artillery	Car_Large_Onager	5720
Default_land_artillery	Car_Onager	2531
Default_land_artillery	Car_Polybolos	3003
Default_land_artillery	Car_Scorpion	1666
Default_land_artillery	Car_Snake_Pot_Ballista	2316
Default_land_artillery	Cel_Ballista	2316
Default_land_artillery	Cel_Cheiroballistra	1926
Default_land_artillery	Cel_Giant_Ballista	4620
Default_land_artillery	Cel_Large_Onager	5720
Default_land_artillery	Cel_Onager	2531
Default_land_artillery	Cel_Scorpion	1666
Default_land_artillery	CiG_Rom_Ballista	2316
Default_land_artillery	CiG_Rom_Giant_Ballista	4620
Default_land_artillery	CiG_Rom_Large_Onager	5720
Default_land_artillery	CiG_Rom_Onager	2531
Default_land_artillery	CiG_Rom_Polybolos	3003
Default_land_artillery	CiG_Rom_Scorpion	1666
Default_land_artillery	Dac_Ballista	2316
Default_land_artillery	Dac_Cheiroballistra	1926
Default_land_artillery	Dac_Giant_Ballista	4620
Default_land_artillery	Dac_Large_Onager	5720
Default_land_artillery	Dac_Onager	2531
Default_land_artillery	Dac_Scorpion	1666
Default_land_artillery	Eas_Ballista	2316
Default_land_artillery	Eas_Cheiroballistra	1926
Default_land_artillery	Eas_Giant_Ballista	4620
Default_land_artillery	Eas_Large_Onager	5526
Default_land_artillery	Eas_Onager	2531
Default_land_artillery	Eas_Scorpion	1666
Default_land_artillery	Eas_Scorpion_Pot_Ballista	2316
Default_land_artillery	Ger_Ballista	2316
Default_land_artillery	Ger_Cheiroballistra	1926
Default_land_artillery	Ger_Giant_Ballista	4620
Default_land_artillery	Ger_Large_Onager	5720
Default_land_artillery	Ger_Onager	2531
Default_land_artillery	Ger_Scorpion	1666
Default_land_artillery	Gre_Ballista	2316
Default_land_artillery	Gre_Beehive_Onager	2531
Default_land_artillery	Gre_Cheiroballistra	1926
Default_land_artillery	Gre_Giant_Ballista	4620
Default_land_artillery	Gre_Large_Onager	5720
Default_land_artillery	Gre_Onager	2531
Default_land_artillery	Gre_Polybolos	3003
Default_land_artillery	Gre_Scorpion	1666
Default_land_artillery	Ibe_Ballista	2316
Default_land_artillery	Ibe_Cheiroballistra	1926
Default_land_artillery	Ibe_Giant_Ballista	4620
Default_land_artillery	Ibe_Large_Onager	5720
Default_land_artillery	Ibe_Onager	2531
Default_land_artillery	Ibe_Scorpion	1666
Default_land_artillery	Rom_Ballista	2316
Default_land_artillery	Rom_Beehive_Onager	2531
Default_land_artillery	Rom_Cheiroballistra	1926
Default_land_artillery	Rom_Giant_Ballista	4620
Default_land_artillery	Rom_Large_Onager	5720
Default_land_artillery	Rom_Onager	2531
Default_land_artillery	Rom_Polybolos	3003
Default_land_artillery	Rom_Scorpion	1666
Default_land_artillery	Ste_Ballista	2019
Default_land_artillery	inv_etr_ballista	2316
Default_land_artillery	inv_etr_polybolos	3003
Default_land_artillery	inv_gre_ballista_syracuse	2316
Default_land_artillery	inv_gre_polybolos_syracuse	3003
Default_land_artillery	inv_iol_ballista	2316
Default_land_artillery	inv_iol_polybolos	3003
Default_land_artillery	inv_mercenary_ballista	4620
Default_land_artillery	inv_rom_ballista	2316
Default_land_artillery	inv_rom_polybolos	3003
Default_land_artillery	inv_sam_ballista	2136
Default_land_artillery	inv_sam_polybolos	3003
Default_land_artillery	inv_syr_giant_ballista	4620
Default_land_camels	Ara_Camel_Archers	1361
Default_land_camels	Ara_Camel_Spear	1040
Default_land_camels	Aux_Ara_Camel_Archers	1361
Default_land_camels	Aux_Ara_Camel_Spear	1161
Default_land_camels	Mer_Ara_Camel_Archers	648
Default_land_camels	Mer_Ara_Camel_Spear	648
Default_land_camels	dk_ara_armoured_camel_spearmen	4900
Default_land_camels	dk_saba_camel_lancers	1350
Default_land_camels	dk_saba_marib_camel_cataphracts	22000
Default_land_camels	dk_saba_royal_camel_archers	3200
Default_land_camels	dk_saba_sabaean_camel_cataphracts	6600
Default_land_cavalry_melee	3c_Ala_Alani_Axe_Cavalry	1860
Default_land_cavalry_melee	3c_Ala_Alani_Horsemen	1950
Default_land_cavalry_melee	3c_Ala_Alani_Nobles	3750
Default_land_cavalry_melee	3c_Ala_Alani_Riders	340
Default_land_cavalry_melee	3c_Ala_Alani_Royal_Horses	6000
Default_land_cavalry_melee	3c_Ala_Steppe_Cavalry	2040
Default_land_cavalry_melee	3c_Ala_Taifali_Cavalry	3750
Default_land_cavalry_melee	3c_Ara_Arabian_Camel_Spearmen	400
Default_land_cavalry_melee	3c_Ara_Arabian_Nobles	2160
Default_land_cavalry_melee	3c_Arm_Azat_Knights	6500
Default_land_cavalry_melee	3c_Arm_Noble_Armenian_Cavalry	3900
Default_land_cavalry_melee	3c_Aux_Alae_Cavalry	1920
Default_land_cavalry_melee	3c_Aux_Arabian_Camel_Spearmen	400
Default_land_cavalry_melee	3c_Aux_Bactrian_Light_Cavalry	1290
Default_land_cavalry_melee	3c_Aux_Camel_Spearmen	400
Default_land_cavalry_melee	3c_Aux_Cappadocian_Cavalry	4100
Default_land_cavalry_melee	3c_Aux_Celtic_Heavy_Cavalry	2160
Default_land_cavalry_melee	3c_Aux_Celtic_Horsemen	1350
Default_land_cavalry_melee	3c_Aux_Desert_Riders	2160
Default_land_cavalry_melee	3c_Aux_Eastern_Heavy_Cavalry	3750
Default_land_cavalry_melee	3c_Aux_Gallic_Cavalry	1350
Default_land_cavalry_melee	3c_Aux_Iberian_Cavalry	1500
Default_land_cavalry_melee	3c_Aux_Illyrian_Cavalry	1380
Default_land_cavalry_melee	3c_Aux_Sabean_Cavalry	1860
Default_land_cavalry_melee	3c_Aux_Sarmatian_Light_Cavalry	380
Default_land_cavalry_melee	3c_Aux_Scutarii_Cavalry	2040
Default_land_cavalry_melee	3c_Aux_Steppe_Cavalry	2040
Default_land_cavalry_melee	3c_Aux_Thracian_Cavalry	1350
Default_land_cavalry_melee	3c_Aux_Thracian_Heroic_Riders	6500
Default_land_cavalry_melee	3c_Aux_Thracian_Light_Cavalry	1500
Default_land_cavalry_melee	3c_Cal_Caledonian_Heroic_Riders	6400
Default_land_cavalry_melee	3c_Cel_Celtic_Horsemen	1350
Default_land_cavalry_melee	3c_Cel_Celtic_Nobles	2160
Default_land_cavalry_melee	3c_Eas_Eastern_Armoured_Cavalry	2100
Default_land_cavalry_melee	3c_Eas_Eastern_Cavalry	1920
Default_land_cavalry_melee	3c_Eas_Eastern_Nobles	3750
Default_land_cavalry_melee	3c_Gal_Gallic_Legionary_Cavalry	1920
Default_land_cavalry_melee	3c_Gal_Gallic_Light_Cavalry	400
Default_land_cavalry_melee	3c_Gal_Taifali_Cavalry	3750
Default_land_cavalry_melee	3c_Ger_Germanic_Horsemen	1620
Default_land_cavalry_melee	3c_Ger_Germanic_Mounted_Warband	380
Default_land_cavalry_melee	3c_Ger_Noble_Germanic_Horsemen	6100
Default_land_cavalry_melee	3c_Goth_Greuthungi_Noble_Cavalry	6750
Default_land_cavalry_melee	3c_Mer_Camel_Spearmen	300
Default_land_cavalry_melee	3c_Mer_Cappadocian_Cavalry	1845
