config_key	group_key	quality_group_key	quality
#cdir_unit_balance_group_qualities_tables;0;db/cdir_unit_balance_group_qualities_tables/cdir_unit_balance_group_qualities			
chosokabe	cavalry	cavalry_missile	200
chosokabe	cavalry	cavalry_spear	400
chosokabe	cavalry	cavalry_sword	600
chosokabe	cavalry	general	0
chosokabe	heavy_ship	heavy_ship	600
chosokabe	infantry_melee	infantry_heavy	400
chosokabe	infantry_melee	infantry_spear	600
chosokabe	infantry_melee	infantry_special	200
chosokabe	infantry_melee	infantry_sword	600
chosokabe	infantry_ranged_late	infantry_bow	800
chosokabe	infantry_ranged_late	infantry_matchlock	200
chosokabe	infantry_ranged_late	siege	50
chosokabe	infantry_ranged	infantry_bow	800
chosokabe	infantry_ranged	siege	50
chosokabe	light_ship	cannon_ship	800
chosokabe	light_ship	light_ship	600
chosokabe	light_ship	trade_ship	100
chosokabe	medium_ship	medium_ship	600
date	cavalry	cavalry_missile	200
date	cavalry	cavalry_spear	400
date	cavalry	cavalry_sword	600
date	cavalry	general	0
date	heavy_ship	heavy_ship	600
date	infantry_melee	infantry_heavy	400
date	infantry_melee	infantry_spear	600
date	infantry_melee	infantry_special	200
date	infantry_melee	infantry_sword	650
date	infantry_ranged_late	infantry_bow	600
date	infantry_ranged_late	infantry_matchlock	200
date	infantry_ranged_late	siege	50
date	infantry_ranged	infantry_bow	800
date	infantry_ranged	siege	50
date	light_ship	cannon_ship	800
date	light_ship	light_ship	600
date	light_ship	trade_ship	100
date	medium_ship	medium_ship	600
default	cavalry	cavalry_missile	200
default	cavalry	cavalry_spear	400
default	cavalry	cavalry_sword	600
default	cavalry	general	0
default	heavy_ship	heavy_ship	600
default	infantry_melee	infantry_heavy	400
default	infantry_melee	infantry_spear	600
default	infantry_melee	infantry_special	200
default	infantry_melee	infantry_sword	600
default	infantry_ranged_late	infantry_bow	600
default	infantry_ranged_late	infantry_matchlock	200
default	infantry_ranged_late	siege	50
default	infantry_ranged	infantry_bow	800
default	infantry_ranged	siege	50
default	light_ship	cannon_ship	800
default	light_ship	light_ship	600
default	light_ship	trade_ship	100
default	medium_ship	medium_ship	600
multiplayer	cavalry	cavalry_missile	200
multiplayer	cavalry	cavalry_spear	400
multiplayer	cavalry	cavalry_sword	600
multiplayer	cavalry	general	0
multiplayer	heavy_ship	heavy_ship	600
multiplayer	infantry_melee	infantry_heavy	400
multiplayer	infantry_melee	infantry_spear	600
multiplayer	infantry_melee	infantry_special	200
multiplayer	infantry_melee	infantry_sword	600
multiplayer	infantry_ranged_late	infantry_bow	600
multiplayer	infantry_ranged_late	infantry_matchlock	200
multiplayer	infantry_ranged_late	siege	50
multiplayer	infantry_ranged	infantry_bow	800
multiplayer	infantry_ranged	siege	50
multiplayer	light_ship	cannon_ship	800
multiplayer	light_ship	light_ship	600
multiplayer	light_ship	trade_ship	100
