template_key	min_units	max_units	group_key	ideal_pct	variance	min_required
#cdir_unit_balances_tables;2;db/cdir_unit_balances_tables/cdir_unit_balances						
cavalry_heavy	5	20	cavalry	0.4000	0.1000	0
cavalry_heavy	5	20	infantry_melee	0.4500	0.1000	0
cavalry_heavy	5	20	infantry_ranged	0.1500	0.1000	0
cavalry_heavy_late	5	20	cavalry	0.4000	0.1000	0
cavalry_heavy_late	5	20	infantry_melee	0.4500	0.1000	0
cavalry_heavy_late	5	20	infantry_ranged_late	0.1500	0.1000	0
default	1	6	cavalry	0.5000	0.5000	0
default	1	6	infantry_melee	0.5000	0.5000	0
default	1	6	infantry_ranged	0.5000	0.5000	0
default	1	6	infantry_ranged_late	0.5000	0.5000	0
default_naval	1	5	heavy_ship	0.5000	0.5000	0
default_naval	1	5	light_ship	0.5000	0.5000	0
default_naval	1	5	medium_ship	0.5000	0.5000	0
heavy_ship_heavy	1	10	heavy_ship	0.4000	0.1000	0
heavy_ship_heavy	1	10	light_ship	0.2000	0.1000	0
heavy_ship_heavy	1	10	medium_ship	0.4000	0.1000	0
light_and_medium_only	1	10	light_ship	0.5000	0.5000	0
light_and_medium_only	1	10	medium_ship	0.5000	0.5000	0
light_ship_heavy	1	10	heavy_ship	0.2000	0.1000	0
light_ship_heavy	1	10	light_ship	0.6000	0.1000	0
light_ship_heavy	1	10	medium_ship	0.2000	0.1000	0
light_ship_only	1	10	light_ship	1.0000	1.0000	0
medium_ship_heavy	1	10	heavy_ship	0.2000	0.1000	0
medium_ship_heavy	1	10	light_ship	0.2000	0.1000	0
medium_ship_heavy	1	10	medium_ship	0.6000	0.1000	0
melee_and_cavalry_only	1	20	cavalry	0.3000	0.3000	0
melee_and_cavalry_only	1	20	infantry_melee	0.7000	0.3000	0
melee_and_missile_only	1	20	infantry_melee	0.7000	0.3000	0
melee_and_missile_only	1	20	infantry_ranged	0.3000	0.1000	0
melee_heavy	5	20	cavalry	0.1500	0.1000	0
melee_heavy	5	20	infantry_melee	0.7000	0.1000	0
melee_heavy	5	20	infantry_ranged	0.1500	0.1000	0
melee_heavy_late	5	20	cavalry	0.1500	0.1000	0
melee_heavy_late	5	20	infantry_melee	0.6500	0.1000	0
melee_heavy_late	5	20	infantry_ranged_late	0.2000	0.1000	0
melee_infantry_only	5	20	infantry_melee	1.0000	1.0000	0
ranged_heavy	5	20	cavalry	0.1500	0.1000	0
ranged_heavy	5	20	infantry_melee	0.5000	0.1000	0
ranged_heavy	5	20	infantry_ranged	0.3500	0.1000	0
ranged_heavy_late	5	20	cavalry	0.1500	0.1000	0
ranged_heavy_late	5	20	infantry_melee	0.4000	0.1000	0
ranged_heavy_late	5	20	infantry_ranged_late	0.4500	0.1000	0
ship_standard	1	10	heavy_ship	0.2000	0.1000	0
ship_standard	1	10	light_ship	0.5000	0.1000	0
ship_standard	1	10	medium_ship	0.3000	0.1000	0
standard	5	20	cavalry	0.2000	0.1000	0
standard	5	20	infantry_melee	0.6000	0.1000	0
standard	5	20	infantry_ranged	0.2000	0.1000	0
standard_late	5	20	cavalry	0.2000	0.1000	0
standard_late	5	20	infantry_melee	0.5000	0.1000	0
standard_late	5	20	infantry_ranged_late	0.3000	0.1000	0
