campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/character_skill_level_details						
		0	army_1_siege_experts	sc_rom_numidian	x	7
		0	army_3_light_cavalry_masters	sc_rom_numidian	x	5
		1	3c_army_1_Accomplished_Archers		x	1
		1	3c_army_1_Accomplished_Skirmishers		x	1
		1	3c_army_1_Artillery_Experts		x	2
		1	3c_army_1_Dread_Ambushers		x	2
		1	3c_army_1_Dread_Ambushers_gallic		x	1
main_invasion	inv_senones	1	3c_army_1_Dread_Ambushers_gallic		x	3
		1	3c_army_1_Dread_Charioteers		x	2
		1	3c_army_1_Dread_Charioteers_caledon		x	1
main_invasion	inv_insubres	1	3c_army_1_Dread_Charioteers		x	4
main_invasion	inv_senones	1	3c_army_1_Dread_Charioteers		x	4
		1	3c_army_1_Engineering_Experts		x	1
		1	3c_army_1_Formidable_Fighters		x	1
		1	3c_army_1_Formidable_Spearmen		x	1
		1	3c_army_1_Formidable_Swordsmen		x	1
		1	3c_army_1_Keepers_of_the_Peace		x	2
		1	3c_army_1_Keepers_of_the_Peace_gallic		x	2
		1	3c_army_1_Light_Cavalry_Masters		x	1
		1	3c_army_1_Siege_Experts		x	1
		1	3c_army_1_Stalwart_Defenders		x	2
		1	3c_army_2_Cavalry_Masters		x	2
		1	3c_army_2_Furor_Celtica		x	2
		1	3c_army_2_Furor_Germanicus		x	2
		1	3c_army_2_Inexorable_Conquerors		x	2
		1	3c_army_2_Unrelenting_Force		x	2
		1	3c_army_3_Auxiliary_Corps		x	3
		1	3c_army_3_Barbarian_Subjugators		x	3
main_invasion	inv_rome	1	3c_army_3_Barbarian_Subjugators		x	1
main_invasion	inv_taranto	1	3c_army_3_Barbarian_Subjugators		x	2
main_invasion	inv_tarchuna	1	3c_army_3_Barbarian_Subjugators		x	2
		1	3c_army_3_Cavalry_Masters		x	3
		1	3c_army_3_Desert_Warriors		x	3
		1	3c_army_3_Dread_Marauders		x	3
		1	3c_army_3_Grand_Camp_Following		x	3
main_invasion	inv_insubres	1	3c_army_3_Grand_Camp_Following		x	2
main_invasion	inv_tarchuna	1	3c_army_3_Grand_Camp_Following		x	1
main_invasion	inv_veneti	1	3c_army_3_Grand_Camp_Following		x	1
		1	3c_army_3_Indomitable_Infantry		x	3
		1	3c_army_3_Indomitable_Legionaries		x	3
		1	3c_army_3_Light_Cavalry_Masters		x	3
		1	3c_army_3_Mercenary_Host		x	3
		1	3c_army_3_Spirit_of_the_Immortals		x	3
		1	3c_army_4_Deadly_Assault_Force		x	4
		1	3c_army_4_Dread_Invaders		x	4
		1	3c_army_4_Nomadic_Horde		x	4
main_invasion	inv_veneti	1	3c_army_4_Nomadic_Horde		x	3
		1	3c_army_4_Peerless_Marksmen		x	4
		1	3c_army_4_Sentinels_of_the_North		x	4
		1	3c_army_4_Sons_of_Shapur		x	4
		1	3c_army_4_True_Romans		x	4
		1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_insubres	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_iolei	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_rome	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_samnites	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_senones	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_syracuse	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_taranto	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_tarchuna	1	3c_army_4_Veteran_Army		x	4
main_invasion	inv_veneti	1	3c_army_4_Veteran_Army		x	4
		1	3c_army_4_Wolves_of_Teiwaz		x	4
		1	3c_army_4_Wrath_of_Sol_Invictus		x	4
		1	3c_general_admiral_1_navigator		x	1
		1	3c_general_admiral_2_inspiring_admiral		x	2
		1	3c_general_admiral_2_seasoned_marine		x	2
		1	3c_general_admiral_3_maritime_archer		x	3
		1	3c_general_admiral_3_naval_commander		x	3
		1	3c_general_admiral_4_naval_tactics		x	4
		1	3c_general_authority_1_efficient_recruiter		x	1
		1	3c_general_authority_1_law_keeper		x	1
		1	3c_general_authority_2_infantry_commander		x	2
		1	3c_general_authority_2_master_builder		x	2
		1	3c_general_authority_2_naval_commander		x	2
		1	3c_general_authority_3_cavalry_commander		x	3
		1	3c_general_authority_3_economic_administrator		x	3
		1	3c_general_authority_3_inspiring_admiral		x	3
		1	3c_general_authority_3_inspiring_general		x	3
		1	3c_general_authority_4_great_leader		x	4
		1	3c_general_bureaucrat_1_law_keeper		x	1
		1	3c_general_bureaucrat_2_agricultural_expert		x	2
		1	3c_general_bureaucrat_2_talented_architect		x	2
		1	3c_general_bureaucrat_3_industrial_manager		x	3
		1	3c_general_bureaucrat_3_patron_of_arts		x	3
		1	3c_general_bureaucrat_4_economic_administrator		x	4
		1	3c_general_cunning_1_navigator		x	1
		1	3c_general_cunning_1_strategist		x	1
		1	3c_general_cunning_2_artillery_master		x	2
		1	3c_general_cunning_2_military_administrator		x	2
		1	3c_general_cunning_2_vicious_despoiler		x	2
		1	3c_general_cunning_3_covert_expert		x	3
		1	3c_general_cunning_3_mercenary_recruiter		x	3
		1	3c_general_cunning_3_siege_master		x	3
