character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/character_skill_level_to_effects_junctions				
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_damage	1	this_army	5.0000
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_rate	1	this_army	4.0000
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_damage	2	this_army	10.0000
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_rate	2	this_army	8.0000
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_damage	3	this_army	15.0000
3c_army_1_Accomplished_Archers	rom_force_unit_mod_missile_rate	3	this_army	12.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_damage	1	this_army	4.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_rate	1	this_army	3.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_damage	2	this_army	8.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_rate	2	this_army	6.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_damage	3	this_army	12.0000
3c_army_1_Accomplished_Skirmishers	rom_force_unit_mod_missile_rate	3	this_army	9.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_damage	1	this_army	3.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_rate	1	this_army	4.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_damage	2	this_army	6.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_rate	2	this_army	8.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_damage	3	this_army	9.0000
3c_army_1_Artillery_Experts	rom_force_unit_mod_artillery_rate	3	this_army	12.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_attack_success_chance	1	this_army	5.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_defence_success_chance	1	this_army	5.0000
3c_army_1_Dread_Ambushers	rom_force_unit_mod_morale_during_ambushes	1	this_army	5.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_attack_success_chance	2	this_army	10.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_defence_success_chance	2	this_army	10.0000
3c_army_1_Dread_Ambushers	rom_force_unit_mod_morale_during_ambushes	2	this_army	10.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_attack_success_chance	3	this_army	15.0000
3c_army_1_Dread_Ambushers	rom_force_campaign_mod_ambush_defence_success_chance	3	this_army	15.0000
3c_army_1_Dread_Ambushers	rom_force_unit_mod_morale_during_ambushes	3	this_army	15.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_campaign_mod_ambush_attack_success_chance	1	this_army	5.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_campaign_mod_ambush_defence_success_chance	1	this_army	5.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_unit_mod_morale_during_ambushes	1	this_army	5.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_campaign_mod_ambush_attack_success_chance	2	this_army	10.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_campaign_mod_ambush_defence_success_chance	2	this_army	10.0000
3c_army_1_Dread_Ambushers_gallic	rom_force_unit_mod_morale_during_ambushes	2	this_army	10.0000
