key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture
#character_skill_nodes_tables;1;db/character_skill_nodes_tables/character_skill_nodes							
3c_alani_army_1_Accomplished_Archers	main_3c	3c_army_1_Accomplished_Archers	3c_alani_army_legacy	3c_alani	10	1	
3c_alani_army_1_Dread_Ambushers	main_3c	3c_army_1_Dread_Ambushers_gallic	3c_alani_army_legacy	3c_alani	40	1	
3c_alani_army_1_Formidable_Spearmen	main_3c	3c_army_1_Formidable_Spearmen	3c_alani_army_legacy	3c_alani	20	2	
3c_alani_army_1_Keepers_of_the_Peace	main_3c	3c_army_1_Keepers_of_the_Peace	3c_alani_army_legacy	3c_alani	30	2	
3c_alani_army_1_Light_Cavalry_Masters	main_3c	3c_army_1_Light_Cavalry_Masters	3c_alani_army_legacy	3c_alani	30	1	
3c_alani_army_1_Siege_Experts	main_3c	3c_army_1_Siege_Experts	3c_alani_army_legacy	3c_alani	20	1	
3c_alani_army_1_Stalwart_Defenders	main_3c	3c_army_1_Stalwart_Defenders	3c_alani_army_legacy	3c_alani	40	2	
3c_alani_army_2_Cavalry_Masters	main_3c	3c_army_2_Cavalry_Masters	3c_alani_army_legacy	3c_alani	10	2	
3c_alani_army_2_Inexorable_Conquerors	main_3c	3c_army_2_Inexorable_Conquerors	3c_alani_army_legacy	3c_alani	50	2	
3c_alani_army_2_Unrelenting_Force	main_3c	3c_army_2_Unrelenting_Force	3c_alani_army_legacy	3c_alani	60	2	
3c_alani_army_3_Grand_Camp_Following	main_3c	3c_army_3_Grand_Camp_Following	3c_alani_army_legacy	3c_alani	10	3	
3c_alani_army_3_Indomitable_Infantry	main_3c	3c_army_3_Indomitable_Infantry	3c_alani_army_legacy	3c_alani	30	3	
3c_alani_army_4_Nomadic_Horde	main_3c	3c_army_4_Nomadic_Horde	3c_alani_army_legacy	3c_alani	10	4	
3c_alani_army_4_Veteran_alani_army	main_3c	3c_army_4_Veteran_Army	3c_alani_army_legacy	3c_alani	20	4	
3c_alani_navy_1_Dread_Pirates	main_3c	3c_navy_1_Dread_Pirates	3c_alani_navy_legacy	3c_alani	10	1	
3c_alani_navy_1_Formidable_Marines	main_3c	3c_navy_1_Formidable_Marines	3c_alani_navy_legacy	3c_alani	20	1	
3c_alani_navy_1_Naval_Marksmen	main_3c	3c_navy_1_Naval_Marksmen	3c_alani_navy_legacy	3c_alani	30	1	
3c_alani_navy_2_Intrepid_Escorts	main_3c	3c_navy_2_Intrepid_Escorts	3c_alani_navy_legacy	3c_alani	10	2	
3c_alani_navy_2_Ship_Defenders	main_3c	3c_navy_2_Ship_Defenders	3c_alani_navy_legacy	3c_alani	20	2	
3c_alani_navy_3_Able_Seamen	main_3c	3c_navy_3_Able_Seamen	3c_alani_navy_legacy	3c_alani	10	3	
3c_alani_navy_3_Master_Shipwrights	main_3c	3c_navy_3_Master_Shipwrights	3c_alani_navy_legacy	3c_alani	20	3	
3c_alani_navy_4_Masters_of_the_Sea	main_3c	3c_navy_4_Masters_of_the_Sea	3c_alani_navy_legacy	3c_alani	10	4	
