key	image_path	localised_description	localised_name	pre_battle_speech_parameter	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
#character_skills_tables;3;db/character_skills_tables/character_skills									
3c_army_1_Accomplished_Archers	army_tradition_archers.png	A single arrow may pierce many hearts. 	Accomplished Archers		1	false	false	false	0.0000
3c_army_1_Accomplished_Skirmishers	army_1_accomplished_skirmishers.png	Hand-to-hand combat is a dangerous business. 	Accomplished Skirmishers		1	false	false	false	0.0000
3c_army_1_Artillery_Experts	army_1_artillery_experts.png	The firing of great weapons takes a delicacy that few appreciate. 	Artillery Experts		2	false	false	false	0.0000
3c_army_1_Dread_Ambushers	army_2_ambushers.png	"Out of the shadows they came, wreathed in darkness…" 	Dread Ambushers		2	false	false	false	0.0000
3c_army_1_Dread_Ambushers_gallic	army_2_ambushers.png	"Out of the shadows they came, wreathed in darkness…" 	Dread Ambushers		1	false	false	false	0.0000
3c_army_1_Dread_Charioteers	army_1_dread_charioteers.png	The sound of approaching wheels can strike fear into the stoutest hearts. 	Dread Charioteers		2	false	false	false	0.0000
3c_army_1_Dread_Charioteers_caledon	army_1_dread_charioteers.png	The sound of approaching wheels can strike fear into the stoutest hearts. 	Dread Charioteers		1	false	false	false	0.0000
3c_army_1_Engineering_Experts	army_1_engineering_experts.png	When men move the earth itself, are they not like gods? 	Engineering Experts		1	false	false	false	0.0000
3c_army_1_Formidable_Fighters	army_1_formidable_fighters.png	Some men are born fighters. 	Formidable Fighters		1	false	false	false	0.0000
3c_army_1_Formidable_Spearmen	army_1_formidable_swordsmen.png	A spear has many uses and a master knows them all.	Formidable Spearmen		1	false	false	false	0.0000
3c_army_1_Formidable_Swordsmen	army_1_formidable_fighters.png	A sword should be an extension of a man's arm. 	Formidable Swordsmen		1	false	false	false	0.0000
3c_army_1_Keepers_of_the_Peace	army_2_keepers_peace.png	Someone has to consider peace.	Keepers of the Peace		2	false	false	false	0.0000
3c_army_1_Keepers_of_the_Peace_gallic	army_2_keepers_peace.png	Someone has to consider peace. 	Keepers of the Peace		1	false	false	false	0.0000
3c_army_1_Light_Cavalry_Masters	army_3_light_cavalry_masters.png	A fleet and agile horse needs a fleet and agile rider. 	Light Cavalry Masters		1	false	false	false	0.0000
3c_army_1_Siege_Experts	army_1_engineering_experts.png	A high wall is but a pebble beneath the feet of resourceful men. 	Siege Experts		1	false	false	false	0.0000
3c_army_1_Stalwart_Defenders	army_2_stalwart_defenders.png	Few can stand strong in the face of impossible odds. 	Stalwart Defenders		2	false	false	false	0.0000
