key	no_going_back_level	hidden	precedence	icon	pre_battle_speech_parameter
#character_traits_tables;1;db/character_traits_tables/character_traits					
3c_aurelian	1	false	100	good	
3c_barbarian_king	1	false	100	good	
3c_event_books_rational	1	false	2	good	
3c_event_mystic_dreams_confused	1	false	2	bad	
3c_event_royal_crown_faravahar	1	false	2	good	
3c_event_royal_crown_sacred_fire	1	false	2	good	
3c_event_royal_crown_simurgh	1	false	2	good	
3c_event_royal_crown_verethragna	1	false	2	good	
3c_event_sculptor_ancillary	1	false	2	good	
3c_event_vaballathus_authority	1	false	1	good	
3c_event_vaballathus_balanced	1	false	1	good	
3c_event_vaballathus_subterfuge	1	false	1	good	
3c_event_vaballathus_zeal	1	false	1	good	
3c_queen_mother	1	false	100	good	
3c_rightful_emperor	1	false	100	good	
3c_shahanshah	1	false	100	good	
3c_vaballathus	1	false	1	good	
FemGen_ch_eastern	1	false	5	office	
FemGen_ch_hellenic	1	false	5	office	
FemGen_ch_roman	1	false	5	office	
dk_ch_kush	1	false	5	office	
dk_ch_saba	1	false	5	office	
dk_female_family_duty	1	false	101	good	
dk_highborn	1	false	1	good	
emp_antony	1	false	100	good	
emp_lepidus	1	false	100	good	
emp_octavian	1	false	100	good	
emp_pompey	1	false	100	good	
games_isthmian_victor	1	false	100	good	
games_nemean_victor	1	false	100	good	
games_olympic_victor	1	false	100	good	
games_pythian_victor	1	false	100	good	
inv_ch_barb	1	false	5	office	
inv_ch_rome	1	false	5	office	
inv_ch_rome_consul_posterior	1	false	5	office	
inv_ch_rome_consul_prior	1	false	5	office	
inv_ch_rome_dictator	1	false	5	office	
inv_ch_rome_ex_consul	1	false	5	office	
inv_ch_rome_ex_dictator	1	false	5	office	
inv_ch_rome_magister_equitum	1	false	5	office	
inv_ch_samnites	1	false	5	office	
inv_ch_syracuse	1	false	5	office	
inv_ch_taranto	1	false	5	office	
inv_ch_tarchuna	1	false	5	office	
inv_consul_prior	1	false	5	office	
inv_dictator	1	false	5	office	
inv_general_athens	1	false	1	good	
inv_general_corinth	1	false	1	good	
inv_general_sparta	1	false	1	good	
inv_sp_trait_female_greco_non_roman_humors_yellow_bile	1	false	1	good	
inv_sp_trait_female_non_roman_background_fighter	1	false	1	good	
inv_sp_trait_female_non_roman_humors_phlegm	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_dignity	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_frugality	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_gravity	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_humanity	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_humour	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_industriousness	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_mercy	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_prudence	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_tenacity	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_truthfulness	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_personal_wholesomeness	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_public_dutifulness	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_public_forethought	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_public_freedom	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_public_giving	1	false	1	good	
inv_sp_trait_female_non_roman_virtues_public_modesty	1	false	1	good	
inv_sp_trait_greco_non_roman_humors_yellow_bile	1	false	1	good	
