culture_key	faction_key	subculture_key	unit_key
#commander_unit_permissions_tables;0;db/commander_unit_permissions_tables/commander_unit_permissions			
	3c_alani		3c_Ala_Alani_Royal_Horses_commander
	3c_alani_civil_war		3c_Ala_Alani_Royal_Horses_commander
	3c_alani_secession		3c_Ala_Alani_Royal_Horses_commander
	3c_alani		3c_Ala_Heavy_Assault_Raider_commander
	3c_alani_civil_war		3c_Ala_Heavy_Assault_Raider_commander
	3c_alani_secession		3c_Ala_Heavy_Assault_Raider_commander
	3c_alani		3c_Ala_Medium_Missile_Raider_commander
	3c_alani_civil_war		3c_Ala_Medium_Missile_Raider_commander
	3c_alani_secession		3c_Ala_Medium_Missile_Raider_commander
	3c_alani		3c_Ala_Noble_Steppe_Cataphracts_commander
	3c_alani_civil_war		3c_Ala_Noble_Steppe_Cataphracts_commander
	3c_alani_secession		3c_Ala_Noble_Steppe_Cataphracts_commander
	3c_alani		3c_Ala_Steppe_Cataphract_Archers_commander
	3c_alani_civil_war		3c_Ala_Steppe_Cataphract_Archers_commander
	3c_alani_secession		3c_Ala_Steppe_Cataphract_Archers_commander
	3c_gerrhea		3c_Ara_Arabian_Camel_Archers_commander
	3c_lakhmids		3c_Ara_Arabian_Camel_Archers_commander
	3c_ma_in		3c_Ara_Arabian_Camel_Archers_commander
	3c_nabatea		3c_Ara_Arabian_Camel_Archers_commander
	3c_gerrhea		3c_Ara_Arabian_Nobles_commander
	3c_lakhmids		3c_Ara_Arabian_Nobles_commander
	3c_ma_in		3c_Ara_Arabian_Nobles_commander
	3c_nabatea		3c_Ara_Arabian_Nobles_commander
	3c_gerrhea		3c_Ara_Assault_Trieres_commander
	3c_lakhmids		3c_Ara_Assault_Trieres_commander
	3c_ma_in		3c_Ara_Assault_Trieres_commander
	3c_nabatea		3c_Ara_Assault_Trieres_commander
	3c_armenia		3c_Arm_Assault_Tetreres_commander
	3c_armenia_civil_war		3c_Arm_Assault_Tetreres_commander
	3c_armenia_secession		3c_Arm_Assault_Tetreres_commander
	3c_armenia		3c_Arm_Azat_Guard_commander
	3c_armenia_civil_war		3c_Arm_Azat_Guard_commander
	3c_armenia_secession		3c_Arm_Azat_Guard_commander
	3c_armenia		3c_Arm_Azat_Knights_commander
	3c_armenia_civil_war		3c_Arm_Azat_Knights_commander
	3c_armenia_secession		3c_Arm_Azat_Knights_commander
	3c_armenia		3c_Arm_Noble_Armenian_Archers_commander
	3c_armenia_civil_war		3c_Arm_Noble_Armenian_Archers_commander
	3c_armenia_secession		3c_Arm_Noble_Armenian_Archers_commander
	3c_armenia		3c_Arm_Noble_Cataphracts_commander
	3c_armenia_civil_war		3c_Arm_Noble_Cataphracts_commander
	3c_armenia_secession		3c_Arm_Noble_Cataphracts_commander
