culture	option
#culture_settlement_occupation_options_tables;0;db/culture_settlement_occupation_options_tables/culture_settlement_occupation_options	
rom_Barbarian	occupation_decision_liberate
rom_Barbarian	occupation_decision_occupy
rom_Barbarian	occupation_decision_raze
rom_Barbarian	occupation_decision_sack
rom_Eastern	occupation_decision_loot
rom_Eastern	occupation_decision_occupy
rom_Eastern	occupation_decision_raze
rom_Eastern	occupation_decision_vassal
rom_Hellenistic	occupation_decision_loot
rom_Hellenistic	occupation_decision_occupy
rom_Hellenistic	occupation_decision_raze
rom_Hellenistic	occupation_decision_vassal
rom_Roman	occupation_decision_loot
rom_Roman	occupation_decision_occupy
rom_Roman	occupation_decision_raze
rom_Roman	occupation_decision_vassal
