culture	government_type	faction	on_screen_name_faction_leader	on_screen_name_government_type	effect_bundle	is_default	faction_leader_trait	on_screen_name_faction_female_leader	faction_leader_trait_female	on_screen_name_government_actions	on_screen_descr_government_actions
#culture_subculture_politics_government_types_tables;6;db/culture_subculture_politics_government_types_tables/culture_subculture_politics_government_types											
rom_Barbarian	elected_monarchy		High King	Union	govt_type_elected_monarchy	false	r2_faction_leader_union_default	High Queen	r2_faction_leader_union_high_queen		
rom_Barbarian	elected_monarchy	3c_gothi	Kindins	Union	govt_type_elected_monarchy	false	r2_faction_leader_union_kindins	High Queen	r2_faction_leader_union_high_queen		
rom_Barbarian	elected_monarchy	inv_balari	Chief	Nuragic Chiefdom	govt_type_inv_nuragic_chiefdom	true	r2_faction_leader_inv_nuragic_chief	Chieftess	r2_faction_leader_inv_nuragic_chief	Actions	
rom_Barbarian	elected_monarchy	inv_corsi	Chief	Nuragic Chiefdom	govt_type_inv_nuragic_chiefdom	true	r2_faction_leader_inv_nuragic_chief	Chieftess	r2_faction_leader_inv_nuragic_chief	Actions	
rom_Barbarian	elected_monarchy	inv_iolei	Chief	Nuragic Chiefdom	govt_type_inv_nuragic_chiefdom	true	r2_faction_leader_inv_nuragic_chief	Chieftess	r2_faction_leader_inv_nuragic_chief	Hold Tournament	A spectacle of honour will boost the strength of your people.
rom_Barbarian	empire		Emperor	Empire	govt_type_empire	false	r2_faction_leader_empire_default	Empress	r2_faction_leader_empire_empress		
rom_Barbarian	empire	3c_gothi	Emperor	Empire	govt_type_empire	false	r2_faction_leader_empire_default	Empress	r2_faction_leader_empire_empress		
rom_Barbarian	hereditary_monarchy		King	Kingdom	govt_type_hereditary_monarchy	true	r2_faction_leader_kingdom_default	Queen	r2_faction_leader_kingdom_queen		
rom_Barbarian	hereditary_monarchy	3c_gothi	Reiks	Kingdom	govt_type_hereditary_monarchy	true	r2_faction_leader_kingdom_reiks	Queen	r2_faction_leader_kingdom_queen		
rom_Barbarian	hereditary_monarchy	3c_kwarezm	Shah	Kingdom	govt_type_hereditary_monarchy	true	r2_faction_leader_kingdom_shah	Queen	r2_faction_leader_kingdom_queen		
rom_Barbarian	hereditary_monarchy	inv_bituriges	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Actions	
rom_Barbarian	hereditary_monarchy	inv_boii	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Actions	
rom_Barbarian	hereditary_monarchy	inv_carni	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Actions	
rom_Barbarian	hereditary_monarchy	inv_carnutes	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Actions	
rom_Barbarian	hereditary_monarchy	inv_cenomani	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Actions	
rom_Barbarian	hereditary_monarchy	inv_insubres	Chief	Gallic Chiefdom	govt_type_inv_gallic_chiefdom	true	r2_faction_leader_inv_gauls_chief	Chieftess	r2_faction_leader_inv_gauls_chief	Druids	The druids will work towards stabilising your rule.
