subculture	culture	index	farm
#cultures_subcultures_tables;0;db/cultures_subcultures_tables/cultures_subcultures			
sc_rom_african_arabian	rom_Eastern	1851343683	American
sc_rom_barb_east	rom_Barbarian	1851343702	American
sc_rom_british	rom_Barbarian	1851343648	American
sc_rom_carthaginian	rom_Hellenistic	1851343644	American
sc_rom_celtiberian	rom_Barbarian	1851343708	American
sc_rom_celtic	rom_Barbarian	1851343672	American
sc_rom_daco_thracian	rom_Barbarian	1851343718	American
sc_rom_eastern	rom_Eastern	1851343693	American
sc_rom_egyptian	rom_Hellenistic	1851343664	American
sc_rom_etruscan	rom_Roman	1851343730	American
sc_rom_gaul	rom_Barbarian	1851343707	American
sc_rom_germanic	rom_Barbarian	1851343678	American
sc_rom_greek	rom_Hellenistic	1851343657	American
sc_rom_iapygian	rom_Hellenistic	1851343737	American
sc_rom_illyrian	rom_Barbarian	1851343716	American
sc_rom_italic	rom_Roman	1851343729	American
sc_rom_numidian	rom_Eastern	1851343720	American
sc_rom_nuragic	rom_Barbarian	1851343745	American
sc_rom_parthian	rom_Eastern	1851343654	American
sc_rom_pontic	rom_Hellenistic	1851343670	American
sc_rom_roman	rom_Roman	1851343638	American
