key	image	frames	framerate	hotspotx	hotspoty	loop	width	height
#cursors_tables;2;db/cursors_tables/cursors								
action	data/ui/cursors/attk0000	1	25	0	0	false	48	48
agent_action	data/ui/cursors/attk0000	1	25	0	0	false	48	48
agent_action_down	data/ui/cursors/attk	9	25	0	0	false	48	48
agent_action_multimove	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
agent_action_multimove_down	data/ui/cursors/move_to_inrange	10	25	0	0	false	48	48
attack	data/ui/cursors/attk0000	1	25	0	0	false	48	48
attack_building	data/ui/cursors/target_building0000	1	25	0	0	false	48	48
attack_building_down	data/ui/cursors/target_building	10	25	0	0	false	48	48
attack_building_oor	data/ui/cursors/target_buildingOOR0001	1	25	0	0	false	48	48
attack_building_oor_down	data/ui/cursors/target_buildingOOR	9	25	0	0	false	48	48
attack_deployable	data/ui/cursors/melee0000	1	25	0	0	false	48	48
attack_deployable_down	data/ui/cursors/melee	15	25	0	0	false	48	48
attack_deployable_ranged	data/ui/cursors/attk0000	1	25	0	0	false	48	48
attack_deployable_ranged_down	data/ui/cursors/attk	9	25	0	0	false	48	48
attack_down	data/ui/cursors/attk	9	25	0	0	false	48	48
attack_oor	data/ui/cursors/attkOOR0000	1	25	0	0	false	48	48
attack_oor_click	data/ui/cursors/attkOOR	9	25	0	0	false	48	48
attack_port	data/ui/cursors/attack_port0000	1	25	0	0	false	64	64
attack_port_down	data/ui/cursors/attack_port	11	25	0	0	false	64	64
attack_unbreachable_wall	data/ui/cursors/target_building0000	1	25	0	0	false	48	48
attack_unbreachable_wall_down	data/ui/cursors/target_building	10	25	0	0	false	48	48
board_ship	data/ui/cursors/melee0000	1	25	0	0	false	48	48
board_ship_down	data/ui/cursors/melee	15	25	0	0	false	48	48
bombard	data/ui/cursors/bombard	1	25	0	0	false	48	48
bombard_battle	data/ui/cursors/bombard	1	25	0	0	false	48	48
bombard_or_agent	data/ui/cursors/bombard	1	25	0	0	false	48	48
bombard_or_attack	data/ui/cursors/bombard	1	25	0	0	false	48	48
burn_building	data/ui/cursors/burn_building0000	1	25	0	0	false	64	64
burn_building_down	data/ui/cursors/burn_building	10	25	0	0	false	64	64
busy	data/ui/cursors/load	1	25	0	0	false	48	48
can_capture	data/ui/cursors/capture0000	1	25	0	0	false	48	48
can_capture_down	data/ui/cursors/capture	9	25	0	0	false	48	48
cannot_capture	data/ui/cursors/cannot_capture0000	1	25	0	0	false	48	48
cannot_capture_down	data/ui/cursors/cannot_capture	9	25	0	0	false	48	48
caret	data/ui/cursors/caret	1	25	0	0	false	48	48
click_down	data/ui/cursors/depress	11	25	0	0	false	48	48
defend_building	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
defend_building_click	data/ui/cursors/occupy_zone	6	25	0	0	false	48	48
disembark_ship	data/ui/cursors/disembark0000	1	25	0	0	false	48	48
disembark_ship_down	data/ui/cursors/disembark	7	25	0	0	false	48	48
dismount_capture	data/ui/cursors/cannot_capture0000	1	25	0	0	false	48	48
dismount_capture_down 	data/ui/cursors/cannot_capture	9	25	0	0	false	48	48
drag_move	data/ui/cursors/drag_move	1	25	0	0	false	48	48
drag_rotate	data/ui/cursors/drag_rotate	1	25	0	0	false	48	48
drag_units	data/ui/cursors/drag_units	1	25	0	0	false	48	48
exchange	data/ui/cursors/exchange0000	1	25	0	0	false	48	48
exchange_down	data/ui/cursors/exchange	9	25	0	0	false	48	48
exchange_multimove	data/ui/cursors/exchange0000	1	25	0	0	false	48	48
exchange_multimove_down	data/ui/cursors/exchange	9	25	0	0	false	48	48
exchange_port	data/ui/cursors/exchange_port0000	1	25	0	0	false	64	64
exchange_port_down	data/ui/cursors/exchange_port	9	25	0	0	false	64	64
grab	data/ui/cursors/pickup0000	1	25	0	0	false	48	48
grabbed	data/ui/cursors/pickup0000	1	25	0	0	false	48	48
group_script_attack	data/ui/cursors/AI_attack0000	1	25	0	0	false	48	48
group_script_attack_down	data/ui/cursors/AI_attack	14	25	0	0	false	48	48
group_script_defend	data/ui/cursors/AI_defend0000	1	25	0	0	false	48	48
group_script_defend_down	data/ui/cursors/AI_defend	9	25	0	0	false	48	48
help	data/ui/cursors/help	1	25	0	0	false	48	48
hyperlink	data/ui/cursors/hyperlink0000	1	25	0	0	false	48	48
hyperlink_down	data/ui/cursors/hyperlink	9	25	0	0	false	48	48
inspire	data/ui/cursors/inspire0000	1	25	0	0	false	48	48
inspire_click	data/ui/cursors/inspire	9	25	0	0	false	48	48
interact_deployable	data/ui/cursors/activate_deployable0000	1	25	0	0	false	48	48
interact_deployable_down	data/ui/cursors/activate_deployable	9	25	0	0	false	48	48
invalid	data/ui/cursors/no_action	1	25	0	0	false	48	48
marry	data/ui/cursors/marry0000	1	25	0	0	false	48	48
melee	data/ui/cursors/melee0000	1	25	0	0	false	48	48
melee_down	data/ui/cursors/melee	15	25	0	0	false	48	48
melee_multimove	data/ui/cursors/melee0000	1	25	0	0	false	48	48
melee_multimove_down	data/ui/cursors/melee	15	25	0	0	false	48	48
move_click	data/ui/cursors/move_to_inrange	10	25	0	0	false	48	48
move_to	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
move_to_inrange	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
move_to_inrange_click	data/ui/cursors/move_to_inrange	10	25	0	0	false	48	48
move_to_multimove	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
move_to_multimove_down	data/ui/cursors/move_to_inrange	10	25	0	0	false	48	48
move_to_outrange	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
move_to_outrange_click	data/ui/cursors/move_to_inrange	10	25	0	0	false	48	48
moveto_attrition	data/ui/cursors/moveto_attrition0000	1	25	0	0	false	48	48
moveto_attrition_down	data/ui/cursors/moveto_attrition	9	25	0	0	false	48	48
normal	data/ui/cursors/depress0000	1	25	0	0	false	48	48
occupy_zone	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
occupy_zone_down	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
pickup_vehicle	data/ui/cursors/pickup0000	1	25	0	0	false	48	48
pickup_vehicle_down	data/ui/cursors/pickup	7	25	0	0	false	48	48
ping_attack	data/ui/cursors/place_marker0000	1	25	0	0	false	48	48
ping_attack_down	data/ui/cursors/place_marker	9	25	0	0	false	48	48
ping_defend	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
ping_defend_down\\t	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
ping_move	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
ping_move_down	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
ping_reinforce	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
ping_reinforce_down	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
ping_standard	data/ui/cursors/ping0000	1	25	0	0	false	48	48
ping_standard_down	data/ui/cursors/ping	9	25	0	0	false	48	48
place_WC_marker	data/ui/cursors/capture0000	1	25	0	0	false	48	48
place_WC_marker_down	data/ui/cursors/capture	9	25	0	0	false	48	48
place_WC_marker_invalid	data/ui/cursors/cannot_capture0000	1	25	0	0	false	48	48
place_WC_marker_invalid_down	data/ui/cursors/cannot_capture	9	25	0	0	false	48	48
place_deployable	data/ui/cursors/place_deployable0000	1	25	0	0	false	48	48
place_deployable_down	data/ui/cursors/place_deployable0000	1	25	0	0	false	48	48
pointer_attrition	data/ui/cursors/pointer_attrition	1	25	0	0	false	48	48
rally_position	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
rally_position_down	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
ram_retreat	data/ui/cursors/ram_retreat0000	1	25	0	0	false	48	48
ram_retreat_down	data/ui/cursors/ram_retreat	8	25	0	0	false	48	48
ram_ship	data/ui/cursors/ram_board0000	1	25	0	0	false	48	48
ram_ship_down	data/ui/cursors/ram_board	8	25	0	0	false	48	48
research	data/ui/cursors/depress0000	1	25	0	0	false	48	48
research_click	data/ui/cursors/depress	9	25	0	0	false	48	48
resize_tl	data/ui/cursors/resize	1	25	0	0	false	48	48
resize_tr	data/ui/cursors/resize_flipped	1	25	0	0	false	48	48
scale_wall	data/ui/cursors/occupy_zone0000	1	25	0	0	false	48	48
scale_wall_click	data/ui/cursors/occupy_zone	9	25	0	0	false	48	48
scaled_melee	data/ui/cursors/scaled_melee0000	1	25	0	0	false	48	48
select	data/ui/cursors/depress0000	1	25	0	0	false	48	48
select_click	data/ui/cursors/depress	9	25	0	0	false	48	48
select_mini	data/ui/cursors/depress0000	1	25	0	0	false	16	16
select_mini_click	data/ui/cursors/depress	10	25	0	0	false	16	16
siege_tower_dock	data/ui/cursors/siege_dock0000	1	25	0	0	false	48	48
siege_tower_dock_down	data/ui/cursors/siege_dock	7	25	0	0	false	48	48
swap	data/ui/cursors/capture0000	1	25	0	0	false	48	48
swap_down	data/ui/cursors/capture	9	25	0	0	false	48	48
take_cover_behind_wall	data/ui/cursors/take_cover0000	1	25	0	0	false	48	48
take_cover_behind_wall_click	data/ui/cursors/take_cover	8	25	0	0	false	48	48
telestration_brush	data/ui/cursors/paintbrush	1	25	0	0	false	48	48
terrain_forest	data/ui/cursors/terrain_forest0000	1	25	0	0	false	48	48
terrain_forest_down	data/ui/cursors/terrain_forest	9	25	0	0	false	48	48
terrain_forest_noselect	data/ui/cursors/terrain_forest_noselect	1	25	0	0	false	48	48
terrain_road	data/ui/cursors/terrain_road0000	1	25	0	0	false	48	48
terrain_road_down	data/ui/cursors/terrain_road	9	25	0	0	false	48	48
terrain_road_noselect	data/ui/cursors/terrain_road_noselect	1	25	0	0	false	48	48
terrain_roughground	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
terrain_roughground_down	data/ui/cursors/move_to_inrange	9	25	0	0	false	48	48
terrain_roughground_noselect	data/ui/cursors/depress0000	1	25	0	0	false	48	48
terrain_scrub	data/ui/cursors/terrain_scrub0000	1	25	0	0	false	48	48
terrain_scrub_down	data/ui/cursors/terrain_scrub	9	25	0	0	false	48	48
terrain_scrub_noselect	data/ui/cursors/terrain_scrub_noselect	1	25	0	0	false	48	48
terrain_softground	data/ui/cursors/terrain_soft0000	1	25	0	0	false	48	48
terrain_softground_down	data/ui/cursors/terrain_soft	9	25	0	0	false	48	48
terrain_softground_noselect	data/ui/cursors/terrain_soft_noselect	1	25	0	0	false	48	48
terrain_water	data/ui/cursors/move_to_inrange0000	1	25	0	0	false	48	48
terrain_water_down	data/ui/cursors/move_to_inrange	9	25	0	0	false	48	48
terrain_water_noselect	data/ui/cursors/depress0000	1	25	0	0	false	48	48
