level	subculture_key	faction_key	age	rank
#cursus_honorum_level_requirements_tables;1;db/cursus_honorum_level_requirements_tables/cursus_honorum_level_requirements				
0	sc_rom_african_arabian		20	1
1	sc_rom_african_arabian		25	2
2	sc_rom_african_arabian		30	2
3	sc_rom_african_arabian		35	3
4	sc_rom_african_arabian		40	3
5	sc_rom_african_arabian		40	4
6	sc_rom_african_arabian		40	5
0	sc_rom_barb_east		20	1
1	sc_rom_barb_east		25	2
2	sc_rom_barb_east		30	2
3	sc_rom_barb_east		35	3
4	sc_rom_barb_east		40	3
5	sc_rom_barb_east		40	4
6	sc_rom_barb_east		40	5
0	sc_rom_british		20	1
1	sc_rom_british		25	2
2	sc_rom_british		30	2
3	sc_rom_british		35	3
4	sc_rom_british		40	3
5	sc_rom_british		40	4
6	sc_rom_british		40	5
0	sc_rom_carthaginian		20	1
1	sc_rom_carthaginian		25	2
2	sc_rom_carthaginian		30	2
3	sc_rom_carthaginian		35	3
4	sc_rom_carthaginian		40	3
5	sc_rom_carthaginian		40	4
6	sc_rom_carthaginian		40	5
0	sc_rom_celtiberian		20	1
1	sc_rom_celtiberian		25	2
2	sc_rom_celtiberian		30	2
3	sc_rom_celtiberian		35	3
4	sc_rom_celtiberian		40	3
5	sc_rom_celtiberian		40	4
6	sc_rom_celtiberian		40	5
0	sc_rom_celtic		20	1
1	sc_rom_celtic		25	2
2	sc_rom_celtic		30	2
3	sc_rom_celtic		35	3
4	sc_rom_celtic		40	3
5	sc_rom_celtic		40	4
6	sc_rom_celtic		40	5
0	sc_rom_daco_thracian		20	1
1	sc_rom_daco_thracian		25	2
2	sc_rom_daco_thracian		30	2
3	sc_rom_daco_thracian		35	3
4	sc_rom_daco_thracian		40	3
5	sc_rom_daco_thracian		40	4
6	sc_rom_daco_thracian		40	5
0	sc_rom_eastern		20	1
1	sc_rom_eastern		25	2
2	sc_rom_eastern		30	2
3	sc_rom_eastern		35	3
4	sc_rom_eastern		40	3
5	sc_rom_eastern		40	4
6	sc_rom_eastern		40	5
0	sc_rom_egyptian		20	1
1	sc_rom_egyptian		25	2
2	sc_rom_egyptian		30	2
3	sc_rom_egyptian		35	3
4	sc_rom_egyptian		40	3
5	sc_rom_egyptian		40	4
6	sc_rom_egyptian		40	5
1	sc_rom_etruscan		25	2
2	sc_rom_etruscan		30	2
3	sc_rom_etruscan		35	3
4	sc_rom_etruscan		40	3
5	sc_rom_etruscan		40	4
6	sc_rom_etruscan		0	5
0	sc_rom_gaul		20	1
1	sc_rom_gaul		25	2
