attitude	culture	government_type	key	option	string
#diplomacy_negotiation_attitude_override_strings_tables;0;db/diplomacy_negotiation_attitude_override_strings_tables/diplomacy_negotiation_attitude_override_strings					
friendly	rom_Barbarian	gov_absolute_monarchy	accept	0	barbarian_accept_begging_03
friendly	rom_Barbarian	gov_absolute_monarchy	accept	1	barbarian_accept_begging_02
friendly	rom_Barbarian	gov_absolute_monarchy	accept	20	fem_barbarian_accept_begging
friendly	rom_Barbarian	gov_absolute_monarchy	accept	3	barbarian_accept_begging_04
friendly	rom_Barbarian	gov_absolute_monarchy	accept	4	barbarian_accept_begging_05
friendly	rom_Barbarian	gov_absolute_monarchy	accept	5	barbarian_accept_begging_06
hostile	rom_Barbarian	gov_absolute_monarchy	accept	0	barbarian_accept_demanding_01
hostile	rom_Barbarian	gov_absolute_monarchy	accept	1	barbarian_accept_demanding_02
hostile	rom_Barbarian	gov_absolute_monarchy	accept	2	barbarian_accept_demanding_03
hostile	rom_Barbarian	gov_absolute_monarchy	accept	20	fem_barbarian_accept_demanding
hostile	rom_Barbarian	gov_absolute_monarchy	accept	3	barbarian_accept_demanding_04
hostile	rom_Barbarian	gov_absolute_monarchy	accept	4	barbarian_accept_demanding_05
hostile	rom_Barbarian	gov_absolute_monarchy	accept	5	barbarian_accept_demanding_06
friendly	rom_Eastern	gov_absolute_monarchy	accept	0	eastern_accept_begging_01
friendly	rom_Eastern	gov_absolute_monarchy	accept	1	eastern_accept_begging_02
friendly	rom_Eastern	gov_absolute_monarchy	accept	2	eastern_accept_begging_03
friendly	rom_Eastern	gov_absolute_monarchy	accept	20	fem_eastern_accept_begging
friendly	rom_Eastern	gov_absolute_monarchy	accept	3	eastern_accept_begging_04
friendly	rom_Eastern	gov_absolute_monarchy	accept	4	eastern_accept_begging_05
friendly	rom_Eastern	gov_absolute_monarchy	accept	5	eastern_accept_begging_06
hostile	rom_Eastern	gov_absolute_monarchy	accept	0	eastern_accept_demanding_01
hostile	rom_Eastern	gov_absolute_monarchy	accept	1	eastern_accept_demanding_02
hostile	rom_Eastern	gov_absolute_monarchy	accept	2	eastern_accept_demanding_03
hostile	rom_Eastern	gov_absolute_monarchy	accept	20	fem_eastern_accept_demanding
hostile	rom_Eastern	gov_absolute_monarchy	accept	3	eastern_accept_demanding_04
hostile	rom_Eastern	gov_absolute_monarchy	accept	4	eastern_accept_demanding_05
hostile	rom_Eastern	gov_absolute_monarchy	accept	5	eastern_accept_demanding_06
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	0	greek_accept_begging_01
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	1	greek_accept_begging_02
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	2	greek_accept_begging_03
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_begging
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	3	greek_accept_begging_04
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	4	greek_accept_begging_05
friendly	rom_Hellenistic	gov_absolute_monarchy	accept	5	greek_accept_begging_06
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	0	greek_accept_demanding_01
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	1	greek_accept_demanding_02
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	2	greek_accept_demanding_03
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_demanding
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	3	greek_accept_demanding_04
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	4	greek_accept_demanding_05
hostile	rom_Hellenistic	gov_absolute_monarchy	accept	5	greek_accept_demanding_06
friendly	rom_Roman	gov_absolute_monarchy	accept	0	rome_accept_begging_01
friendly	rom_Roman	gov_absolute_monarchy	accept	1	rome_accept_begging_02
friendly	rom_Roman	gov_absolute_monarchy	accept	2	rome_accept_begging_03
friendly	rom_Roman	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_begging
friendly	rom_Roman	gov_absolute_monarchy	accept	3	rome_accept_begging_04
friendly	rom_Roman	gov_absolute_monarchy	accept	4	rome_accept_begging_05
friendly	rom_Roman	gov_absolute_monarchy	accept	5	rome_accept_begging_06
hostile	rom_Roman	gov_absolute_monarchy	accept	0	rome_accept_demanding_01
hostile	rom_Roman	gov_absolute_monarchy	accept	1	rome_accept_demanding_02
hostile	rom_Roman	gov_absolute_monarchy	accept	2	rome_accept_demanding_03
hostile	rom_Roman	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_demanding
hostile	rom_Roman	gov_absolute_monarchy	accept	3	rome_accept_demanding_04
hostile	rom_Roman	gov_absolute_monarchy	accept	4	rome_accept_demanding_05
hostile	rom_Roman	gov_absolute_monarchy	accept	5	rome_accept_demanding_06
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	0	barbarian_acknowledge_accept_01
