attitude	culture	faction	government_type	key	option	string
#diplomacy_negotiation_faction_attitude_override_strings_tables;0;db/diplomacy_negotiation_faction_attitude_override_strings_tables/diplomacy_negotiation_faction_attitude_override_strings						
friendly	rom_Barbarian	rom_ardiaei	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_begging
hostile	rom_Barbarian	rom_ardiaei	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_demanding
friendly	rom_Hellenistic	emp_egypt	gov_absolute_monarchy	accept	20	fem_cleopatra_egypt_accept_begging
hostile	rom_Hellenistic	emp_egypt	gov_absolute_monarchy	accept	20	fem_rome_greek_accept_demanding
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	0	eastern_carthage_accept_begging_01
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	1	eastern_carthage_accept_begging_02
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	2	eastern_carthage_accept_begging_03
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	3	eastern_carthage_accept_begging_04
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	4	eastern_carthage_accept_begging_05
friendly	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	5	eastern_carthage_accept_begging_06
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	0	eastern_carthage_accept_demanding_01
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	1	eastern_carthage_accept_demanding_02
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	2	eastern_carthage_accept_demanding_03
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	3	eastern_carthage_accept_demanding_04
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	4	eastern_carthage_accept_demanding_05
hostile	rom_Hellenistic	inv_carthage	gov_absolute_monarchy	accept	5	eastern_carthage_accept_demanding_06
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	0	eastern_carthage_accept_begging_01
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	1	eastern_carthage_accept_begging_02
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	2	eastern_carthage_accept_begging_03
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	3	eastern_carthage_accept_begging_04
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	4	eastern_carthage_accept_begging_05
friendly	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	5	eastern_carthage_accept_begging_06
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	0	eastern_carthage_accept_demanding_01
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	1	eastern_carthage_accept_demanding_02
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	2	eastern_carthage_accept_demanding_03
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	3	eastern_carthage_accept_demanding_04
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	4	eastern_carthage_accept_demanding_05
hostile	rom_Hellenistic	rom_carthage	gov_absolute_monarchy	accept	5	eastern_carthage_accept_demanding_06
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	0	eastern_egypt_accept_begging_01
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	1	eastern_egypt_accept_begging_02
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	2	eastern_egypt_accept_begging_03
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	3	eastern_egypt_accept_begging_04
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	4	eastern_egypt_accept_begging_05
friendly	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	5	eastern_egypt_accept_begging_06
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	0	eastern_egypt_accept_demanding_01
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	1	eastern_egypt_accept_demanding_02
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	2	eastern_egypt_accept_demanding_03
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	3	eastern_egypt_accept_demanding_04
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	4	eastern_egypt_accept_demanding_05
hostile	rom_Hellenistic	rom_ptolemaics	gov_absolute_monarchy	accept	5	eastern_egypt_accept_demanding_06
hostile	rom_Roman	3c_palmyra	gov_absolute_monarchy	accept	0	fem_rome_zenobia_accept_demanding_01
hostile	rom_Roman	3c_palmyra	gov_absolute_monarchy	accept	1	fem_rome_zenobia_accept_demanding_03
