key	culture	government_type	faction	option	string
#diplomacy_negotiation_faction_override_strings_tables;1;db/diplomacy_negotiation_faction_override_strings_tables/diplomacy_negotiation_faction_override_strings					
accept	rom_Barbarian	gov_absolute_monarchy	rom_ardiaei	20	fem_rome_greek_accept_requesting
accept	rom_Hellenistic	gov_absolute_monarchy	emp_egypt	20	fem_cleopatra_egypt_accept_requesting
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	0	eastern_carthage_accept_requesting_01
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	1	eastern_carthage_accept_requesting_02
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	2	eastern_carthage_accept_requesting_03
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	3	eastern_carthage_accept_requesting_04
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	4	eastern_carthage_accept_requesting_05
accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	5	eastern_carthage_accept_requesting_06
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	0	eastern_carthage_accept_requesting_01
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	1	eastern_carthage_accept_requesting_02
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	2	eastern_carthage_accept_requesting_03
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	3	eastern_carthage_accept_requesting_04
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	4	eastern_carthage_accept_requesting_05
accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	5	eastern_carthage_accept_requesting_06
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	0	eastern_egypt_accept_requesting_01
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	1	eastern_egypt_accept_requesting_02
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	2	eastern_egypt_accept_requesting_03
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	3	eastern_egypt_accept_requesting_04
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	4	eastern_egypt_accept_requesting_05
accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	5	eastern_egypt_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	0	fem_rome_zenobia_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	1	fem_rome_zenobia_accept_requesting_04
