key	culture	government_type	option	string
#diplomacy_negotiation_string_options_tables;1;db/diplomacy_negotiation_string_options_tables/diplomacy_negotiation_string_options				
accept	rom_Barbarian	gov_absolute_monarchy	0	barbarian_accept_requesting_01
accept	rom_Barbarian	gov_absolute_monarchy	1	barbarian_accept_requesting_02
accept	rom_Barbarian	gov_absolute_monarchy	2	barbarian_accept_requesting_03
accept	rom_Barbarian	gov_absolute_monarchy	20	fem_barbarian_accept_requesting
accept	rom_Barbarian	gov_absolute_monarchy	3	barbarian_accept_requesting_04
accept	rom_Barbarian	gov_absolute_monarchy	4	barbarian_accept_requesting_05
accept	rom_Barbarian	gov_absolute_monarchy	5	barbarian_accept_requesting_06
accept	rom_Barbarian	gov_empire	5	barbarian_accept_requesting_06
accept	rom_Eastern	gov_absolute_monarchy	0	eastern_accept_requesting_01
accept	rom_Eastern	gov_absolute_monarchy	1	eastern_accept_requesting_02
accept	rom_Eastern	gov_absolute_monarchy	2	eastern_accept_requesting_03
accept	rom_Eastern	gov_absolute_monarchy	20	fem_eastern_accept_requesting
accept	rom_Eastern	gov_absolute_monarchy	3	eastern_accept_requesting_04
accept	rom_Eastern	gov_absolute_monarchy	4	eastern_accept_requesting_05
accept	rom_Eastern	gov_absolute_monarchy	5	eastern_accept_requesting_06
accept	rom_Eastern	gov_empire	5	eastern_accept_requesting_06
accept	rom_Hellenistic	gov_absolute_monarchy	0	greek_accept_requesting_01
accept	rom_Hellenistic	gov_absolute_monarchy	1	greek_accept_requesting_02
accept	rom_Hellenistic	gov_absolute_monarchy	2	greek_accept_requesting_03
accept	rom_Hellenistic	gov_absolute_monarchy	20	fem_rome_greek_accept_requesting
accept	rom_Hellenistic	gov_absolute_monarchy	3	greek_accept_requesting_04
accept	rom_Hellenistic	gov_absolute_monarchy	4	greek_accept_requesting_05
accept	rom_Hellenistic	gov_absolute_monarchy	5	greek_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	0	rome_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	1	rome_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	2	rome_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	20	fem_rome_greek_accept_requesting
accept	rom_Roman	gov_absolute_monarchy	3	rome_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	4	rome_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	5	rome_accept_requesting_06
accept	rom_Roman	gov_empire	5	rome_accept_requesting_06
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	0	barbarian_acknowledge_accept_01
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	1	barbarian_acknowledge_accept_02
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	2	barbarian_acknowledge_accept_03
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	20	fem_barbarian_acknowledge_accept
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	3	barbarian_acknowledge_accept_04
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	4	barbarian_acknowledge_accept_05
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	5	barbarian_acknowledge_accept_06
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	6	barbarian_acknowledge_accept_07
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	7	barbarian_acknowledge_accept_08
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	8	barbarian_acknowledge_accept_09
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	9	barbarian_acknowledge_accept_10
acknowledge_accept	rom_Barbarian	gov_empire	9	barbarian_acknowledge_accept_10
acknowledge_accept	rom_Eastern	gov_absolute_monarchy	0	eastern_acknowledge_accept_01
acknowledge_accept	rom_Eastern	gov_absolute_monarchy	1	eastern_acknowledge_accept_02
acknowledge_accept	rom_Eastern	gov_absolute_monarchy	2	eastern_acknowledge_accept_03
acknowledge_accept	rom_Eastern	gov_absolute_monarchy	20	fem_eastern_acknowledge_accept
