subculture	can_make_client_states	can_make_confederations	can_make_vassals
#diplomatic_action_subculture_restrictions_tables;0;db/diplomatic_action_subculture_restrictions_tables/diplomatic_action_subculture_restrictions			
sc_rom_african_arabian	false	false	true
sc_rom_barb_east	false	true	false
sc_rom_british	false	true	false
sc_rom_carthaginian	true	false	false
sc_rom_celtiberian	false	true	false
sc_rom_celtic	false	true	false
sc_rom_daco_thracian	false	true	false
sc_rom_eastern	false	false	true
sc_rom_egyptian	false	false	true
sc_rom_etruscan	false	true	false
sc_rom_gaul	false	true	false
sc_rom_germanic	false	true	false
sc_rom_greek	true	false	false
sc_rom_iapygian	false	true	false
sc_rom_illyrian	false	true	false
sc_rom_italic	true	false	false
sc_rom_numidian	false	true	true
sc_rom_nuragic	false	true	false
sc_rom_parthian	false	false	true
sc_rom_pontic	false	false	true
sc_rom_roman	true	false	false
