effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/effect_bonus_value_agent_junction		
3c_force_unit_mod_commander_recruitment_cost	recruit_cost_mod	general
3c_hidden_enable_champion_recruitment	availability	champion
3c_hidden_enable_dignitary_recruitment	availability	dignitary
3c_hidden_enable_spy_recruitment	availability	spy
3c_tech_agent_cap_mod	cap	champion
3c_tech_agent_cap_mod	cap	dignitary
3c_tech_agent_cap_mod	cap	spy
3c_tech_civil_champion_attributes_mod	attribute_authority_mod	champion
3c_tech_civil_champion_attributes_mod	attribute_subterfuge_mod	champion
3c_tech_civil_champion_attributes_mod	attribute_zeal_mod	champion
3c_tech_civil_dignitary_attributes_mod	attribute_authority_mod	dignitary
3c_tech_civil_dignitary_attributes_mod	attribute_subterfuge_mod	dignitary
3c_tech_civil_dignitary_attributes_mod	attribute_zeal_mod	dignitary
age_agent_action_cost_mod	action_cost_mod	champion
age_agent_action_cost_mod	action_cost_mod	dignitary
age_agent_action_cost_mod	action_cost_mod	spy
age_agent_action_success_chance_assassination	success_mod_hinder_character	champion
age_agent_all_attributes_mod_parent_army_general	attribute_authority_mod	general
age_agent_all_attributes_mod_parent_army_general	attribute_subterfuge_mod	general
age_agent_all_attributes_mod_parent_army_general	attribute_zeal_mod	general
age_agent_all_attributes_mod	attribute_authority_mod	champion
age_agent_all_attributes_mod	attribute_authority_mod	dignitary
age_agent_all_attributes_mod	attribute_authority_mod	general
age_agent_all_attributes_mod	attribute_authority_mod	spy
age_agent_all_attributes_mod	attribute_subterfuge_mod	champion
age_agent_all_attributes_mod	attribute_subterfuge_mod	dignitary
age_agent_all_attributes_mod	attribute_subterfuge_mod	general
age_agent_all_attributes_mod	attribute_subterfuge_mod	spy
age_agent_all_attributes_mod	attribute_zeal_mod	champion
age_agent_all_attributes_mod	attribute_zeal_mod	dignitary
age_agent_all_attributes_mod	attribute_zeal_mod	general
age_agent_all_attributes_mod	attribute_zeal_mod	spy
age_agent_enemy_action_success_chance_mod	success_mod_opponent	champion
age_agent_enemy_action_success_chance_mod	success_mod_opponent	dignitary
age_agent_enemy_action_success_chance_mod	success_mod_opponent	spy
age_agent_hinder_agent_success_chance_mod	critical_success_mod_hinder_agent	champion
age_agent_hinder_agent_success_chance_mod	critical_success_mod_hinder_agent	dignitary
age_agent_hinder_agent_success_chance_mod	critical_success_mod_hinder_agent	spy
age_agent_recruitment_level_mod_deployed	recruitment_level	champion
age_agent_recruitment_level_mod_deployed	recruitment_level	dignitary
age_agent_recruitment_level_mod_deployed	recruitment_level	spy
age_agent_success_chance_against_agents_generals	success_mod_hinder_agent	champion
age_agent_success_chance_against_agents_generals	success_mod_hinder_agent	dignitary
age_agent_success_chance_against_agents_generals	success_mod_hinder_agent	spy
age_agent_success_chance_against_agents_generals	success_mod_hinder_character	champion
age_agent_success_chance_against_agents_generals	success_mod_hinder_character	dignitary
age_agent_success_chance_against_agents_generals	success_mod_hinder_character	spy
age_agent_success_chance_against_agents_generals	success_mod	colonel
age_agent_success_chance_against_agents_generals	success_mod	general
age_agent_xp_rank_mod_generals_local_province	recruitment_level	general
age_spy_increase_chance_assassinate	critical_success_mod_hinder_character	champion
age_spy_increase_chance_assassinate	critical_success_mod_hinder_character	dignitary
age_spy_increase_chance_assassinate	critical_success_mod_hinder_character	spy
pel_faction_sparta_agents	attribute_authority_mod	champion
pel_faction_sparta_agents	attribute_authority_mod	dignitary
pel_faction_sparta_agents	attribute_authority_mod	spy
pel_faction_sparta_agents	attribute_subterfuge_mod	champion
pel_faction_sparta_agents	attribute_subterfuge_mod	dignitary
pel_faction_sparta_agents	attribute_subterfuge_mod	spy
pel_faction_sparta_agents	attribute_zeal_mod	champion
pel_faction_sparta_agents	attribute_zeal_mod	dignitary
pel_faction_sparta_agents	attribute_zeal_mod	spy
