effect	bonus_value_id
#effect_bonus_value_basic_junction_tables;0;db/effect_bonus_value_basic_junction_tables/effect_bonus_value_basic_junction	
3c_banditry_building_adjacent_provinces	banditry_percentage_adjacent_provinces
3c_banditry_building	banditry_percentage_building
3c_banditry_character	banditry_percentage_character
3c_banditry_events_all_your_provinces	banditry_percentage_events
3c_banditry_events_province	banditry_percentage_events
3c_banditry_stop_food_production	food_production_mod_events
3c_banditry_tech	banditry_percentage_technology
3c_building_cult_public_order_per_different_province_temple	cult_public_order_per_different_province_temple
3c_building_province_attribute_all_empire	attribute_authority_mod_empire
3c_building_province_attribute_all_empire	attribute_subterfuge_mod_empire
3c_building_province_attribute_all_empire	attribute_zeal_mod_empire
3c_event_faction_replenishment	replenishment_percentage_bonus
3c_event_food_consumption	food_consumption_events
3c_event_sanitation	sanitation_events
3c_event_squalor	squalor_events
3c_event_tax_rate	tax_bonus_events
3c_faction_trait_british_sanitation	sanitation_base
3c_faction_trait_eastern_banditry_reduce_all	banditry_percentage_faction_trait
3c_faction_trait_gallicemp_political_action_cost_mod	political_action_money_cost_mod
3c_faction_trait_germanic_looters_raiders	looting_increase
3c_faction_trait_germanic_looters_raiders	raid_income_mod
3c_faction_trait_nomadic_warlike_people	recruitment_points_home_region
3c_faction_trait_saxoni_settlers	building_conversion_cost_mod
3c_faction_trait_saxoni_voyagers	mod_ship_movement_campaign
3c_force_campaign_mod_sack_income	looting_increase
3c_force_mod_income_raiding_sacking_naval_desc	looting_increase
3c_force_mod_income_raiding_sacking_naval_desc	raid_income_mod
3c_force_mod_income_raiding_sacking	looting_increase
3c_force_mod_income_raiding_sacking	raid_income_mod
3c_force_unit_mod_melee_defence_base_stance	melee_defence_mod
3c_force_unit_mod_melee_defence_base_stance	shield_defence_mod
3c_force_unit_mod_melee_defence_mod_stance	melee_defence_mod
3c_force_unit_mod_melee_defence_mod_stance	shield_defence_mod
3c_hidden_enable_boiling_oil	settlement_boiling_oil_enabled
3c_province_initiative_non_barbarian_taxes_replenishment_base	replenishment_percentage_bonus
3c_province_initiative_non_barbarian_taxes_replenishment_mod	replenishment_percentage_bonus
3c_rom_general_force_mod_resistance_to_occupation	region_resistance_modifier
3c_tech_civil_culture_diplomacy_mod	diplomacy_mod_relations
3c_tech_civil_culture_foreign_culture_penalty_civilized	happiness_mod_religious_unrest_eastern
3c_tech_civil_culture_foreign_culture_penalty_civilized	happiness_mod_religious_unrest_roman
3c_tech_civil_culture_foreign_culture_penalty	happiness_mod_religious_unrest
3c_tech_civil_economy_banditry_all	banditry_percentage_technology
