bonus_value_id	effect_key	battle_context_key
#effect_bonus_value_battle_context_junctions_tables;0;db/effect_bonus_value_battle_context_junctions_tables/effect_bonus_value_battle_context_junctions		
morale	3c_faction_trait_roman_morale_own_or_allied	fighting_territory_own_or_allied
morale	3c_force_enemy_unit_mod_morale	fighting_force_status_yours_night
charge_bonus	3c_force_unit_mod_charge_bonus_versus_roman_eastern	fighting_force_non_barbarian
melee_attack_mod	3c_force_unit_mod_melee_attack_defending	fighting_force_status_yours_defending
melee_attack_mod	3c_force_unit_mod_melee_attack_desert	fighting_ground_type_desert
melee_attack_mod	3c_force_unit_mod_melee_attack_ship_neutral_territory	fighting_territory_neutral_navy
melee_attack_mod	3c_force_unit_mod_melee_attack_versus_other_romans	fighting_culture_roman
melee_attack_mod	3c_force_unit_mod_melee_attack_versus_roman_eastern	fighting_force_non_barbarian
melee_attack_mod	3c_force_unit_mod_melee_attack_versus_romans	fighting_culture_roman
melee_defence_mod	3c_force_unit_mod_melee_defence_desert	fighting_ground_type_desert
shield_defence_mod	3c_force_unit_mod_melee_defence_desert	fighting_ground_type_desert
melee_defence_mod	3c_force_unit_mod_melee_defence_own_territory	fighting_territory_own_or_allied_army
shield_defence_mod	3c_force_unit_mod_melee_defence_own_territory	fighting_territory_own_or_allied_army
melee_defence_mod	3c_force_unit_mod_melee_defence_versus_non_barbarians	fighting_force_non_barbarian
shield_defence_mod	3c_force_unit_mod_melee_defence_versus_non_barbarians	fighting_force_non_barbarian
melee_defence_mod	3c_force_unit_mod_melee_defence_versus_other_romans	fighting_culture_roman
shield_defence_mod	3c_force_unit_mod_melee_defence_versus_other_romans	fighting_culture_roman
melee_defence_mod	3c_force_unit_mod_melee_defence_versus_romans	fighting_culture_roman
shield_defence_mod	3c_force_unit_mod_melee_defence_versus_romans	fighting_culture_roman
accuracy_mod	3c_force_unit_mod_missile_damage_defending	fighting_force_status_yours_defending
range_mod	3c_force_unit_mod_missile_range_defending	fighting_force_status_yours_defending
reload_mod	3c_force_unit_mod_missle_rate_ship_neutral_territory	fighting_territory_neutral_navy
morale	3c_force_unit_mod_morale_enemy_territory	fighting_territory_enemy
morale	3c_force_unit_mod_morale_own_territory	fighting_territory_own_only
morale	3c_force_unit_mod_morale_ship_neutral_territory	fighting_territory_neutral_navy
morale	3c_force_unit_mod_morale_versus_non_barbarians	fighting_force_non_barbarian
morale	3c_force_unit_mod_morale_versus_other_romans	fighting_culture_roman
morale	3c_force_unit_mod_morale_versus_romans	fighting_culture_roman
mod_land_movement_battle	3c_force_unit_mod_movement_speed_desert	fighting_ground_type_desert
ship_ram_damage_mod	3c_force_unit_mod_ramming_bonus_versus_roman_eastern	fighting_force_non_barbarian
melee_attack_mod	3c_force_unit_mod_siege_attack_melee_attack	fighting_force_status_yours_besieging
morale	3c_force_unit_mod_siege_attack_morale	fighting_force_status_yours_besieging
morale	3c_tech_military_morale_own_territory	fighting_territory_own_or_allied
ship_health_mod	3c_tech_military_tactics_ship_armour_mod_versus_roman_eastern	fighting_force_non_barbarian
melee_attack_mod	gaul_faction_trait_gallic_arverni_core_champions	fighting_territory_own_or_allied
morale	gaul_faction_trait_gallic_nervii_core_defenders	fighting_territory_own_or_allied
melee_attack_mod	gaul_faction_trait_germanic_suebi_core_invaders	fighting_territory_enemy_or_neutral
morale	gaul_faction_trait_rome_julia_core_civilisation	fighting_territory_enemy_or_neutral
morale	inv_faction_group_italic_italic_independence	fighting_territory_own_or_allied
melee_attack_mod	inv_force_mod_melee_attack_marines_on_land	fighting_marines_on_land
morale	inv_force_mod_morale_marines_on_land	fighting_marines_on_land
range_mod	inv_force_unit_mod_bows_missle_range_versus_etruscans	fighting_culture_etruscans
charge_bonus	inv_force_unit_mod_charge_bonus_besieging	fighting_force_status_theirs_besieging
charge_bonus	inv_force_unit_mod_charge_bonus_own_territory	fighting_territory_own_only
charge_bonus	inv_force_unit_mod_charge_bonus_versus_carthaginians	fighting_faction_carthage
charge_bonus	inv_force_unit_mod_charge_bonus_versus_etruscans	fighting_culture_etruscans
charge_bonus	inv_force_unit_mod_charge_bonus_versus_romans	fighting_culture_roman
reload_mod	inv_force_unit_mod_firing_rate_versus_gauls	fighting_culture_gauls
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_celts	fighting_culture_celtic
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_etruscans	fighting_culture_etruscans
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_gauls	fighting_culture_gauls
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_greeks	fighting_culture_greeks
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_italians	fighting_culture_italians
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_italics	fighting_culture_italians
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_nuragic	fighting_culture_nuragic
melee_attack_mod	inv_force_unit_mod_melee_attack_versus_romans	fighting_culture_roman
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_celts	fighting_culture_celtic
