battlefield_deployable	bonus_value_id	effect
#effect_bonus_value_battlefield_deployables_junctions_tables;0;db/effect_bonus_value_battlefield_deployables_junctions_tables/effect_bonus_value_battlefield_deployables_junctions		
deployable_barricade	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_barricades_single
deployable_barricade	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_barricades
deployable_brimstone	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_brimstone_single
deployable_brimstone	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_brimstone
deployable_fireball	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fireballs_single
deployable_fireball	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fireballs
deployable_fireball	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_barbarian
deployable_sharp_stones	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_barbarian
deployable_stakes	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_barbarian
deployable_barricade	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_eastern
deployable_brimstone	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_eastern
deployable_stakes	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_eastern
deployable_barricade	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_hellenic
deployable_brimstone	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_hellenic
deployable_caltrop	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_hellenic
deployable_barricade	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_rome
deployable_caltrop	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_rome
deployable_spiketrap	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_fortification_rome
deployable_sharp_stones	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_sharp_stones_single
deployable_sharp_stones	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_sharp_stones
deployable_spiketrap	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_spikes_single
deployable_spiketrap	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_spikes
deployable_stakes	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_stakes_single
deployable_stakes	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_stakes
deployable_caltrop	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_sudes_single
deployable_caltrop	battlefield_deployable_enabled	rom_force_enable_defensive_deployables_sudes
