bonus_value_id	building_set	effect
#effect_bonus_value_building_set_junctions_tables;0;db/effect_bonus_value_building_set_junctions_tables/effect_bonus_value_building_set_junctions		
add_banditry	3c_building_set_cults	3c_faction_trait_palmyra_cult_banditry
mod_research_points	3c_building_set_manichean	3c_faction_trait_palmyra_cult_bonuses
mod_replenishment_percentage_bonus	3c_building_set_christ_cult	3c_faction_trait_palmyra_unseen_christian_bonus
mod_food	3c_building_set_mithraic	3c_faction_trait_palmyra_unseen_mithraic_bonus
mod_gdp	3c_building_set_christian	3c_tech_civil_culture_christian_wealth
add_public_order	3c_building_set_gallic_entertainment	3c_tech_civil_culture_public_order_entertainment_buildings
replenishment_percentage_bonus	3c_building_set_christ_cult	3c_tech_civil_culture_replenishtment_rate_christ_cult
add_food	3c_building_set_city_centre	3c_tech_civil_economy_food_barb_commons
add_food	3c_builidng_set_nomad_sheep	3c_tech_civil_economy_food_cattle
add_food	3c_building_set_farms	3c_tech_civil_economy_food_from_farms
add_food	rom_building_set_port	3c_tech_civil_economy_food_ports
mod_cost	3c_building_set_roman_civil	3c_tech_civil_engineering_civil_buildings_cost_mod
mod_demolish_cost	3c_building_set_cults	3c_tech_civil_engineering_cult_buildings_demolition_cost_mod
add_build_time	rom_building_set_military	3c_tech_civil_engineering_military_build_time_mod
add_build_time	rom_building_set_port	3c_tech_civil_engineering_port_build_time_mod
mod_cost	3c_building_set_sol_invictus	3c_tech_civil_engineering_solinvictus_temple_cost_mod
add_public_order	3c_building_set_sol_invictus	3c_tech_civil_engineering_solinvictus_temple_public_order
mod_build_time	3c_building_set_wodanaz	3c_tech_civil_engineering_wodanaz_temple_build_time_mod
mod_cost	3c_building_set_wodanaz	3c_tech_civil_engineering_wodanaz_temple_cost_mod
mod_gdp	3c_building_set_wodanaz	3c_tech_civil_engineering_wodanaz_temple_gdp_mod
mod_cost	3c_building_set_admin	3c_tech_civil_governance_construction_costs_admin
add_build_time	dk_building_set_all	dk_event_all_buildings_build_time_mod
mod_cost	inv_building_set_culture_greek	inv_building_cost_mod_buildings_culture_greek
mod_conversion_cost	rom_building_set_military	inv_building_culture_conversion_military
add_food	inv_etr_minor_port	inv_building_economy_food_from_docks
add_food	inv_all_farms	inv_building_economy_food_from_farms_this_region
add_food	inv_all_farms	inv_building_economy_food_from_farms
add_food	inv_etr_minor_agriculture	inv_building_economy_food_from_pera
add_food	inv_all_ports	inv_building_economy_food_from_ports
add_food	inv_etr_minor_religion	inv_building_economy_food_from_tmia
mod_food	inv_all_buildings	inv_building_food_mod
