bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/effect_bonus_value_ids_unit_sets		
unit_xp_mod	3c_faction_trait_armenia_general_experience_base	3c_commander_units
charge_bonus	3c_faction_trait_british_heroic_culture	all_units
charge_bonus	3c_faction_trait_sassanid_charge_cavalry	cavalry_units
armour_mod	3c_force_unit_mod_armour_cavalry	cavalry_units
armour_mod	3c_force_unit_mod_armour_chariots	chariots
armour_mod	3c_force_unit_mod_armour_infantry	infantry_units
ammo_mod	3c_force_unit_mod_bows_ammunition	missile_units_bows
mod_land_movement_battle	3c_force_unit_mod_bows_battle_speed	missile_units_bows
ammo_mod	3c_force_unit_mod_cavalry_and_infantry_ammunition	cavalry_units
ammo_mod	3c_force_unit_mod_cavalry_and_infantry_ammunition	infantry_units
mod_land_movement_battle	3c_force_unit_mod_cavalry_and_infantry_battle_speed	cavalry_units
mod_land_movement_battle	3c_force_unit_mod_cavalry_and_infantry_battle_speed	infantry_units
mod_land_movement_battle	3c_force_unit_mod_cavalry_battle_speed	cavalry_units
armour_mod	3c_force_unit_mod_cavalry_heavy_armour	cavalry_units_heavy
charge_bonus	3c_force_unit_mod_cavalry_heavy_charge	cavalry_units_heavy
morale	3c_force_unit_mod_cavalry_light_morale	cavalry_units_light
accuracy_mod	3c_force_unit_mod_greuthungi_weapon_damage	3c_goth_greuthungi
melee_damage_mod	3c_force_unit_mod_greuthungi_weapon_damage	3c_goth_greuthungi
armour_mod	3c_force_unit_mod_heavy_armour	cavalry_units_heavy
armour_mod	3c_force_unit_mod_heavy_armour	infantry_units_heavy
morale	3c_force_unit_mod_heavy_infantry_battle_speed	infantry_units_heavy
morale	3c_force_unit_mod_heavy_infantry_morale	infantry_units_heavy
melee_attack_mod	3c_force_unit_mod_heavy_melee_attack	cavalry_units_heavy
melee_attack_mod	3c_force_unit_mod_heavy_melee_attack	infantry_units_heavy
melee_defence_mod	3c_force_unit_mod_heavy_melee_defence	cavalry_units_heavy
melee_defence_mod	3c_force_unit_mod_heavy_melee_defence	infantry_units_heavy
shield_defence_mod	3c_force_unit_mod_heavy_melee_defence	cavalry_units_heavy
shield_defence_mod	3c_force_unit_mod_heavy_melee_defence	infantry_units_heavy
morale	3c_force_unit_mod_heavy_morale	cavalry_units_heavy
morale	3c_force_unit_mod_heavy_morale	infantry_units_heavy
mod_land_movement_battle	3c_force_unit_mod_infantry_battle_speed	infantry_units
morale	3c_force_unit_mod_infantry_spears_morale	infantry_units_spears
melee_defence_mod	3c_force_unit_mod_melee_defence_chariots	chariots
shield_defence_mod	3c_force_unit_mod_melee_defence_chariots	chariots
melee_attack_mod	3c_force_unit_mod_mercenary_melee_attack	all_units_mercenary
melee_defence_mod	3c_force_unit_mod_mercenary_melee_defence	all_units_mercenary
shield_defence_mod	3c_force_unit_mod_mercenary_melee_defence	all_units_mercenary
melee_damage_mod	3c_force_unit_mod_mercenary_weapon_damage	all_units_mercenary
melee_attack_mod	3c_force_unit_mod_ship_crew_melee_attack	all_units
morale	3c_force_unit_mod_ship_crew_morale	all_units
accuracy_mod	3c_force_unit_mod_tervingi_weapon_damage	3c_goth_tervingi
melee_damage_mod	3c_force_unit_mod_tervingi_weapon_damage	3c_goth_tervingi
melee_attack_mod	3c_force_unit_mod_tier_one_attack	3c_east_tier_one
melee_defence_mod	3c_force_unit_mod_tier_one_defence	3c_east_tier_one
shield_defence_mod	3c_force_unit_mod_tier_one_defence	3c_east_tier_one
armour_mod	3c_general_bodyguard_mod_armour	3c_commander_units
charge_bonus	3c_general_bodyguard_mod_charge	3c_commander_units
melee_attack_mod	3c_general_bodyguard_mod_melee_attack	3c_commander_units
melee_defence_mod	3c_general_bodyguard_mod_melee_defense	3c_commander_units
shield_defence_mod	3c_general_bodyguard_mod_melee_defense	3c_commander_units
upkeep_mod_elected_monarchy	3c_tech_civil_governance_force_upkeep_monarchy	all_units
unit_xp_mod_hereditary_monarchy	3c_tech_civil_governance_unit_mod_experience_kingdom	all_units
ammo_mod	3c_tech_military_ammunition_mod_cavalry	cavalry_units
ammo_mod	3c_tech_military_ammunition_mod_infantry	infantry_units
fatigue_resistant	3c_tech_military_fatigue_resistance_greuthungi	3c_goth_greuthungi
fatigue_resistant	3c_tech_military_fatigue_resistance_land_units	all_land_units
fatigue_resistant	3c_tech_military_fatigue_resistance_tervingi	3c_goth_tervingi
cost_mod	age_agent_siege_machine_cost_mod_parent_army	all_land_artillery
range_mod	age_agent_siege_weapons_range_parent_army	artillery_units
unit_xp_mod	age_agent_unit_experience_auxiliary_local_province	all_units_auxiliary
unit_xp_mod	age_agent_xp_rank_mod_heavy_units_local_province	inv_heavy_units
melee_attack_mod	age_force_melee_attack_inf_spr	infantry_units_spears
melee_defence_mod	age_force_melee_defence_inf_spr	infantry_units_spears
morale	age_force_morale_inf_spr	infantry_units_spears
morale	age_morale_unarmoured_units	inv_unarmoured_units
cost_mod	inv_building_recruitment_cost_mod_spearmen	melee_units_spears
unit_xp_mod	inv_faction_group_greek_naval_prowess	inv_naval_greek
melee_attack_mod	inv_faction_samnites_swordsmen	inv_all_swords
upkeep_mod	inv_force_artillery_upkeep_mod	artillery_units
ammo_mod	inv_force_unit_mod_ammunition_artillery	artillery_units
armour_mod	inv_force_unit_mod_armour_all_mercenaries	all_units_mercenary
armour_mod	inv_force_unit_mod_armour_heavy_spearmen	spearmen_units_heavy
melee_defence_mod	inv_force_unit_mod_cavalry_melee_defence	cavalry_units
shield_defence_mod	inv_force_unit_mod_cavalry_melee_defence	cavalry_units
melee_damage_mod	inv_force_unit_mod_damage_all_cavalry	cavalry_units
melee_damage_mod	inv_force_unit_mod_damage_infantry	infantry_units
melee_attack_mod	inv_force_unit_mod_melee_attack_all_mercenaries	all_units_mercenary
melee_attack_mod	inv_force_unit_mod_melee_attack_greek_mercenaries	all_greek_units_mercenary
melee_defence_mod	inv_force_unit_mod_melee_defence_infantry	infantry_units
shield_defence_mod	inv_force_unit_mod_melee_defence_infantry	infantry_units
morale	inv_force_unit_mod_morale_all_archers	missile_units_bows
morale	inv_force_unit_mod_morale_all_gauls	all_units_Gauls
morale	inv_force_unit_mod_morale_greek_mercenaries	all_greek_units_mercenary
melee_defence_mod	inv_force_unit_mod_ship_crew_melee_defence	all_units
shield_defence_mod	inv_force_unit_mod_ship_crew_melee_defence	all_units
melee_damage_mod	inv_force_unit_mod_swords_weapon_damage	inv_all_swords
armour_mod	inv_force_unit_swords_mod_armour	inv_all_swords
melee_defence_mod	inv_force_unit_swords_mod_melee_defence	inv_all_swords
shield_defence_mod	inv_force_unit_swords_mod_melee_defence	inv_all_swords
melee_attack_mod	inv_force_ver_sacrum_attack_melee	inv_ver_sacrum_force
melee_defence_mod	inv_force_ver_sacrum_defence_melee	inv_ver_sacrum_force
shield_defence_mod	inv_force_ver_sacrum_defence_melee	inv_ver_sacrum_force
morale	inv_force_ver_sacrum_morale	inv_ver_sacrum_force
upkeep_mod	inv_force_ver_sacrum_upkeep	inv_ver_sacrum_force
melee_damage_mod	inv_general_bodyguard_mod_damage	bodyguard_units_generals
unit_xp_mod	inv_tech_experience_rate_mercenaries	all_units_mercenary
fatigue_resistant	inv_tech_military_fatigue_resistance_infantry_units	infantry_units
upkeep_mod	inv_tech_military_upkeep_mod_all_missile_units	missile_units
upkeep_mod	inv_tech_military_upkeep_mod_greek_mercenaries	all_greek_units_mercenary
reload	inv_tech_unit_mode_light_infantry_missile_rate	infantry_units_light
morale	pel_faction_boiotia_rising_military	all_land_units
unit_xp_mod	pel_faction_sparta_spartiate	spartan_units
mod_land_movement_battle	pel_force_unit_mod_cavalry_and_missile_battle_speed	cavalry_and_missile
morale	pel_force_unit_mod_cavalry_and_missile_morale	cavalry_and_missile
cost_mod	pel_force_unit_mod_cavalry_and_missile_recruitment_cost	cavalry_and_missile
upkeep_mod	pel_force_unit_mod_cavalry_and_missile_upkeep_cost	cavalry_and_missile
cost_mod	pel_force_unit_mod_cavalry_recruitment_cost	cavalry_units
upkeep_mod	pel_force_unit_mod_cavalry_upkeep_cost	cavalry_units
melee_attack_mod	pel_force_unit_mod_hoplite_melee_attack	pel_hoplites
mod_land_movement_battle	pel_force_unit_mod_infantry_melee_battle_speed	infantry_melee
morale	pel_force_unit_mod_infantry_melee_morale	infantry_melee
cost_mod	pel_force_unit_mod_infantry_melee_recruitment_cost	infantry_melee
upkeep_mod	pel_force_unit_mod_infantry_melee_upkeep_cost	infantry_melee
cost_mod	pel_force_unit_mod_missile_recruitment_cost	missile_units
upkeep_mod	pel_force_unit_mod_missile_upkeep_cost	missile_units
reload	pel_force_unit_mod_ship_missile_rate	naval_all
morale	pun_faction_trait_arevaci_horse_nobility	cavalry_units
cost_mod	pun_faction_trait_arevaci_horsemanship	cavalry_units
upkeep_mod	pun_faction_trait_carthage_large_coffers	all_units_mercenary
unit_xp_mod	pun_faction_trait_lusitani_mighty_warriors	infantry_units
unit_stat_bonus_shield	rom_building_unit_equipment_shields_bronze	ranged_shields
unit_stat_bonus_shield	rom_building_unit_equipment_shields_gold	ranged_shields
unit_stat_bonus_shield	rom_building_unit_equipment_shields_silver	ranged_shields
unit_xp_mod	rom_building_unit_experience_all	all_land_units
unit_xp_mod	rom_building_unit_experience_auxiliary	all_units_auxiliary
unit_xp_mod	rom_building_unit_experience_cavalry	cavalry_units
unit_xp_mod	rom_building_unit_experience_heavy_infantry	infantry_units_heavy
unit_xp_mod	rom_building_unit_experience_infantry_roman	infantry_units_roman
unit_xp_mod	rom_building_unit_experience_light_infantry	infantry_units_light
unit_xp_mod	rom_building_unit_experience_missile	missile_units
unit_xp_mod	rom_building_unit_experience_spear_infantry	infantry_units_spears
