bonus_value_id	effect	effect_bonus_will_modify
#effect_bonus_value_provincial_initiative_effect_record_junctions_tables;1;db/effect_bonus_value_provincial_initiative_effect_record_junctions_tables/effect_bonus_value_provincial_initiative_effect_record_junctions		
value_addition	3c_force_unit_mod_melee_defence_mod_stance	3c_force_unit_mod_melee_defence_base_stance
value_addition	3c_province_initiative_non_barbarian_taxes_replenishment_mod	3c_province_initiative_non_barbarian_taxes_replenishment_base
value_addition	rom_province_initiative_barbarian_migration_mod_growth_mod	rom_province_initiative_barbarian_migration_base_growth_mod
value_addition	rom_province_initiative_barbarian_migration_mod_recruitment_cost_land_mod	rom_province_initiative_barbarian_migration_base_recruitment_cost_land_mod
value_addition	rom_province_initiative_barbarian_tribute_mod_public_order	rom_province_initiative_barbarian_tribute_base_public_order
value_addition	rom_province_initiative_barbarian_tribute_mod_taxrate	rom_province_initiative_barbarian_tribute_base_taxrate
value_addition	rom_province_initiative_eastern_conscripts_mod_recruitment_cost_land_mod	rom_province_initiative_eastern_conscripts_base_recruitment_cost_land_mod
value_addition	rom_province_initiative_eastern_conscripts_mod_recruitment_points_land	rom_province_initiative_eastern_conscripts_base_recruitment_points_land
value_addition	rom_province_initiative_festival_mod_food_production	rom_province_initiative_festival_base_food_production
value_addition	rom_province_initiative_festival_mod_gdp_agriculture_mod	rom_province_initiative_festival_base_gdp_agriculture_mod
value_addition	rom_province_initiative_festival_mod_gdp_entertainment_mod	rom_province_initiative_festival_base_gdp_entertainment_mod
value_addition	rom_province_initiative_festival_mod_gdp_industry_mod	rom_province_initiative_festival_base_gdp_industry_mod
value_addition	rom_province_initiative_festival_mod_gdp_trade_mod	rom_province_initiative_festival_base_gdp_trade_mod
value_addition	rom_province_initiative_festival_mod_growth_mod	rom_province_initiative_festival_base_growth_mod
value_addition	rom_province_initiative_festival_mod_happiness_entertainment	rom_province_initiative_festival_base_happiness_entertainment
value_addition	rom_province_initiative_festival_mod_happiness_religion	rom_province_initiative_festival_base_happiness_religion
value_addition	rom_province_initiative_festival_mod_recruitment_cost_all_mod	rom_province_initiative_festival_base_recruitment_cost_all_mod
value_addition	rom_province_initiative_festival_mod_recruitment_cost_land_mod	rom_province_initiative_festival_base_recruitment_cost_land_mod
value_addition	rom_province_initiative_festival_mod_recruitment_cost_naval_mod	rom_province_initiative_festival_base_recruitment_cost_naval_mod
value_addition	rom_province_initiative_festival_mod_recruitment_points_land	rom_province_initiative_festival_base_recruitment_points_land
value_addition	rom_province_initiative_festival_mod_recruitment_points_naval	rom_province_initiative_festival_base_recruitment_points_naval
value_addition	rom_province_initiative_hellenic_liturgies_mod_build_convert_cost_mod	rom_province_initiative_hellenic_liturgies_base_build_convert_cost_mod
value_addition	rom_province_initiative_hellenic_liturgies_mod_construction_cost_mod	rom_province_initiative_hellenic_liturgies_base_construction_cost_mod
value_addition	rom_province_initiative_hellenic_liturgies_mod_recruitment_cost_land_mod	rom_province_initiative_hellenic_liturgies_base_recruitment_cost_land_mod
value_addition	rom_province_initiative_hellenic_liturgies_mod_recruitment_cost_naval_mod	rom_province_initiative_hellenic_liturgies_base_recruitment_cost_naval_mod
value_addition	rom_province_initiative_mercenaries_mod_merc_recruitment_cost_mod	rom_province_initiative_mercenaries_base_merc_recruitment_cost_mod
value_addition	rom_province_initiative_non_barbarian_taxes_mod_public_order	rom_province_initiative_non_barbarian_taxes_base_public_order
value_addition	rom_province_initiative_non_barbarian_taxes_mod_taxrate	rom_province_initiative_non_barbarian_taxes_base_taxrate
value_addition	rom_province_initiative_roman_romanisation_mod_aux_recruitment_cost	rom_province_initiative_roman_romanisation_base_aux_recruitment_cost
value_addition	rom_province_initiative_roman_romanisation_mod_cultural_conversion	rom_province_initiative_roman_romanisation_base_cultural_conversion
value_addition	rom_province_initiative_trade_mod_food	rom_province_initiative_trade_base_food
value_addition	rom_province_initiative_trade_mod_gdp_manufacture_mod	rom_province_initiative_trade_base_gdp_manufacture_mod
value_addition	rom_province_initiative_trade_mod_gdp_slave_mod	rom_province_initiative_trade_base_gdp_slave_mod
value_addition	rom_province_initiative_trade_mod_gdp_trade_mod	rom_province_initiative_trade_base_gdp_trade_mod
value_addition	rom_province_initiative_trade_mod_growth_mod	rom_province_initiative_trade_base_growth_mod
value_addition	rom_province_initiative_trade_mod_happiness	rom_province_initiative_trade_base_happiness
value_addition	rom_province_initiative_trade_mod_slave_decrease_mod_large	rom_province_initiative_trade_base_slave_decrease_mod
value_addition	rom_province_initiative_trade_mod_slave_decrease_mod_moderate	rom_province_initiative_trade_base_slave_decrease_mod
value_addition	rom_province_initiative_trade_mod_slave_decrease_mod_small	rom_province_initiative_trade_base_slave_decrease_mod
value_addition	rom_province_initiative_trade_mod_slave_unrest	rom_province_initiative_trade_base_slave_unrest
