effect	bonus_value_id	religion
#effect_bonus_value_religion_junction_tables;0;db/effect_bonus_value_religion_junction_tables/effect_bonus_value_religion_junction		
3c_building_culture_conversion_christ	conversion	3c_christian
3c_building_culture_conversion_manich	conversion	3c_manichaean
3c_building_culture_conversion_mithra	conversion	3c_mithraic
3c_faction_trait_armenia_diplomacy_westward	diplomatic_mod	rom_religion_latin
3c_faction_trait_gallicemp_public_order_latin	faction_public_order	rom_religion_latin
3c_faction_trait_nomadic_steppe_dominance	diplomatic_mod	rom_religion_nomadic
3c_faction_trait_roman_diplomatic_penalty	diplomatic_mod	rom_religion_latin
3c_faction_trait_sassanid_diplomacy_eastern_nomadic	diplomatic_mod	rom_religion_eastern
3c_faction_trait_sassanid_diplomacy_eastern_nomadic	diplomatic_mod	rom_religion_nomadic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_african_arabian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_aiolian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_akaian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_balkan
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_barbarian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_celtic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_dorian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_eastern
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_etruscan
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_germanic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_hellenic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_iapygian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_iberian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_ionian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_italian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_latin
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_makedonian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_nomadic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_nuragic
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_other_greek
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_persian
3c_tech_civil_culture_diplomacy_all	diplomatic_mod	rom_religion_punic
3c_tech_civil_culture_diplomacy_arabian	diplomatic_mod	rom_religion_african_arabian
3c_tech_civil_culture_diplomacy_barbarian	diplomatic_mod	rom_religion_african_arabian
3c_tech_civil_culture_diplomacy_barbarian	diplomatic_mod	rom_religion_celtic
3c_tech_civil_culture_diplomacy_barbarian	diplomatic_mod	rom_religion_germanic
3c_tech_civil_culture_diplomacy_barbarian	diplomatic_mod	rom_religion_nomadic
3c_tech_civil_culture_diplomacy_eastern	diplomatic_mod	rom_religion_eastern
3c_tech_civil_culture_diplomacy_german	diplomatic_mod	rom_religion_germanic
3c_tech_civil_culture_diplomacy_latin	diplomatic_mod	rom_religion_latin
3c_tech_civil_culture_diplomacy_steppe	diplomatic_mod	rom_religion_nomadic
dk_diplomacy_african_arabian	diplomatic_mod	rom_religion_african_arabian
dk_diplomacy_eastern	diplomatic_mod	rom_religion_eastern
dk_diplomacy_hellenic	diplomatic_mod	rom_religion_hellenic
dk_diplomacy_latin	diplomatic_mod	rom_religion_latin
dk_diplomacy_punic	diplomatic_mod	rom_religion_punic
emp_faction_trait_roman_diplomatic_penalty	diplomatic_mod	rom_religion_latin
gaul_faction_imperium_diplomacy_gallic_bonus	diplomatic_mod_imperium	rom_religion_celtic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_african_arabian
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_balkan
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_celtic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_eastern
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_etruscan
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_germanic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_hellenic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_iapygian
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_iberian
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_italian
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_latin
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_nomadic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_nuragic
gaul_faction_imperium_diplomacy_penalty	diplomatic_mod_imperium	rom_religion_punic
gaul_faction_imperium_diplomacy_roman_bonus	diplomatic_mod_imperium	rom_religion_latin
gaul_faction_trait_gallic_arverni_drawback_divided	faction_public_order	rom_religion_celtic
gaul_faction_trait_gallic_nervii_cultural_national_courage	faction_public_order	rom_religion_celtic
gaul_faction_trait_rome_julia_cultural_romanisers	conversion_when_state	rom_religion_latin
inv_building_culture_conversion_etruscan	conversion	rom_religion_etruscan
inv_building_culture_conversion_italian	conversion	rom_religion_italian
inv_building_culture_conversion_nuragic	conversion	rom_religion_nuragic
inv_event_culture_conversion_celtic	conversion	rom_religion_celtic
inv_event_culture_conversion_hellenic	conversion	rom_religion_hellenic
inv_event_culture_conversion_punic	conversion	rom_religion_punic
inv_faction_group_greek_greek_patriotism	faction_public_order	rom_religion_hellenic
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_celtic
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_etruscan
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_hellenic
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_iapygian
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_italian
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_latin
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_nuragic
inv_faction_insubres_diplomacy	diplomatic_mod	rom_religion_punic
inv_faction_trait_less_penalty_for_public_order_from_celts	faction_public_order	rom_religion_celtic
inv_faction_trait_less_penalty_for_public_order_from_etruscans	faction_public_order	rom_religion_etruscan
inv_faction_trait_less_penalty_for_public_order_from_greeks	faction_public_order	rom_religion_hellenic
inv_tech_civil_culture_diplomacy_etruscan	diplomatic_mod	rom_religion_etruscan
inv_tech_civil_culture_diplomacy_italians_and_gauls	diplomatic_mod	rom_religion_celtic
inv_tech_civil_culture_diplomacy_italians_and_gauls	diplomatic_mod	rom_religion_italian
inv_tech_civil_culture_diplomacy_latins_Rome	diplomatic_mod	rom_religion_latin
pel_diplomacy_south_greece	diplomatic_mod_imperium	rom_religion_aiolian
pel_diplomacy_south_greece	diplomatic_mod_imperium	rom_religion_akaian
pel_diplomacy_south_greece	diplomatic_mod_imperium	rom_religion_dorian
pel_diplomacy_south_greece	diplomatic_mod_imperium	rom_religion_ionian
pel_diplomatic_all	diplomatic_mod	rom_religion_aiolian
pel_diplomatic_all	diplomatic_mod	rom_religion_akaian
pel_diplomatic_all	diplomatic_mod	rom_religion_barbarian
pel_diplomatic_all	diplomatic_mod	rom_religion_dorian
pel_diplomatic_all	diplomatic_mod	rom_religion_ionian
pel_diplomatic_all	diplomatic_mod	rom_religion_makedonian
pel_diplomatic_all	diplomatic_mod	rom_religion_other_greek
pel_diplomatic_all	diplomatic_mod	rom_religion_persian
pel_diplomatic_greek	diplomatic_mod	rom_religion_aiolian
pel_diplomatic_greek	diplomatic_mod	rom_religion_akaian
pel_diplomatic_greek	diplomatic_mod	rom_religion_dorian
pel_diplomatic_greek	diplomatic_mod	rom_religion_ionian
