effect	bonus_value_id	resource
#effect_bonus_value_resource_junction_tables;0;db/effect_bonus_value_resource_junction_tables/effect_bonus_value_resource_junction		
rom_building_resource_amber_production	production	res_rom_amber
rom_building_resource_glass_production	production	res_rom_glass
rom_building_resource_horses_production	production	res_rom_horses
rom_building_resource_iron_production	production	res_rom_iron
rom_building_resource_lead_production	production	res_rom_lead
rom_building_resource_leather_production	production	res_rom_leather
rom_building_resource_limestone_production	production	res_rom_marble
rom_building_resource_marble_production	production	res_rom_marble
rom_building_resource_olive_oil_production	production	res_rom_oil
rom_building_resource_salt_production	production	res_rom_salt
rom_building_resource_spice_production	production	res_rom_spices
rom_building_resource_textiles_production	production	res_rom_textiles
rom_building_resource_timber_production	production	res_rom_timber
rom_building_resource_wine_production	production	res_rom_wine
