bonus_value_id	effect	siege_item
#effect_bonus_value_siege_item_junctions_tables;0;db/effect_bonus_value_siege_item_junctions_tables/effect_bonus_value_siege_item_junctions		
siege_item_allowed	3c_hidden_enable_battering_ram	battering_ram_light
siege_item_enabled	3c_hidden_enable_battering_ram	battering_ram_light
siege_item_allowed	3c_hidden_enable_siege_tower	siege_tower_15m_light
siege_item_allowed	3c_hidden_enable_siege_tower	siege_tower_8m_light
siege_item_enabled	3c_hidden_enable_siege_tower	siege_tower_15m_light
siege_item_enabled	3c_hidden_enable_siege_tower	siege_tower_8m_light
siege_item_allowed	3c_hidden_enable_tortoise	tortoise
siege_item_enabled	3c_hidden_enable_tortoise	tortoise
siege_item_number_of_vehicles_per_construction_item	inv_force_number_ladders	siege_ladder_15m
siege_item_number_of_vehicles_per_construction_item	inv_force_number_ladders	siege_ladder_8m
siege_item_number_of_vehicles_per_construction_item	inv_force_number_siege_engines	siege_tower_15m_light
siege_item_number_of_vehicles_per_construction_item	inv_force_number_siege_engines	siege_tower_8m_light
siege_item_number_of_vehicles_per_construction_item	inv_force_number_siege_gallery	gallery_light
siege_item_enabled	rom_deployable_siege_engine_enable_battering_ram_heavy	battering_ram_heavy
siege_item_enabled	rom_deployable_siege_engine_enable_battering_ram_light	battering_ram_light
siege_item_enabled	rom_deployable_siege_engine_enable_battering_ram_medium	battering_ram_medium
siege_item_enabled	rom_deployable_siege_engine_enable_gallery_heavy	gallery_heavy
siege_item_allowed	rom_deployable_siege_engine_enable_gallery_light	gallery_light
siege_item_enabled	rom_deployable_siege_engine_enable_gallery_light	gallery_light
siege_item_enabled	rom_deployable_siege_engine_enable_gallery_medium	gallery_medium
siege_item_allowed	rom_deployable_siege_engine_enable_siege_ladder_15m	siege_ladder_15m
siege_item_enabled	rom_deployable_siege_engine_enable_siege_ladder_15m	siege_ladder_15m
siege_item_allowed	rom_deployable_siege_engine_enable_siege_ladder_8m	siege_ladder_8m
siege_item_enabled	rom_deployable_siege_engine_enable_siege_ladder_8m	siege_ladder_8m
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_15m_heavy	siege_tower_15m_heavy
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_15m_light	siege_tower_15m_light
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_15m_medium	siege_tower_15m_medium
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_8m_heavy	siege_tower_8m_heavy
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_8m_light	siege_tower_8m_light
siege_item_enabled	rom_deployable_siege_engine_enable_siege_tower_8m_medium	siege_tower_8m_medium
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_battering_ram_heavy	battering_ram_heavy
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_battering_ram_light	battering_ram_light
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_battering_ram_medium	battering_ram_medium
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_gallery_heavy	gallery_heavy
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_gallery_light	gallery_light
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_gallery_medium	gallery_medium
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_ladder_15m	siege_ladder_15m
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_ladder_8m	siege_ladder_8m
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_15m_heavy	siege_tower_15m_heavy
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_15m_light	siege_tower_15m_light
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_15m_medium	siege_tower_15m_medium
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_8m_heavy	siege_tower_8m_heavy
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_8m_light	siege_tower_8m_light
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_siege_tower_8m_medium	siege_tower_8m_medium
siege_item_number_of_vehicles_per_construction_item	rom_deployable_siege_engine_number_tortoise	tortoise
siege_item_allowed	rom_force_enable_siege_machine_quality_heavy	gallery_heavy
siege_item_enabled	rom_force_enable_siege_machine_quality_heavy	battering_ram_heavy
siege_item_enabled	rom_force_enable_siege_machine_quality_heavy	gallery_heavy
siege_item_enabled	rom_force_enable_siege_machine_quality_heavy	siege_tower_15m_heavy
siege_item_enabled	rom_force_enable_siege_machine_quality_heavy	siege_tower_8m_heavy
siege_item_allowed	rom_force_enable_siege_machine_quality_medium	gallery_medium
siege_item_enabled	rom_force_enable_siege_machine_quality_medium	battering_ram_medium
siege_item_enabled	rom_force_enable_siege_machine_quality_medium	gallery_medium
siege_item_enabled	rom_force_enable_siege_machine_quality_medium	siege_tower_15m_medium
siege_item_enabled	rom_force_enable_siege_machine_quality_medium	siege_tower_8m_medium
siege_item_allowed	rom_hidden_walls_15m	battering_ram_heavy
siege_item_allowed	rom_hidden_walls_15m	battering_ram_light
siege_item_allowed	rom_hidden_walls_15m	battering_ram_medium
siege_item_allowed	rom_hidden_walls_15m	gallery_heavy
siege_item_allowed	rom_hidden_walls_15m	gallery_light
siege_item_allowed	rom_hidden_walls_15m	gallery_medium
siege_item_allowed	rom_hidden_walls_15m	siege_ladder_15m
siege_item_allowed	rom_hidden_walls_15m	siege_tower_15m_heavy
siege_item_allowed	rom_hidden_walls_15m	siege_tower_15m_light
siege_item_allowed	rom_hidden_walls_15m	siege_tower_15m_medium
siege_item_allowed	rom_hidden_walls_15m	tortoise
siege_item_allowed	rom_hidden_walls_8m	battering_ram_heavy
siege_item_allowed	rom_hidden_walls_8m	battering_ram_light
siege_item_allowed	rom_hidden_walls_8m	battering_ram_medium
siege_item_allowed	rom_hidden_walls_8m	gallery_heavy
siege_item_allowed	rom_hidden_walls_8m	gallery_light
siege_item_allowed	rom_hidden_walls_8m	gallery_medium
siege_item_allowed	rom_hidden_walls_8m	siege_ladder_8m
siege_item_allowed	rom_hidden_walls_8m	siege_tower_8m_heavy
siege_item_allowed	rom_hidden_walls_8m	siege_tower_8m_light
siege_item_allowed	rom_hidden_walls_8m	siege_tower_8m_medium
siege_item_allowed	rom_tech_engineering_siege_unlock_battering_ram	battering_ram_heavy
siege_item_allowed	rom_tech_engineering_siege_unlock_battering_ram	battering_ram_light
siege_item_allowed	rom_tech_engineering_siege_unlock_battering_ram	battering_ram_medium
siege_item_enabled	rom_tech_engineering_siege_unlock_battering_ram	battering_ram_light
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_15m_heavy
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_15m_light
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_15m_medium
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_8m_heavy
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_8m_light
siege_item_allowed	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_8m_medium
siege_item_enabled	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_15m_light
siege_item_enabled	rom_tech_engineering_siege_unlock_siege_tower	siege_tower_8m_light
siege_item_allowed	rom_tech_engineering_siege_unlock_tortoise	tortoise
siege_item_enabled	rom_tech_engineering_siege_unlock_tortoise	tortoise
