bonus_value_id	effect	technology_category
#effect_bonus_value_technology_category_junctions_tables;0;db/effect_bonus_value_technology_category_junctions_tables/effect_bonus_value_technology_category_junctions		
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_civ_eco
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_civ_phi
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_civ_top
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_eng_con
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_eng_sie
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_mil_man
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_mil_tac
research_points	3c_faction_trait_palmyra_research_rate	rom_roman_mil_top
research_points_elected_monarchy	3c_tech_civil_governance_research_points_military_monarchy	rom_roman_eng_sie
research_points_elected_monarchy	3c_tech_civil_governance_research_points_military_monarchy	rom_roman_mil_man
research_points_elected_monarchy	3c_tech_civil_governance_research_points_military_monarchy	rom_roman_mil_tac
research_points_elected_monarchy	3c_tech_civil_governance_research_points_military_monarchy	rom_roman_mil_top
research_cost_mod	rom_building_research_cost_mod_civil	rom_roman_civ_eco
research_cost_mod	rom_building_research_cost_mod_civil	rom_roman_civ_phi
research_cost_mod	rom_building_research_cost_mod_civil	rom_roman_civ_top
research_cost_mod	rom_building_research_cost_mod_civil	rom_roman_eng_con
research_points	rom_building_research_points_mod_civil	rom_roman_civ_eco
research_points	rom_building_research_points_mod_civil	rom_roman_civ_phi
research_points	rom_building_research_points_mod_civil	rom_roman_civ_top
research_points	rom_building_research_points_mod_civil	rom_roman_eng_con
research_points	rom_building_research_points_mod_military	rom_roman_eng_sie
research_points	rom_building_research_points_mod_military	rom_roman_mil_man
research_points	rom_building_research_points_mod_military	rom_roman_mil_tac
research_points	rom_building_research_points_mod_military	rom_roman_mil_top
