effect	bonus_value_id	unit_category
#effect_bonus_value_unit_category_junction_tables;0;db/effect_bonus_value_unit_category_junction_tables/effect_bonus_value_unit_category_junction		
3c_building_unit_mod_melee_attack_ship	unit_stat_bonus_attack	heavy_ship
3c_building_unit_mod_melee_attack_ship	unit_stat_bonus_attack	light_ship
3c_building_unit_mod_melee_attack_ship	unit_stat_bonus_attack	medium_ship
3c_building_unit_mod_melee_defence_ship	unit_stat_bonus_defence	heavy_ship
3c_building_unit_mod_melee_defence_ship	unit_stat_bonus_defence	light_ship
3c_building_unit_mod_melee_defence_ship	unit_stat_bonus_defence	medium_ship
3c_building_unit_mod_morale_ship	unit_stat_bonus_morale	heavy_ship
3c_building_unit_mod_morale_ship	unit_stat_bonus_morale	light_ship
3c_building_unit_mod_morale_ship	unit_stat_bonus_morale	medium_ship
inv_agent_armour_new_recruit_local_province_deployed	unit_stat_bonus_armour	cavalry
inv_agent_armour_new_recruit_local_province_deployed	unit_stat_bonus_armour	elephants
inv_agent_armour_new_recruit_local_province_deployed	unit_stat_bonus_armour	inf_melee
inv_agent_armour_new_recruit_local_province_deployed	unit_stat_bonus_armour	inf_ranged
inv_agent_melee_damage_new_recruit_local_province_deployed	unit_stat_bonus_weapon	cavalry
inv_agent_melee_damage_new_recruit_local_province_deployed	unit_stat_bonus_weapon	elephants
inv_agent_melee_damage_new_recruit_local_province_deployed	unit_stat_bonus_weapon	inf_melee
inv_agent_melee_damage_new_recruit_local_province_deployed	unit_stat_bonus_weapon	inf_ranged
rom_building_recruitment_cost_mod_cavalry	cost_mod	cavalry
rom_building_recruitment_cost_mod_naval	cost_mod	heavy_ship
rom_building_recruitment_cost_mod_naval	cost_mod	light_ship
rom_building_recruitment_cost_mod_naval	cost_mod	medium_ship
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	cavalry
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	heavy_ship
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	inf_melee
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	inf_ranged
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	light_ship
rom_building_unit_equipment_armour_bronze	unit_stat_bonus_armour	medium_ship
