effect	bonus_value_id	unit_class
#effect_bonus_value_unit_class_junction_tables;0;db/effect_bonus_value_unit_class_junction_tables/effect_bonus_value_unit_class_junction		
3c_faction_trait_gothi_ancestral_blades	unit_stat_bonus_weapon	inf_mel
age_force_melee_attack_inf_spr	melee_attack_mod	inf_spr
age_force_melee_defence_inf_spr	melee_defence_mod	inf_spr
age_force_morale_inf_spr	morale	inf_spr
rom_building_unit_equipment_ammo_bronze	unit_stat_bonus_ammunition	cav_mis
rom_building_unit_equipment_ammo_bronze	unit_stat_bonus_ammunition	inf_mis
rom_building_unit_equipment_ammo_gold	unit_stat_bonus_ammunition	cav_mis
rom_building_unit_equipment_ammo_gold	unit_stat_bonus_ammunition	inf_mis
rom_building_unit_equipment_ammo_silver	unit_stat_bonus_ammunition	cav_mis
rom_building_unit_equipment_ammo_silver	unit_stat_bonus_ammunition	inf_mis
rom_building_unit_equipment_cavalry_horse_bonus_iii	unit_stat_bonus_horses	cav_mel
rom_building_unit_equipment_cavalry_horse_bonus_iii	unit_stat_bonus_horses	cav_mis
rom_building_unit_equipment_cavalry_horse_bonus_iii	unit_stat_bonus_horses	cav_shk
rom_building_unit_equipment_cavalry_horse_bonus_iii	unit_stat_bonus_horses	chariot
rom_building_unit_equipment_cavalry_horse_bonus_iii	unit_stat_bonus_horses	com
rom_building_unit_equipment_cavalry_horse_bonus_ii	unit_stat_bonus_horses	cav_mel
rom_building_unit_equipment_cavalry_horse_bonus_ii	unit_stat_bonus_horses	cav_mis
rom_building_unit_equipment_cavalry_horse_bonus_ii	unit_stat_bonus_horses	cav_shk
rom_building_unit_equipment_cavalry_horse_bonus_ii	unit_stat_bonus_horses	chariot
rom_building_unit_equipment_cavalry_horse_bonus_ii	unit_stat_bonus_horses	com
rom_building_unit_equipment_cavalry_horse_bonus_i	unit_stat_bonus_horses	cav_mel
rom_building_unit_equipment_cavalry_horse_bonus_i	unit_stat_bonus_horses	cav_mis
rom_building_unit_equipment_cavalry_horse_bonus_i	unit_stat_bonus_horses	cav_shk
rom_building_unit_equipment_cavalry_horse_bonus_i	unit_stat_bonus_horses	chariot
rom_building_unit_equipment_cavalry_horse_bonus_i	unit_stat_bonus_horses	com
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	cav_mel
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	com
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	inf_mel
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	inf_pik
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	inf_spr
rom_building_unit_equipment_shields_bronze	unit_stat_bonus_shield	shp_mel
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	cav_mel
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	com
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	inf_mel
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	inf_pik
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	inf_spr
rom_building_unit_equipment_shields_gold	unit_stat_bonus_shield	shp_mel
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	cav_mel
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	com
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	inf_mel
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	inf_pik
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	inf_spr
rom_building_unit_equipment_shields_silver	unit_stat_bonus_shield	shp_mel
rom_building_unit_training_accuracy_missile_cavalry	unit_stat_bonus_accuracy	cav_mis
rom_building_unit_training_accuracy_missile_cavalry	unit_stat_bonus_accuracy	com
rom_building_unit_training_attack_melee_cavalry	unit_stat_bonus_attack	cav_mel
rom_building_unit_training_attack_melee_cavalry	unit_stat_bonus_attack	cav_shk
rom_building_unit_training_attack_melee_cavalry	unit_stat_bonus_attack	com
rom_building_unit_training_defence_melee_cavalry	unit_stat_bonus_defence	cav_mel
rom_building_unit_training_defence_melee_cavalry	unit_stat_bonus_defence	cav_shk
rom_building_unit_training_defence_melee_cavalry	unit_stat_bonus_defence	com
rom_force_unit_mod_artillery_ship_melee_defence	melee_defence_mod	shp_art
rom_force_unit_mod_artillery_ship_melee_defence	shield_defence_mod	shp_art
rom_force_unit_mod_artillery_ship_missile_range	range_mod	shp_art
rom_force_unit_mod_artillery_ship_missile_rate	reload	shp_art
rom_force_unit_mod_assault_ship_melee_attack	melee_attack_mod	shp_mel
rom_force_unit_mod_assault_ship_melee_defence	melee_defence_mod	shp_mel
rom_force_unit_mod_assault_ship_melee_defence	shield_defence_mod	shp_mel
rom_force_unit_mod_chariot_melee_attack	melee_attack_mod	chariot
rom_force_unit_mod_chariot_missile_rate	reload	chariot
rom_force_unit_mod_support_ship_missile_range	range_mod	shp_mis
rom_force_unit_mod_support_ship_missile_rate	reload	shp_mis
