key	localised_description	localised_title	ui_icon	bundle_target
#effect_bundles_tables;1;db/effect_bundles_tables/effect_bundles				
3c_Faction_Leader_Aurelian_outro	Led by you, the soldiers of Rome stand ready to defend civilisation. 	Rome shall never die!	authority_positive.png	faction
3c_Faction_Leader_Authority	Authority	Authority	authority_positive.png	character
3c_Faction_Leader_Bonus	Bonus	Bonus	faction_leader_positive.png	character
3c_Faction_Leader_Cunning	Cunning	Cunning	subterfuge_positive.png	character
3c_Faction_Leader_Tetricus_outro	The Republic is not simply an ideal. 	True Republic	faction_leader_positive.png	faction
3c_Faction_Leader_Zeal	Zeal	Zeal	zeal_positive.png	character
3c_Faction_Leaders_Cannabaudes_Outro	The warriors of the Gothi will follow you to the end of the world.	Living Legend	barbarian_positive.png	faction
3c_Faction_Leaders_Hormizd_Outro	Your people prosper in the light of your rule.	Light of the Shah	agent_positive.png	faction
3c_Zenobia_outro_Vaballathus	Vaballathus is ready to be assigned a command!	Vaballathus	character_positive.png	character
3c_banditry_decrease_province_wealth	Bandits have overwhelmed this province. Industry and commerce have been halted.	Bandits!	public_order_negative.png	province
3c_banditry_reduced_public_order	Bandits have overwhelmed this province. The people have been robbed blind, which has caused extreme unhappiness.	Bandits!	public_order_negative.png	province
3c_banditry_stop_food_production	Bandits have overwhelmed this province; food produced here has been plundered.	Bandits!	public_order_negative.png	province
3c_betrayal_reduced_morale	Our goodwill has been betrayed! Our troops' confidence has diminished!	Betrayal!	diplomacy_negative.png	faction
3c_betrayal_reduced_research	Our goodwill has been betrayed! Our enemies have stolen our research!	Betrayal!	diplomacy_negative.png	faction
3c_betrayal_reduced_trade	Our goodwill has been betrayed! Our trade partners have increased their tariffs!	Betrayal!	diplomacy_negative.png	faction
3c_cult_christianity_christmas	Christian communities are celebrating Christ's birth.	Christmas	public_order_positive.png	province
3c_cult_christianity_easter	Christian communities are celebrating Christ's resurrection.	Easter	public_order_positive.png	province
3c_cult_manichaeism	Manichaean communities celebrate the sacrifice of Ohrmazd through fasting and study.	Ohrmazd-Yimki	technology_positive.png	faction
3c_cult_mithraism	A Mithraic community has secretly held feasts in this province.	Mithraic Feasts	wealth_positive.png	region
3c_cult_sol_invictus	The people have been celebrating the birth of Sol Invictus.	Dies Natalis Solis Invicti	public_order_positive.png	faction
3c_east_ardashir_testament_i_A	The people call you a tyrant.	Despotic Ruler	public_order_negative.png	faction
3c_east_ardashir_testament_i_B	Your nobles are impressed.	Eloquent Ruler	loyalty_positive.png	faction
3c_east_ardashir_testament_i_C	This elderly scholar provides insights on governance.	Judicious Ruler	public_order_positive.png	faction
3c_east_ardashir_testament_i_D	The nobles perceive inaction as weakness.	Feeble Ruler	loyalty_negative.png	faction
