effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/effect_bundles_to_effects_junctions				
3c_Faction_Leader_Aurelian_outro	rom_force_unit_mod_melee_defence	in_all_your_forces	5.0000	start_turn_completed
3c_Faction_Leader_Aurelian_outro	rom_force_unit_mod_morale_own_territory	in_all_your_forces	5.0000	start_turn_completed
3c_Faction_Leader_Authority	rom_general_attribute_mod_authority	3c_event_character	1.0000	start_turn_completed
3c_Faction_Leader_Bonus	rom_general_attribute_mod_subterfuge	this_general	1.0000	start_turn_completed
3c_Faction_Leader_Bonus	rom_general_attribute_mod_zeal	this_general	1.0000	start_turn_completed
3c_Faction_Leader_Cunning	rom_general_attribute_mod_zeal	this_general	1.0000	start_turn_completed
3c_Faction_Leader_Tetricus_outro	3c_tech_civil_governance_political_party_loyalty_republic	this_faction	15.0000	start_turn_completed
3c_Faction_Leader_Tetricus_outro	rom_building_research_points_mod_civil	this_faction	10.0000	start_turn_completed
3c_Faction_Leader_Tetricus_outro	subject_happiness	in_all_your_provinces	3.0000	start_turn_completed
3c_Faction_Leaders_Cannabaudes_Outro	rom_force_campaign_mod_movement_range	in_all_your_forces	8.0000	start_turn_completed
3c_Faction_Leaders_Cannabaudes_Outro	rom_force_unit_mod_morale	in_all_your_forces	8.0000	start_turn_completed
3c_Faction_Leaders_Hormizd_Outro	rom_faction_public_order_events	in_all_your_provinces	3.0000	start_turn_completed
3c_banditry_decrease_province_wealth	rom_building_gdp_mod_all_stop_production	regions_in_this_province	-1000.0000	start_turn_completed
3c_banditry_reduced_public_order	rom_faction_public_order_events	this_province	-10.0000	start_turn_completed
3c_banditry_stop_food_production	3c_banditry_stop_food_production	this_province	50.0000	start_turn_completed
3c_betrayal_reduced_morale	rom_force_unit_mod_morale	in_all_your_forces	-10.0000	start_turn_completed
3c_betrayal_reduced_research	rom_building_research_points	this_faction	-20.0000	start_turn_completed
3c_betrayal_reduced_trade	rom_building_gdp_mod_trade_all	in_all_your_regions	-20.0000	start_turn_completed
3c_cult_christianity_christmas	rom_building_gdp_mod_trade_all	this_region_regions_in_this_province	55.0000	start_turn_completed
3c_cult_christianity_christmas	rom_faction_public_order_events	this_region_province	5.0000	start_turn_completed
3c_cult_christianity_easter	rom_faction_public_order_events	this_region_province	5.0000	start_turn_completed
3c_cult_christianity_easter	rom_province_growth_province_effects	this_region_province	6.0000	start_turn_completed
3c_cult_manichaeism	rom_building_research_points	this_faction	50.0000	start_turn_completed
3c_cult_mithraism	rom_building_gdp_mod_subsistence	regions_in_this_province	15.0000	start_turn_completed
3c_cult_mithraism	rom_province_initiative_festival_base_gdp_entertainment_mod	regions_in_this_province	15.0000	start_turn_completed
3c_cult_sol_invictus	rom_faction_public_order_events	in_all_your_provinces	4.0000	start_turn_completed
3c_cult_sol_invictus	rom_force_unit_mod_morale	in_all_your_forces	10.0000	start_turn_completed
3c_east_ardashir_testament_i_A	rom_faction_public_order_events	in_all_your_provinces	-2.0000	start_turn_completed
3c_east_ardashir_testament_i_B	rom_event_political_party_loyalty	this_faction	8.0000	start_turn_completed
3c_east_ardashir_testament_i_C	rom_faction_public_order_events	in_all_your_provinces	2.0000	start_turn_completed
3c_east_ardashir_testament_i_D	rom_event_political_party_loyalty	this_faction	-5.0000	start_turn_completed
3c_east_magi_council_i_A	rom_event_political_party_loyalty	this_faction	12.0000	start_turn_completed
3c_east_magi_council_i_A	subject_diplomacy	this_faction	10.0000	start_turn_completed
3c_east_magi_council_i_B	rom_faction_public_order_events	in_all_your_provinces	5.0000	start_turn_completed
3c_east_magi_council_i_B	rom_payload_food	in_all_your_provinces	3.0000	start_turn_completed
3c_east_magi_council_i_C	rom_building_gdp_mod_trade_all	in_all_your_regions	7.0000	start_turn_completed
3c_east_magi_council_i_C	subject_gdp	in_all_your_regions	7.0000	start_turn_completed
3c_east_magi_council_i_D	3c_event_faction_replenishment	in_all_your_forces	12.0000	start_turn_completed
3c_east_magi_council_i_D	rom_force_campaign_mod_movement_range	in_all_your_forces	10.0000	start_turn_completed
3c_east_sassanian_sculptor_i_A	rom_building_gdp_mod_culture_all	regions_in_this_province	-30.0000	start_turn_completed
3c_east_sassanian_sculptor_i_A	rom_faction_public_order_events	this_province	-2.0000	start_turn_completed
3c_east_sassanian_sculptor_i_B	rom_faction_public_order_events	this_region_province	3.0000	start_turn_completed
3c_east_sassanian_sculptor_i_D	rom_event_political_party_loyalty	this_faction	-5.0000	start_turn_completed
3c_faction_group_celtic	3c_faction_trait_british_heroic_culture	in_all_your_forces	20.0000	start_turn_completed
3c_faction_group_celtic	3c_faction_trait_british_sanitation	in_all_your_regions_unseen	6.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_battering_ram	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_boiling_oil	in_all_your_regions	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_champion_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_dignitary_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_siege_tower	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_spy_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_celtic	3c_hidden_enable_tortoise	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_celtic	rom_faction_province_attribute_authority_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_celtic	rom_faction_province_attribute_subterfuge_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_celtic	rom_faction_province_attribute_zeal_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_eastern	3c_faction_trait_eastern_banditry_reduce_all	this_faction	-5.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_battering_ram	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_boiling_oil	in_all_your_regions	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_champion_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_dignitary_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_siege_tower	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_spy_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_eastern	3c_hidden_enable_tortoise	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_eastern	rom_faction_province_attribute_authority_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_eastern	rom_faction_province_attribute_subterfuge_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_eastern	rom_faction_province_attribute_zeal_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_eastern	rom_faction_trait_successor_baktria_silk_road	in_all_your_regions	20.0000	start_turn_completed
3c_faction_group_germanic	3c_faction_trait_germanic_looters_raiders	in_all_your_forces	150.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_battering_ram	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_boiling_oil	in_all_your_regions	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_champion_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_dignitary_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_siege_tower	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_spy_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_germanic	3c_hidden_enable_tortoise	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_germanic	rom_faction_province_attribute_authority_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_germanic	rom_faction_province_attribute_subterfuge_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_germanic	rom_faction_province_attribute_zeal_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_germanic	rom_faction_trait_germanic_core_terrors_night	all_your_generals	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_faction_trait_nomadic_warlike_people	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_battering_ram	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_boiling_oil	in_all_your_regions	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_champion_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_dignitary_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_siege_tower	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_spy_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_nomadic	3c_hidden_enable_tortoise	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_nomadic	rom_faction_province_attribute_authority_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_nomadic	rom_faction_province_attribute_subterfuge_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_nomadic	rom_faction_province_attribute_zeal_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_nomadic	rom_faction_trait_black_sea_cimmeria_nomadic_archers	in_all_your_forces	25.0000	start_turn_completed
3c_faction_group_roman	3c_faction_trait_roman_diplomatic_penalty	this_faction	-60.0000	start_turn_completed
3c_faction_group_roman	3c_faction_trait_roman_morale_own_or_allied	in_all_your_forces	15.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_battering_ram	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_boiling_oil	in_all_your_regions	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_champion_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_dignitary_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_siege_tower	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_spy_recruitment	in_all_your_provinces	1.0000	start_turn_completed
3c_faction_group_roman	3c_hidden_enable_tortoise	in_all_your_forces	1.0000	start_turn_completed
3c_faction_group_roman	rom_faction_province_attribute_authority_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_roman	rom_faction_province_attribute_subterfuge_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_group_roman	rom_faction_province_attribute_zeal_unseen	in_all_your_provinces_unseen	3.0000	start_turn_completed
3c_faction_leader_aurelian_generic	rom_force_unit_mod_morale	this_general_force	5.0000	start_turn_completed
3c_faction_trait_alani	3c_faction_trait_nomadic_steppe_dominance	this_faction	40.0000	start_turn_completed
3c_faction_trait_alani	rom_building_gdp_subsistence_faction_capital_hidden	this_faction	500.0000	start_turn_completed
3c_faction_trait_alani	rom_faction_trait_nomadic_core_horsemanship	in_all_your_provinces	2.0000	start_turn_completed
3c_faction_trait_armenia	3c_faction_trait_armenia_diplomacy_westward	this_faction	25.0000	start_turn_completed
3c_faction_trait_armenia	3c_faction_trait_armenia_general_experience_base	in_all_your_forces	3.0000	start_turn_completed
3c_faction_trait_caledoni	rom_building_gdp_subsistence_faction_capital_hidden	this_faction	500.0000	start_turn_completed
3c_faction_trait_caledoni	rom_faction_trait_britannic_iceni_cultured_aspirations	this_faction	20.0000	start_turn_completed
3c_faction_trait_caledoni	rom_faction_trait_getae_fierce_independence_new	in_all_your_forces	20.0000	start_turn_completed
