effect	icon	priority	icon_negative
#effects_tables;1;db/effects_tables/effects			
3c_banditry_building	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_banditry_building_adjacent_provinces	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_banditry_character	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_banditry_events_all_your_provinces	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_banditry_events_province	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_banditry_stop_food_production	data/ui/campaign ui/effect_bundles/food_negative.png	100	data/ui/campaign ui/effect_bundles/food_positive.png
3c_banditry_tech	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_building_cult_public_order_per_different_province_temple	data/ui/campaign ui/effect_bundles/public_order_negative.png	1	data/ui/campaign ui/effect_bundles/public_order_positive.png
3c_building_culture_conversion_christ	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
3c_building_culture_conversion_manich	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
3c_building_culture_conversion_mithra	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
3c_building_province_attribute_all_empire	data/ui/campaign ui/effect_bundles/authority_positive.png	101	data/ui/campaign ui/effect_bundles/authority_negative.png
3c_building_unit_mod_melee_attack_ship	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_building_unit_mod_melee_defence_ship	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_building_unit_mod_morale_ship	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_cult_dismantle_cost	data/ui/campaign ui/effect_bundles/wealth_negative.png	100	data/ui/campaign ui/effect_bundles/wealth_positive.png
3c_event_faction_replenishment	data/ui/campaign ui/effect_bundles/replenishment_positive.png	101	data/ui/campaign ui/effect_bundles/replenishment_negative.png
3c_event_food_consumption	data/ui/campaign ui/effect_bundles/food_negative.png	100	data/ui/campaign ui/effect_bundles/food_positive.png
3c_event_sanitation	data/ui/campaign ui/effect_bundles/3c_squalor_green.png	10	data/ui/campaign ui/effect_bundles/3c_squalor_red.png
3c_event_squalor	data/ui/campaign ui/effect_bundles/3c_squalor_red.png	10	data/ui/campaign ui/effect_bundles/3c_squalor_green.png
3c_event_tax_rate	data/ui/campaign ui/effect_bundles/tax_growth_1.png	100	data/ui/campaign ui/effect_bundles/tax_growth_negative.png
