block_key	class	image	image_class	order	page_key
#encyclopedia_blocks_tables;1;db/encyclopedia_blocks_tables/encyclopedia_blocks					
enc_text_advisor_help_advisor	textblock		left	1	0002_enc_page_help_advisor
enc_text_advisor_help_advisor_back	textblock		left	2	0002_enc_page_help_advisor
enc_text_characters_agents_champions	textblock		left	1	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_adventure	textblock		left	2	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_assassination	textblock		left	8	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_guerrilla	textblock		left	7	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_manipulation	textblock		left	9	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_military_fervour	textblock		left	4	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_military_subversion	textblock		left	5	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_military_training	textblock		left	3	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_champions_subversion	textblock		left	6	0050_enc_page_campaign_play_characters_agents_champions
enc_text_characters_agents_dignitaries	textblock		left	1	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_admin	textblock		left	3	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_assassination	textblock		left	7	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_corruption	textblock		left	6	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_cultural_conversion	textblock		left	9	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_disruption	textblock		left	5	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_manipulation	textblock		left	8	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_military_admin	textblock		left	2	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_dignitaries_military_disruption	textblock		left	4	0049_enc_page_campaign_play_characters_agents_dignitaries
enc_text_characters_agents_spies	textblock		left	1	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_assassination	textblock		left	8	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_counter_intel	textblock		left	4	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_infiltration	textblock		left	2	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_intel	textblock		left	7	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_manipulation	textblock		left	9	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_military_intel	textblock		left	3	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_military_sabotage	textblock		left	5	0048_enc_page_campaign_play_characters_agents_spies
enc_text_characters_agents_spies_sabotage	textblock		left	6	0048_enc_page_campaign_play_characters_agents_spies
enc_text_enc_help_hyperlinks	textblock		left	3	0002_enc_page_help_advisor
enc_text_enc_help_navigate	textblock		left	2	0001_enc_page_help_intro
enc_text_enc_help_open	textblock		left	1	0001_enc_page_help_intro
enc_text_hist_battles_cannae	textblock		left	1	enc_page_historical_battles
enc_text_hist_battles_carthage	textblock		left	2	enc_page_historical_battles
enc_text_hist_battles_intro	textblock		left	1	enc_page_historical_battles
enc_text_hist_battles_teutobergerwald	textblock		left	3	enc_page_historical_battles
enc_text_manual_actions_campaign	textblock		left	1	0012_enc_page_campaign_play
enc_text_manual_actions_campaign_construction	textblock		left	1	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_boshin_towers	textblock		left	11	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_castle	textblock		left	2	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_culture	textblock		left	12	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_demolish	textblock		left	4	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_infrastructure	textblock		left	5	0044_enc_page_campaign_play_province_construction
