building	redirect_building
#encyclopedia_building_redirects_tables;0;db/encyclopedia_building_redirects_tables/encyclopedia_building_redirects	
pro_ROMAN_city_major_1	rom_ROMAN_city_major_1
pro_ROMAN_city_major_2	rom_ROMAN_city_major_2
pro_ROMAN_city_major_3	rom_ROMAN_city_major_3
pro_ROMAN_city_major_4	rom_ROMAN_city_major_4
pro_ROMAN_military_equipment_1	rom_ROMAN_military_equipment_1
pro_ROMAN_military_equipment_armour_2	rom_ROMAN_military_equipment_armour_2
pro_ROMAN_military_equipment_armour_3	rom_ROMAN_military_equipment_armour_3
pro_ROMAN_military_equipment_siege_2	rom_ROMAN_military_equipment_siege_2
pro_ROMAN_military_equipment_siege_3	rom_ROMAN_military_equipment_siege_3
pro_ROMAN_military_equipment_weapon_2	rom_ROMAN_military_equipment_weapon_2
pro_ROMAN_military_equipment_weapon_3	rom_ROMAN_military_equipment_weapon_3
