trigger_key	experience_points
#experience_triggers_tables;0;db/experience_triggers_tables/experience_triggers	
Trigger_Agent_Anti_Character_Fail	4
Trigger_Agent_Anti_Character_Fail_Critical	2
Trigger_Agent_Anti_Character_Fail_Opportune	6
Trigger_Agent_Anti_Character_Success	10
Trigger_Agent_Anti_Character_Success_Critical	16
Trigger_Agent_Anti_Force_Fail	4
Trigger_Agent_Anti_Force_Fail_Critical	2
Trigger_Agent_Anti_Force_Fail_Opportune	6
Trigger_Agent_Anti_Force_Success	10
Trigger_Agent_Anti_Force_Success_Critical	16
Trigger_Agent_Anti_Settlement_Fail	4
Trigger_Agent_Anti_Settlement_Fail_Critical	2
Trigger_Agent_Anti_Settlement_Fail_Opportune	6
Trigger_Agent_Anti_Settlement_Success	10
Trigger_Agent_Anti_Settlement_Success_Critical	16
Trigger_Agent_Deployed_Action	4
Trigger_Agent_Friendly_Target_Action	6
Trigger_Force_Attacking_Defeat	4
Trigger_Force_Attacking_Defeat_Crushing	2
Trigger_Force_Attacking_Defeat_Valiant	6
Trigger_Force_Attacking_Victory	10
Trigger_Force_Attacking_Victory_Heroic	14
Trigger_Force_Attacking_Victory_Pyrrhic	6
Trigger_Force_Defending_Defeat	4
Trigger_Force_Defending_Defeat_Crushing	2
Trigger_Force_Defending_Defeat_Valiant	6
Trigger_Force_Defending_Victory	10
Trigger_Force_Defending_Victory_Heroic	14
Trigger_Force_Defending_Victory_Pyrrhic	6
Trigger_Force_Settlement_Captured	2
Trigger_General_Attacking_Defeat	4
Trigger_General_Attacking_Defeat_Crushing	2
Trigger_General_Attacking_Defeat_Valiant	6
Trigger_General_Attacking_Victory	10
Trigger_General_Attacking_Victory_Heroic	14
Trigger_General_Attacking_Victory_Pyrrhic	6
Trigger_General_Defending_Defeat	4
Trigger_General_Defending_Defeat_Crushing	2
Trigger_General_Defending_Defeat_Valiant	6
Trigger_General_Defending_Victory	10
Trigger_General_Defending_Victory_Heroic	14
Trigger_General_Defending_Victory_Pyrrhic	6
Trigger_General_Settlement_Captured	2
Trigger_Secondary_Force_Attacking_Defeat	2
Trigger_Secondary_Force_Attacking_Defeat_Crushing	1
Trigger_Secondary_Force_Attacking_Defeat_Valiant	3
Trigger_Secondary_Force_Attacking_Victory	5
Trigger_Secondary_Force_Attacking_Victory_Heroic	7
Trigger_Secondary_Force_Attacking_Victory_Pyrrhic	3
Trigger_Secondary_Force_Defending_Defeat	2
Trigger_Secondary_Force_Defending_Defeat_Crushing	1
Trigger_Secondary_Force_Defending_Defeat_Valiant	3
Trigger_Secondary_Force_Defending_Victory	5
Trigger_Secondary_Force_Defending_Victory_Heroic	7
Trigger_Secondary_Force_Defending_Victory_Pyrrhic	3
Trigger_Secondary_General_Attacking_Defeat	2
Trigger_Secondary_General_Attacking_Defeat_Crushing	1
Trigger_Secondary_General_Attacking_Defeat_Valiant	3
Trigger_Secondary_General_Attacking_Victory	5
Trigger_Secondary_General_Attacking_Victory_Heroic	7
Trigger_Secondary_General_Attacking_Victory_Pyrrhic	3
Trigger_Secondary_General_Defending_Defeat	2
Trigger_Secondary_General_Defending_Defeat_Crushing	1
Trigger_Secondary_General_Defending_Defeat_Valiant	3
Trigger_Secondary_General_Defending_Victory	5
Trigger_Secondary_General_Defending_Victory_Heroic	7
Trigger_Secondary_General_Defending_Victory_Pyrrhic	3
