primary_faction	secondary_faction	secessionist_faction
#faction_civil_war_setups_tables;1;db/faction_civil_war_setups_tables/faction_civil_war_setups		
3c_alani	3c_alani_civil_war	3c_alani_secession
3c_armenia	3c_armenia_civil_war	3c_armenia_secession
3c_caledoni	3c_caledoni_civil_war	3c_caledoni_secession
3c_gallicemp	3c_gallicemp_civil_war	3c_gallicemp_secession
3c_gothi	3c_gothi_civil_war	3c_gothi_secession
3c_marcomanni	3c_marcomanni_civil_war	3c_marcomanni_secession
3c_palmyra	3c_palmyra_civil_war	3c_palmyra_secession
3c_rome	3c_roman_pretender	3c_roman_secession
3c_sassanid	3c_sassanid_civil_war	3c_sassanid_secession
3c_saxoni	3c_saxoni_civil_war	3c_saxoni_secession
emp_antony	emp_antony_civil_war	emp_antony_secession
emp_armenia	emp_armenia_civil_war	emp_armenia_secession
emp_dacia	emp_dacia_civil_war	emp_dacia_secession
emp_egypt	emp_egypt_civil_war	emp_egypt_secession
emp_iceni	emp_iceni_civil_war	emp_iceni_secession
emp_lepidus	emp_lepidus_civil_war	emp_lepidus_secession
emp_marcomanni	emp_marcomanni_civil_war	emp_marcomanni_secession
emp_octavian	emp_octavian_civil_war	emp_octavian_secession
emp_parthia	emp_parthia_civil_war	emp_parthia_secession
emp_pompey	emp_pompey_civil_war	emp_pompey_secession
gaul_arverni	gaul_arverni_civil_war	gaul_arverni_secession
gaul_nervii	gaul_nervii_civil_war	gaul_nervii_secession
gaul_rome	gaul_rome_civil_war	gaul_rome_secession
gaul_suebi	gaul_rome_civil_war	gaul_suebi_secession
inv_insubres	inv_insubres_civil_war	inv_insubres_secession
inv_iolei	inv_iolei_civil_war	inv_iolei_secession
inv_rome	inv_rome_civil_war	inv_rome_secession
inv_samnites	inv_samnites_civil_war	inv_samnites_secession
inv_senones	inv_senones_civil_war	inv_senones_secession
inv_syracuse	inv_syracuse_civil_war	inv_syracuse_secession
inv_taranto	inv_taranto_civil_war	inv_taranto_secession
inv_tarchuna	inv_tarchuna_civil_war	inv_tarchuna_secession
inv_veneti	inv_veneti_civil_war	inv_veneti_secession
pel_athenai	pel_athenai_civil_war	pel_athenai_secession
pel_boiotia	pel_boiotia_civil_war	pel_boiotia_secession
pel_korinthos	pel_korinthos_civil_war	pel_korinthos_secession
pel_sparta	pel_sparta_civil_war	pel_sparta_secession
pun_arevaci	pun_arevaci_civil_war	pun_arevaci_secession
pun_carthage	pun_carthage_civil_war	pun_carthage_secession
pun_lusitani	pun_lusitani_civil_war	pun_lusitani_secession
pun_rome	pun_rome_civil_war	pun_rome_secession
pun_syracuse	pun_syracuse_civil_war	pun_syracuse_secession
rom_ardiaei	rom_ardiaei_civil_war	rom_ardiaei_secession
rom_arevaci	rom_arevaci_civil_war	rom_arevaci_secession
rom_armenia	rom_armenia_civil_war	rom_armenia_secession
rom_arverni	rom_arverni_civil_war	rom_arverni_secession
rom_athens	rom_athens_civil_war	rom_athens_secession
rom_baktria	rom_baktria_civil_war	rom_baktria_secession
rom_boii	rom_boii_civil_war	rom_boii_secession
rom_carthage	rom_carthage_civil_war	rom_carthage_secession
rom_cimmeria	rom_cimmeria_civil_war	rom_cimmeria_secession
rom_colchis	rom_colchis_civil_war	rom_colchis_secession
rom_epirus	rom_epirus_civil_war	rom_epirus_secession
rom_galatia	rom_galatia_civil_war	rom_galatia_secession
rom_getae	rom_getae_civil_war	rom_getae_secession
rom_iceni	rom_iceni_civil_war	rom_iceni_secession
rom_kush	rom_kush_civil_war	rom_kush_secession
rom_lusitani	rom_lusitani_civil_war	rom_lusitani_secession
rom_macedon	rom_macedon_civil_war	rom_macedon_secession
rom_masaesyli	rom_masaesyli_civil_war	rom_masaesyli_secession
rom_massagetae	rom_massagetae_civil_war	rom_massagetae_secession
rom_massilia	rom_massilia_civil_war	rom_massilia_secession
rom_nabatea	rom_nabatea_civil_war	rom_nabatea_secession
rom_nervii	rom_nervii_civil_war	rom_nervii_secession
rom_odryssia	rom_odryssia_civil_war	rom_odryssia_secession
rom_parthia	rom_parthia_civil_war	rom_parthia_secession
rom_pergamon	rom_pergamon_civil_war	rom_pergamon_secession
rom_pontus	rom_pontus_civil_war	rom_pontus_secession
rom_ptolemaics	rom_ptolemaics_civil_war	rom_ptolemaics_secession
rom_rome	rom_rome_civil_war	rom_rome_secession
rom_roxolani	rom_roxolani_civil_war	rom_roxolani_secession
rom_saba	rom_saba_civil_war	rom_saba_secession
rom_scythia	rom_scythia_civil_war	rom_scythia_secession
rom_seleucid	rom_seleucid_civil_war	rom_seleucid_secession
rom_sparta	rom_sparta_civil_war	rom_sparta_secession
rom_suebi	rom_suebi_civil_war	rom_suebi_secession
rom_syracuse	rom_syracuse_civil_war	rom_syracuse_secession
rom_tylis	rom_tylis_civil_war	rom_tylis_secession
