political_party_key	faction_key
#faction_political_parties_junctions_tables;0;db/faction_political_parties_junctions_tables/faction_political_parties_junctions	
3c_politics_alani_party2	3c_alani
3c_politics_alani_party3	3c_alani
3c_politics_alani_party4	3c_alani
3c_politics_alani_party5	3c_alani
3c_politics_alani_party6	3c_alani
3c_politics_alani_party7	3c_alani
3c_politics_alani_ruler	3c_alani
3c_politics_armenia_party2	3c_armenia
3c_politics_armenia_party3	3c_armenia
3c_politics_armenia_party4	3c_armenia
3c_politics_armenia_party5	3c_armenia
3c_politics_armenia_party6	3c_armenia
3c_politics_armenia_party7	3c_armenia
3c_politics_armenia_ruler	3c_armenia
3c_politics_caledones_party2	3c_caledoni
3c_politics_caledones_party3	3c_caledoni
3c_politics_caledones_party4	3c_caledoni
3c_politics_caledones_party5	3c_caledoni
3c_politics_caledones_party6	3c_caledoni
3c_politics_caledones_party7	3c_caledoni
3c_politics_caledones_ruler	3c_caledoni
3c_politics_gallicemp_party2	3c_gallicemp
3c_politics_gallicemp_party3	3c_gallicemp
3c_politics_gallicemp_party4	3c_gallicemp
3c_politics_gallicemp_party5	3c_gallicemp
3c_politics_gallicemp_party6	3c_gallicemp
3c_politics_gallicemp_party7	3c_gallicemp
3c_politics_gallicemp_ruler	3c_gallicemp
3c_politics_gothi_party2	3c_gothi
3c_politics_gothi_party3	3c_gothi
3c_politics_gothi_party4	3c_gothi
3c_politics_gothi_party5	3c_gothi
3c_politics_gothi_party6	3c_gothi
3c_politics_gothi_party7	3c_gothi
3c_politics_gothi_ruler	3c_gothi
3c_politics_marcomanni_party2	3c_marcomanni
3c_politics_marcomanni_party3	3c_marcomanni
3c_politics_marcomanni_party4	3c_marcomanni
3c_politics_marcomanni_party5	3c_marcomanni
3c_politics_marcomanni_party6	3c_marcomanni
3c_politics_marcomanni_party7	3c_marcomanni
3c_politics_marcomanni_ruler	3c_marcomanni
3c_politics_palmyra_party2	3c_palmyra
3c_politics_palmyra_party3	3c_palmyra
3c_politics_palmyra_party4	3c_palmyra
3c_politics_palmyra_party5	3c_palmyra
3c_politics_palmyra_party6	3c_palmyra
3c_politics_palmyra_party7	3c_palmyra
