faction	campaign
#faction_to_campaign_junctions_tables;0;db/faction_to_campaign_junctions_tables/faction_to_campaign_junctions	
3c_alani	main_3c
3c_armenia	main_3c
3c_caledoni	main_3c
3c_gallicemp	main_3c
3c_gothi	main_3c
3c_marcomanni	main_3c
3c_palmyra	main_3c
3c_rome	main_3c
3c_sassanid	main_3c
3c_saxoni	main_3c
emp_antony	main_emperor
emp_armenia	main_emperor
emp_dacia	main_emperor
emp_egypt	main_emperor
emp_iceni	main_emperor
emp_lepidus	main_emperor
emp_marcomanni	main_emperor
emp_octavian	main_emperor
emp_parthia	main_emperor
emp_pompey	main_emperor
gaul_arverni	main_gaul
gaul_nervii	main_gaul
gaul_rome	main_gaul
gaul_suebi	main_gaul
inv_insubres	main_invasion
inv_iolei	main_invasion
inv_rome	main_invasion
inv_samnites	main_invasion
inv_senones	main_invasion
inv_syracuse	main_invasion
inv_taranto	main_invasion
inv_tarchuna	main_invasion
inv_veneti	main_invasion
pel_athenai	main_greek
pel_boiotia	main_greek
pel_korinthos	main_greek
pel_sparta	main_greek
pun_arevaci	main_punic
pun_carthage	main_punic
pun_lusitani	main_punic
pun_rome	main_punic
pun_syracuse	main_punic
rom_ardiaei	main_rome
rom_arevaci	main_rome
rom_armenia	main_rome
rom_arverni	main_rome
rom_athens	main_rome
rom_baktria	main_rome
rom_boii	main_rome
rom_carthage	main_rome
rom_cimmeria	main_rome
rom_colchis	main_rome
rom_epirus	main_rome
rom_galatia	main_rome
rom_getae	main_rome
rom_iceni	main_rome
rom_kush	main_rome
rom_lusitani	main_rome
rom_macedon	main_rome
rom_masaesyli	main_rome
rom_massagetae	main_rome
rom_massilia	main_rome
rom_nabatea	main_rome
rom_nervii	main_rome
rom_odryssia	main_rome
rom_parthia	main_rome
rom_pergamon	main_rome
rom_pontus	main_rome
rom_ptolemaics	main_rome
rom_rome	main_rome
rom_roxolani	main_rome
rom_saba	main_rome
rom_scythia	main_rome
rom_seleucid	main_rome
rom_sparta	main_rome
rom_suebi	main_rome
rom_syracuse	main_rome
rom_tylis	main_rome
