faction_key	faction_group_key
#faction_to_faction_groups_junctions_tables;0;db/faction_to_faction_groups_junctions_tables/faction_to_faction_groups_junctions	
3c_alani	3c_faction_group_nomadic
3c_alani_civil_war	3c_faction_group_nomadic
3c_alani_secession	3c_faction_group_nomadic
3c_alemanni	3c_faction_group_germanic
3c_ardhan	3c_faction_group_eastern
3c_armenia	3c_faction_group_eastern
3c_armenia_civil_war	3c_faction_group_eastern
3c_armenia_secession	3c_faction_group_eastern
3c_axum	3c_faction_group_african
3c_baktria	3c_faction_group_eastern
3c_blemmyes	3c_faction_group_african
3c_bosporou	3c_faction_group_nomadic
3c_britannia	3c_faction_group_rome
3c_burgundii	3c_faction_group_germanic
3c_buri	3c_faction_group_germanic
3c_caledoni	3c_faction_group_britannic
3c_caledoni_civil_war	3c_faction_group_britannic
3c_caledoni_secession	3c_faction_group_britannic
3c_colchis	3c_faction_group_eastern
3c_dahae	3c_faction_group_nomadic
3c_ebdani	3c_faction_group_britannic
3c_egypt	3c_faction_group_rome
3c_franci	3c_faction_group_germanic
3c_galatia	3c_faction_group_rome
3c_gallicemp	3c_faction_group_rome
3c_gallicemp_civil_war	3c_faction_group_rome
3c_gallicemp_secession	3c_faction_group_rome
3c_garamantia	3c_faction_group_african
3c_gerrhea	3c_faction_group_arabian
3c_gothi	3c_faction_group_germanic
3c_gothi_civil_war	3c_faction_group_germanic
3c_gothi_secession	3c_faction_group_germanic
3c_heruli	3c_faction_group_nomadic
3c_himyar	3c_faction_group_arabian
3c_hispania	3c_faction_group_rome
3c_iastae	3c_faction_group_nomadic
3c_kartli	3c_faction_group_eastern
3c_kwarezm	3c_faction_group_nomadic
3c_lakhmids	3c_faction_group_arabian
3c_langobardi	3c_faction_group_germanic
3c_lusitania	3c_faction_group_rome
3c_lydia	3c_faction_group_rome
3c_ma_in	3c_faction_group_arabian
3c_marcomanni	3c_faction_group_germanic
3c_marcomanni_civil_war	3c_faction_group_germanic
3c_marcomanni_secession	3c_faction_group_germanic
3c_margiana	3c_faction_group_eastern
3c_mascat	3c_faction_group_arabian
3c_mauretania	3c_faction_group_rome
3c_mauri	3c_faction_group_african
3c_media	3c_faction_group_eastern
3c_meroe	3c_faction_group_african
3c_nabatea	3c_faction_group_arabian
3c_nahanarvali	3c_faction_group_germanic
3c_nasamones	3c_faction_group_african
