faction	mercenary_set
#faction_to_mercenary_set_junctions_tables;0;db/faction_to_mercenary_set_junctions_tables/faction_to_mercenary_set_junctions	
emp_alani	rom_faction_pool_naval_sarmatian
emp_alani	rom_faction_pool_sarmatian
emp_aorsoi	rom_faction_pool_naval_sarmatian
emp_aorsoi	rom_province_pool_sarmatia
emp_ardhan	rom_faction_pool_assyrian
emp_ardhan	rom_faction_pool_naval_caucasian
emp_arii	rom_faction_pool_germanic
emp_arii	rom_faction_pool_naval_germanics
emp_armenia_civil_war	rom_faction_pool_assyrian
emp_armenia_civil_war	rom_faction_pool_naval_armenian
emp_armenia	rom_faction_pool_assyrian
emp_armenia	rom_faction_pool_naval_armenian
emp_axum	rom_faction_pool_naval_aethiopian
emp_axum	rom_faction_pool_sabaean
emp_bastarnae	rom_faction_pool_celtic
emp_bastarnae	rom_faction_pool_naval_celtogermanic
emp_blemmyes	rom_faction_pool_naval_aethiopian
emp_blemmyes	rom_faction_pool_sabaean
emp_boii	rom_faction_pool_celtic
emp_boii	rom_faction_pool_naval_boii
emp_breuci	rom_faction_pool_celtic
emp_breuci	rom_faction_pool_naval_balkan_celts
emp_brigantes	rom_faction_pool_briton
emp_brigantes	rom_faction_pool_naval_britons
emp_buri	rom_faction_pool_naval_scythian
emp_buri	rom_faction_pool_scythian_saka
emp_caledones	rom_faction_pool_briton
emp_caledones	rom_faction_pool_naval_britons
emp_cantabri	rom_faction_pool_iberian
emp_cantabri	rom_faction_pool_naval_celtiberian
emp_cappadocia	rom_faction_pool_assyrian
emp_cappadocia	rom_faction_pool_naval_persian
emp_characene	rom_faction_pool_naval_median
emp_characene	rom_faction_pool_persian
emp_cherusci	rom_faction_pool_germanic
emp_cherusci	rom_faction_pool_naval_germanics
emp_cimbri	rom_faction_pool_germanic
emp_cimbri	rom_faction_pool_naval_germanics
emp_corieltauvi	rom_faction_pool_briton
emp_corieltauvi	rom_faction_pool_naval_britons
emp_dacia_civil_war	rom_faction_pool_naval_dacians
emp_dacia_civil_war	rom_faction_pool_thracian_dacian
emp_dacia	rom_faction_pool_naval_dacians
emp_dacia	rom_faction_pool_thracian_dacian
emp_dahae	rom_faction_pool_naval_saka
emp_dahae	rom_faction_pool_scythian_saka
emp_demetae	rom_faction_pool_briton
emp_demetae	rom_faction_pool_naval_britons
emp_dumonii	rom_faction_pool_briton
emp_dumonii	rom_faction_pool_naval_britons
emp_ebdani	rom_faction_pool_briton
emp_ebdani	rom_faction_pool_naval_britons
emp_egypt_civil_war	rom_faction_pool_egyptian
emp_egypt_civil_war	rom_faction_pool_naval_egyptian
emp_egypt	rom_faction_pool_egyptian
emp_egypt	rom_faction_pool_naval_egyptian
emp_frisii	rom_faction_pool_germanic
emp_frisii	rom_faction_pool_naval_germanics
emp_gaetuli	rom_faction_pool_naval_numidian
emp_gaetuli	rom_faction_pool_north_african
emp_galatia	rom_faction_pool_gallic
emp_galatia	rom_faction_pool_naval_galatians
emp_garamantia	rom_faction_pool_naval_african
emp_garamantia	rom_faction_pool_north_african
emp_gerrhea	rom_faction_pool_arabian
emp_gerrhea	rom_faction_pool_naval_arabians
emp_gutones	rom_faction_pool_germanic
emp_gutones	rom_faction_pool_naval_germanics
emp_helisii	rom_faction_pool_germanic
emp_helisii	rom_faction_pool_naval_germanics
emp_helveconae	rom_faction_pool_germanic
emp_helveconae	rom_faction_pool_naval_germanics
emp_helvetii	rom_faction_pool_celtic
emp_helvetii	rom_faction_pool_naval_cisalpine_celts
emp_himyar	rom_faction_pool_arabian
emp_himyar	rom_faction_pool_naval_arabians
emp_iastae	rom_faction_pool_naval_saka
emp_iastae	rom_faction_pool_scythian_saka
emp_iceni_civil_war	rom_faction_pool_briton
emp_iceni_civil_war	rom_faction_pool_naval_britons
emp_iceni	rom_faction_pool_briton
emp_iceni	rom_faction_pool_naval_britons
emp_judea	rom_faction_pool_egyptian
emp_judea	rom_faction_pool_naval_egyptian
emp_kartli	rom_faction_pool_assyrian
emp_kartli	rom_faction_pool_naval_caucasian
emp_lazyges	rom_faction_pool_naval_scythian
emp_lazyges	rom_faction_pool_scythian_saka
emp_ma_in	rom_faction_pool_arabian
emp_ma_in	rom_faction_pool_naval_arabians
emp_marcomanni_civil_war	rom_faction_pool_germanic
emp_marcomanni_civil_war	rom_faction_pool_naval_germanics
emp_marcomanni	rom_faction_pool_germanic
emp_marcomanni	rom_faction_pool_naval_germanics
emp_mascat	rom_faction_pool_arabian
emp_mascat	rom_faction_pool_naval_arabians
emp_mauri	rom_faction_pool_naval_numidian
emp_mauri	rom_faction_pool_north_african
emp_media_atropatene	rom_faction_pool_naval_median
emp_media_atropatene	rom_faction_pool_persian
emp_meroe	rom_faction_pool_naval_aethiopian
emp_meroe	rom_faction_pool_sabaean
emp_nabatea	rom_faction_pool_arabian
emp_nabatea	rom_faction_pool_naval_arabians
emp_nahanarvali	rom_faction_pool_celtic
emp_nahanarvali	rom_faction_pool_naval_celtogermanic
emp_nasamones	rom_faction_pool_naval_african
emp_nasamones	rom_faction_pool_north_african
emp_nori	rom_faction_pool_celtic
emp_nori	rom_faction_pool_naval_cisalpine_celts
emp_numidia	rom_faction_pool_naval_numidian
emp_numidia	rom_faction_pool_north_african
emp_palmyra	rom_faction_pool_naval_parthian
emp_palmyra	rom_faction_pool_parthian
emp_parthia_civil_war	rom_faction_pool_naval_parthian
emp_parthia_civil_war	rom_faction_pool_parthian
emp_parthia	rom_faction_pool_naval_parthian
emp_parthia	rom_faction_pool_parthian
emp_persia	rom_faction_pool_naval_persian
emp_persia	rom_faction_pool_persian
emp_pontus	rom_faction_pool_assyrian
emp_pontus	rom_faction_pool_naval_pontic
emp_qidri	rom_faction_pool_arabian
emp_qidri	rom_faction_pool_naval_arabians
emp_quadi	rom_faction_pool_celtic
emp_quadi	rom_faction_pool_naval_boii
emp_raeti	rom_faction_pool_celtic
emp_raeti	rom_faction_pool_naval_cisalpine_celts
emp_roxolani	rom_faction_pool_naval_sarmatian
emp_roxolani	rom_faction_pool_sarmatian
emp_rugii	rom_faction_pool_germanic
emp_rugii	rom_faction_pool_naval_germanics
emp_saba	rom_faction_pool_naval_arabians
emp_saba	rom_faction_pool_sabaean
emp_scordisci	rom_faction_pool_celtic
emp_scordisci	rom_faction_pool_naval_balkan_celts
emp_semnones	rom_faction_pool_germanic
emp_semnones	rom_faction_pool_naval_germanics
emp_siraces	rom_faction_pool_naval_sarmatian
emp_siraces	rom_faction_pool_sarmatian
emp_thrace	rom_faction_pool_naval_thracians
emp_thrace	rom_faction_pool_thracian_dacian
emp_vindelici	rom_faction_pool_celtic
emp_vindelici	rom_faction_pool_naval_cisalpine_celts
gaul_aedui	gaul_faction_pool_gallic
gaul_allobroges	gaul_faction_pool_gallic
gaul_arverni	gaul_faction_pool_gallic
gaul_atrebates	gaul_faction_pool_gallic
gaul_ausci	gaul_faction_pool_gallic
gaul_belgae	gaul_faction_pool_gallic
gaul_bellovaci	gaul_faction_pool_gallic
gaul_bituriges	gaul_faction_pool_gallic
gaul_cadurci	gaul_faction_pool_gallic
gaul_cantiaci	gaul_faction_pool_briton
gaul_carnutes	gaul_faction_pool_gallic
gaul_cenomani	gaul_faction_pool_gallic
gaul_dumnonii	gaul_faction_pool_briton
gaul_eburones	gaul_faction_pool_gallic
gaul_helvetii	gaul_faction_pool_celtic
gaul_lemovices	gaul_faction_pool_gallic
gaul_lexovii	gaul_faction_pool_gallic
gaul_mandubii	gaul_faction_pool_gallic
gaul_massilia	gaul_faction_pool_hellenic
gaul_mediomatrici	gaul_faction_pool_gallic
gaul_morini	gaul_faction_pool_gallic
gaul_namnetes	gaul_faction_pool_gallic
gaul_nemetes	gaul_faction_pool_german
gaul_nervii	gaul_faction_pool_gallic
gaul_osismii	gaul_faction_pool_gallic
gaul_parisii	gaul_faction_pool_gallic
gaul_pictones	gaul_faction_pool_gallic
gaul_raurici	gaul_faction_pool_celtic
gaul_redones	gaul_faction_pool_gallic
gaul_remi	gaul_faction_pool_gallic
gaul_rome	gaul_faction_pool_roman
gaul_ruteni	gaul_faction_pool_gallic
gaul_santones	gaul_faction_pool_gallic
gaul_senones	gaul_faction_pool_gallic
gaul_sequani	gaul_faction_pool_gallic
gaul_sotiates	gaul_faction_pool_gallic
gaul_suebi	gaul_faction_pool_german
gaul_suessiones	gaul_faction_pool_gallic
gaul_tarbelli	gaul_faction_pool_gallic
gaul_treverii	gaul_faction_pool_gallic
gaul_tulingi	gaul_faction_pool_celtic
gaul_turones	gaul_faction_pool_gallic
gaul_unelli	gaul_faction_pool_gallic
gaul_vangiones	gaul_faction_pool_german
gaul_veneti	gaul_faction_pool_gallic
gaul_vocontii	gaul_faction_pool_gallic
gaul_volcae	gaul_faction_pool_gallic
inv_syracuse	inv_faction_pool_syracuse
pro_gaul	rom_faction_pool_celtic
pro_greek_cities	rom_faction_pool_hellenic
pro_lucanian	rom_faction_pool_italian
pro_rome	rom_faction_pool_italian
pro_samnites	rom_faction_pool_italian
pun_allobroges	gaul_faction_pool_gallic
pun_arevaci_civil_war	rom_faction_pool_iberian
pun_arevaci_civil_war	rom_faction_pool_naval_celtiberian
pun_arevaci	rom_faction_pool_iberian
pun_arevaci	rom_faction_pool_naval_celtiberian
pun_boii	rom_faction_pool_celtic
pun_boii	rom_faction_pool_naval_cisalpine_celts
pun_cantrabri	rom_faction_pool_iberian
pun_cantrabri	rom_faction_pool_naval_celtiberian
pun_carpetani	rom_faction_pool_iberian
pun_carpetani	rom_faction_pool_naval_celtiberian
pun_carthage	rom_faction_pool_carthage
pun_carthage	rom_faction_pool_naval_libyan
pun_celtici	rom_faction_pool_iberian
pun_celtici	rom_faction_pool_naval_celtiberian
pun_cessetani	rom_faction_pool_iberian
pun_cessetani	rom_faction_pool_naval_celtiberian
pun_emporion	rom_faction_pool_iberian
pun_emporion	rom_faction_pool_naval_hellenic
pun_etruscan	rom_faction_pool_italian
pun_etruscan	rom_faction_pool_naval_italian
pun_gaetuli	rom_faction_pool_naval_numidian
pun_gaetuli	rom_faction_pool_north_african
pun_galleaci	rom_faction_pool_iberian
pun_galleaci	rom_faction_pool_naval_celtiberian
pun_garamantia	rom_faction_pool_naval_numidian
pun_garamantia	rom_faction_pool_north_african
pun_illercavones	rom_faction_pool_iberian
pun_illercavones	rom_faction_pool_naval_celtiberian
pun_illergetes	rom_faction_pool_iberian
pun_illergetes	rom_faction_pool_naval_celtiberian
pun_insubres	rom_faction_pool_celtic
pun_insubres	rom_faction_pool_naval_cisalpine_celts
pun_libya	rom_faction_pool_naval_libyan
pun_libya	rom_faction_pool_north_african
pun_liguria	rom_faction_pool_celtic
pun_liguria	rom_faction_pool_naval_cisalpine_celts
pun_lusitani_civil_war	rom_faction_pool_iberian
pun_lusitani_civil_war	rom_faction_pool_naval_celtiberian
pun_lusitani	rom_faction_pool_iberian
pun_lusitani	rom_faction_pool_naval_celtiberian
pun_masaesyli	rom_faction_pool_naval_numidian
pun_masaesyli	rom_faction_pool_north_african
pun_massilia	rom_faction_pool_celtic
pun_massilia	rom_faction_pool_naval_hellenic
pun_massyli	rom_faction_pool_naval_numidian
pun_massyli	rom_faction_pool_north_african
pun_mauri	rom_faction_pool_naval_numidian
pun_mauri	rom_faction_pool_north_african
pun_oretani	rom_faction_pool_iberian
pun_oretani	rom_faction_pool_naval_celtiberian
pun_rebel_african	rom_faction_pool_naval_numidian
pun_rebel_african	rom_faction_pool_north_african
pun_rebel_celtiberian	rom_faction_pool_iberian
pun_rebel_celtiberian	rom_faction_pool_naval_celtiberian
pun_rebel_celt	rom_faction_pool_celtic
pun_rebel_celt	rom_faction_pool_naval_cisalpine_celts
pun_rebel_hellenic	rom_faction_pool_hellenic
pun_rebel_hellenic	rom_faction_pool_naval_greek
pun_rebel_latin	rom_faction_pool_italian
pun_rebel_latin	rom_faction_pool_naval_italian
pun_rebel_punic	rom_faction_pool_naval_libyan
pun_rebel_punic	rom_faction_pool_north_african
pun_samnites	rom_faction_pool_italian
pun_samnites	rom_faction_pool_naval_italian
pun_syracuse	rom_faction_pool_hellenic
pun_syracuse	rom_faction_pool_naval_greek
pun_tarbelli	gaul_faction_pool_gallic
pun_turdetani	rom_faction_pool_iberian
pun_turdetani	rom_faction_pool_naval_celtiberian
pun_vaccaei	rom_faction_pool_iberian
pun_vaccaei	rom_faction_pool_naval_celtiberian
pun_vascones	rom_faction_pool_iberian
pun_vascones	rom_faction_pool_naval_celtiberian
pun_veneti	rom_faction_pool_celtic
pun_veneti	rom_faction_pool_naval_cisalpine_celts
pun_vettones	rom_faction_pool_iberian
pun_vettones	rom_faction_pool_naval_celtiberian
pun_volcae	gaul_faction_pool_gallic
rom_aedui	rom_faction_pool_gallic
rom_aedui	rom_faction_pool_naval_gauls
rom_aestii	rom_faction_pool_celtic
rom_aestii	rom_faction_pool_naval_celtogermanic
rom_anartes	rom_faction_pool_celtic
rom_anartes	rom_faction_pool_naval_celtogermanic
rom_aorsoi	rom_faction_pool_naval_sarmatian
rom_aorsoi	rom_province_pool_sarmatia
rom_arachosia	rom_faction_pool_naval_persian
rom_arachosia	rom_faction_pool_persian
rom_ardhan	rom_faction_pool_assyrian
rom_ardhan	rom_faction_pool_naval_caucasian
rom_ardiaei_civil_war	rom_faction_pool_illyrian
rom_ardiaei_civil_war	rom_faction_pool_naval_illyrians
rom_ardiaei	rom_faction_pool_illyrian
rom_ardiaei	rom_faction_pool_naval_illyrians
rom_arevaci_civil_war	rom_faction_pool_iberian
rom_arevaci_civil_war	rom_faction_pool_naval_celtiberian
rom_arevaci	rom_faction_pool_iberian
rom_arevaci	rom_faction_pool_naval_celtiberian
rom_aria	rom_faction_pool_naval_persian
rom_aria	rom_faction_pool_persian
rom_armenia_civil_war	rom_faction_pool_assyrian
rom_armenia_civil_war	rom_faction_pool_naval_armenian
rom_armenia	rom_faction_pool_assyrian
rom_armenia	rom_faction_pool_naval_armenian
rom_artebartes	rom_faction_pool_gallic
rom_artebartes	rom_faction_pool_naval_belgae
rom_arverni_civil_war	rom_faction_pool_gallic
rom_arverni_civil_war	rom_faction_pool_naval_gauls
rom_arverni	rom_faction_pool_gallic
rom_arverni	rom_faction_pool_naval_gauls
rom_athens_civil_war	rom_faction_pool_hellenic
rom_athens_civil_war	rom_faction_pool_naval_greek
rom_athens	rom_faction_pool_hellenic
rom_athens	rom_faction_pool_naval_greek
rom_axum	rom_faction_pool_naval_aethiopian
rom_axum	rom_faction_pool_sabaean
rom_baktria_civil_war	rom_faction_pool_bactrian
rom_baktria_civil_war	rom_faction_pool_naval_bactrian
rom_baktria	rom_faction_pool_bactrian
rom_baktria	rom_faction_pool_naval_bactrian
rom_bastarnae	rom_faction_pool_celtic
rom_bastarnae	rom_faction_pool_naval_celtogermanic
rom_biephi	rom_faction_pool_naval_dacians
rom_biephi	rom_faction_pool_thracian_dacian
rom_bithynia	rom_faction_pool_assyrian
rom_bithynia	rom_faction_pool_naval_persian
rom_blemmyes	rom_faction_pool_naval_aethiopian
rom_blemmyes	rom_faction_pool_sabaean
