key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	icon_path_units	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	settler_rebellion_faction	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	mp_stats_name	pre_battle_speech_parameter	can_be_regionless	card_colour_r	card_colour_g	card_colour_b	diplomacy_culture	senator_total	use_legion_names
#factions_tables;14;db/factions_tables/factions																																																						
3c_alani	2041770406	sc_rom_barb_east	playable	Alani	Alani	73	barbarian	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\3c_alani		data\ui\flags\Carthage	183.0000	222.0000	155.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_alani	date_rebels	0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Alani!	You are defending against the Alani!		FACTION_CHOSOKABE	true	183.0000	222.0000	155.0000	rom_Barbarian	500	false
3c_alani_civil_war	2041770990	sc_rom_barb_east	playable	Alani Pretenders	Alani Pretenders	73	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_alani_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_alani		240.0000	173.0000	173.0000	0	false	false	73	73	You are attacking Alani Pretenders!	You are defending against Alani Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
3c_alani_secession	2041771044	sc_rom_barb_east	playable	Alani Secessionists	Alani Secessionists	73	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_alani_secession		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_alani		240.0000	173.0000	173.0000	0	false	false	73	73	You are attacking Alani Secessionists!	You are defending against Alani Secessionists!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
3c_alemanni	2041770671	sc_rom_germanic	playable	Alemanni	Alemanni	87	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_alemanni		data\ui\flags\Carthage	221.0000	169.0000	96.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	87	87	You are attacking the Alemanni!	You are defending against the Alemanni!		FACTION_CHOSOKABE	false	221.0000	169.0000	96.0000	rom_Barbarian	0	false
3c_ardhan	2041770518	sc_rom_eastern	playable	Ardhan	Ardhan	64	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Ardhan		data\ui\flags\Carthage	59.0000	118.0000	116.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_easter		0.0000	0.0000	0.0000	0	false	false	64	64	You are attacking Ardhan!	You are defending against Ardhan!		FACTION_CHOSOKABE	false	59.0000	118.0000	116.0000	rom_Eastern	0	false
3c_armenia	2041770362	sc_rom_eastern	playable	Armenia	Armenia	64	eastern	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\Armenia		data\ui\flags\Carthage	125.0000	143.0000	117.0000	9.0000	79.0000	150.0000	228.0000	180.0000	9.0000	228.0000	180.0000	9.0000	255.0000	255.0000	240.0000	255.0000	255.0000	240.0000	3c_armenia	date_rebels	173.0000	173.0000	173.0000	0	false	false	64	64	You are attacking Armenia!	You are defending against Armenia!		FACTION_CHOSOKABE	true	125.0000	143.0000	117.0000	rom_Eastern	500	false
3c_armenia_civil_war	2041770994	sc_rom_eastern	playable	Armenia Pretenders	Armenia Pretenders	64	eastern		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_armenia_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_armenia		240.0000	173.0000	173.0000	0	false	false	64	64	You are attacking Armenia Pretenders!	You are defending against Armenia Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Eastern	0	false
3c_armenia_secession	2041771046	sc_rom_eastern	playable	Armenia Secessionists	Armenia Secessionists	64	eastern		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_armenia_secession		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_armenia		240.0000	173.0000	173.0000	0	false	false	64	64	You are attacking Armenia Secessionists!	You are defending against Armenia Secessionists!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Eastern	0	false
3c_axum	2041770501	sc_rom_african_arabian	playable	Axum	Axum	63	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Axum		data\ui\flags\Carthage	133.0000	116.0000	86.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_sabaean		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Axum!	You are defending against Axum!		FACTION_CHOSOKABE	false	133.0000	116.0000	86.0000	rom_Eastern	0	false
3c_baktria	2041770534	sc_rom_eastern	playable	Baktria	Baktria	64	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_baktria		data\ui\flags\Carthage	157.0000	141.0000	171.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_easter		0.0000	0.0000	0.0000	0	false	false	64	64	You are attacking Baktria!	You are defending against Baktria!		FACTION_CHOSOKABE	false	157.0000	141.0000	171.0000	rom_Eastern	0	false
3c_blemmyes	2041770486	sc_rom_african_arabian	playable	Blemmyes	Blemmyes	63	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Blemmyes		data\ui\flags\Carthage	199.0000	167.0000	126.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_sabaean		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Blemmyes!	You are defending against Blemmyes!		FACTION_CHOSOKABE	false	199.0000	167.0000	126.0000	rom_Eastern	0	false
3c_bosporou	2041770610	sc_rom_eastern	playable	Bosporou	Bosporou	64	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_bosporou		data\ui\flags\Carthage	181.0000	60.0000	89.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_easter		0.0000	0.0000	0.0000	0	false	false	64	64	You are attacking Bosporou!	You are defending against Bosporou!		FACTION_CHOSOKABE	true	181.0000	60.0000	89.0000	rom_Eastern	0	false
3c_britannia	2041770433	sc_rom_roman	playable	Britannia	Britannia	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_britannia		data\ui\flags\Rome	135.0000	180.0000	85.0000	84.0000	156.0000	0.0000	112.0000	65.0000	133.0000	172.0000	51.0000	0.0000	84.0000	156.0000	0.0000	83.0000	3.0000	114.0000	3c_gallicclient		172.0000	51.0000	0.0000	0	false	false	46	46	You are attacking Britannia!	You are defending against Britannia!		FACTION_CHOSOKABE	false	135.0000	180.0000	85.0000	rom_Roman	0	true
3c_burgundii	2041770656	sc_rom_germanic	playable	Burgundii	Burgundii	87	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_burgundii		data\ui\flags\Carthage	148.0000	53.0000	21.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	87	87	You are attacking the Burgundii!	You are defending against the Burgundii!		FACTION_CHOSOKABE	false	148.0000	53.0000	21.0000	rom_Barbarian	0	false
3c_buri	2041770630	sc_rom_germanic	playable	Buri	Buri	87	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Buri		data\ui\flags\Carthage	55.0000	84.0000	98.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	87	87	You are attacking the Buri!	You are defending against the Buri!		FACTION_CHOSOKABE	false	55.0000	84.0000	98.0000	rom_Barbarian	0	false
3c_caledoni	2041770375	sc_rom_british	playable	Caledonii	Caledonii	55	barbarian	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\3c_caledones		data\ui\flags\Carthage	36.0000	63.0000	90.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_caledones	date_rebels	0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Caledonii!	You are defending against the Caledonii!		FACTION_CHOSOKABE	true	35.0000	64.0000	90.0000	rom_Barbarian	500	false
3c_caledoni_civil_war	2041770998	sc_rom_british	playable	Caledonii Pretenders	Caledonii Pretenders	55	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_caledoni_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_caledones		240.0000	173.0000	173.0000	0	false	false	55	55	You are attacking Caledonii Pretenders!	You are defending against Caledonii Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
